"question","answer","explanation"
"How many follicles are found inside an ovary?","Hundreds of thousands (approximately 400 000).","Each follicle contains an immature egg."
"On which day of a typical 28-day cycle does the menstrual cycle begin?","On the first day of menstrual bleeding.","This marks day 1 of the cycle."
"What hormone do the maturing follicles secrete into the bloodstream?","Estrogen.","It prepares the lining of the uterus for possible pregnancy."
"What happens around day 7 of the cycle?","All follicles stop growing and begin to degenerate except for one dominant follicle.","Only one follicle continues to mature."
"What does the dominant follicle do for the developing egg?","It nourishes the developing egg inside it.","“To nourish” means to provide with food / nutrients."
"Around day 12, what does the follicle secrete in large amount?","Estrogen.","This high level of estrogen triggers the LH surge."
"What hormone is released in a huge surge by the anterior pituitary gland?","Luteinizing hormone (LH).","The LH surge causes ovulation around day 14."
"What happens right before ovulation?","The egg detaches from the inside of the follicle.","This is a key preparatory step."
"What structures pick up the egg after it is released?","The fimbriae (tiny projections at the end of the Fallopian tube).","Microscopic cilia on the fimbriae then transport the egg."
"How long does the egg live after ovulation?","12 to 24 hours.","It must be fertilized by sperm during this short window."
"What happens if the egg is not fertilized?","It dissolves away and is shed along with the uterine lining during menstruation.","“To shed” means to be separated / discarded."
"What is a follicle?","A hollow ball of cells with an immature egg in the centre.","Hundreds of thousands exist in each ovary."
"What does the verb “to release” mean in this context?","To free something / to let something go.","Example: the follicle releases the egg."
"Complete: “The fimbriae are ……… projections at the end of the Fallopian tube.”","tiny (or finger-like).","They sweep across the ovary to pick up the egg."
