"question","answer","explanation"
"Quelle est la définition d’une lithiase salivaire ?","Présence d’un calcul dans le système sécréto-excréteur salivaire (glande et/ou canal excréteur).","C’est la 1re pathologie des glandes salivaires de l’adulte."
"Quelle glande est le plus souvent touchée par la lithiase salivaire ?","Glande sub-mandibulaire (92 % des cas).","La parotide et la sublinguale sont beaucoup plus rares."
"De quoi est principalement composé le calcul salivaire ?","Phosphate de calcium.","Il se forme par stase salivaire et précipitation progressive."
"Qu’est-ce que la hernie salivaire de Garel ?","Augmentation de volume de la glande lors des repas, liée à l’obstacle calculeux.","Elle cède lorsque la salive finit par s’évacuer."
"Qu’est-ce que la colique salivaire de Morestin ?","Douleur du plancher buccal irradiant vers l’oreille homolatérale, cédant brusquement lors d’un jet de salive.","C’est l’équivalent de la colique néphrétique pour la glande salivaire."
"Quels sont les signes d’une whartonite ?","Douleur du plancher buccal irradiant vers l’oreille, ostium de Wharton rouge et tuméfié, issue de pus à la pression.","C’est l’infection du canal de Wharton."
"Quels sont les signes d’une sous-maxillite (submandibulite) lithiasique ?","Tuméfaction sous-mandibulaire très douloureuse irradiant vers l’oreille, parfois accompagnée de fièvre.","C’est la complication infectieuse la plus fréquente."
"Comment distingue-t-on cliniquement une lithiase sub-mandibulaire d’une cellulite ?","Par la présence d’un sillon séparant la tuméfaction de la table interne de la mandibule au palper bidigital.","Ce sillon est absent dans la cellulite."
"Quels examens d’imagerie sont utiles pour diagnostiquer une lithiase salivaire ?","Panoramique dentaire, cliché occlusal, sialographie, échographie et scanner (surtout pour les calculs radio-transparents).","40 % des calculs parotidiens sont radio-transparents."
"Quel est le traitement d’une lithiase du canal de Wharton accessible ?","Extraction chirurgicale du calcul.","Si le calcul est intra-parenchymateux, on réalise une sous-maxillectomie."
