"question","answer","explanation"
"Quelle est la définition de l’insuffisance rénale chronique (IRC) ?","Incapacité des reins à assurer leurs fonctions suite à une destruction anatomique irréversible des néphrons, se traduisant par une diminution progressive et irréversible du DFG < 60 ml/min/1,73 m².","Elle correspond aux stades avancés de la maladie rénale chronique."
"Quelle est la définition de la maladie rénale chronique (MRC) ?","Anomalie rénale (biologique, morphologique ou histologique) persistante depuis plus de 3 mois.","Elle peut évoluer vers l’IRC terminale (stade 5, DFG < 15 ml/min/1,73 m²)."
"Quelle est la prévalence approximative de la MRC dans le monde ?","Environ 10 % de la population mondiale.","Il existe d’importantes disparités selon les pays."
"Quelles sont les deux étiologies les plus fréquentes de MRC/IRC ?","Les néphropathies vasculaires et diabétiques.","Elles représentent la grande majorité des cas."
"Quels sont les éléments permettant d’affirmer une maladie rénale chronique ?","Protéinurie ou albuminurie, anomalie du sédiment urinaire (hématurie, leucocyturie), anomalie morphologique (hypotrophie rénale, obstruction…) et/ou baisse du DFG persistante.","Toute élévation de la créatinine doit d’abord être considérée comme une IRA jusqu’à preuve de chronicité."
"Quelle formule de calcul du DFG est recommandée pour l’adaptation des posologies médicamenteuses ?","La formule de Cockcroft et Gault.","Elle reste utilisée en pratique pour l’ajustement des doses, notamment en milieu non spécialisé."
"Quels sont les principaux objectifs diagnostiques devant une MRC ?","Affirmer la MRC, préciser son stade, déterminer la néphropathie causale, évaluer les facteurs de progression, évaluer le risque cardio-vasculaire et rechercher les complications si DFG < 60 ml/min.","Cette démarche structurée guide toute la prise en charge."
"Quelles sont les principales complications de l’IRC à rechercher lorsque le DFG est inférieur à 60 ml/min ?","Anémie, ostéodystrophie rénale, hyperkaliémie, acidose métabolique, hyperuricémie, dyslipidémie, dénutrition protéino-énergétique, troubles des hormones sexuelles et complications neurologiques.","Ces complications apparaissent progressivement avec la baisse du DFG."
"Quel est le traitement médicamenteux de néphroprotection de première intention dans la MRC ?","Les bloqueurs du système rénine-angiotensine-aldostérone (IEC ou ARA2), initiés à faible dose avec surveillance de la créatinine et de la kaliémie.","Ils ralentissent la progression de l’insuffisance rénale."
"Quels sont les moyens non médicamenteux de ralentissement de la progression de la MRC ?","Restriction protidique modérée, régime hyposodé, hydratation adaptée et activité physique régulière.","Ces mesures accompagnent systématiquement le traitement médicamenteux."
"Quelles sont les modalités de traitement de suppléance de l’insuffisance rénale chronique terminale ?","Hémodialyse, dialyse péritonéale (traitements de suppléance) et transplantation rénale (traitement de remplacement).","Seule la greffe restaure les fonctions endocriniennes du rein."
"Quelle est la différence fondamentale entre dialyse et transplantation rénale ?","La dialyse est un traitement de suppléance qui ne remplace pas les fonctions endocriniennes ; la transplantation est un traitement de remplacement qui restaure l’ensemble des fonctions rénales.","Cette distinction est importante pour le conseil au patient."
