"question","answer","explanation"
"Donnez la définition complète d’un médicament selon le cours.","Toute substance ou composition présentée comme possédant des propriétés curatives ou préventives à l’égard des maladies humaines ou animales, et tout produit pouvant être administré à l’homme ou à l’animal en vue d’établir un diagnostic médical, restaurer, corriger ou modifier leurs fonctions organiques.","Cette définition englobe aussi les produits de contraste et les agents de stimulation."
"Quelles sont les trois grandes origines des médicaments ?","Origine naturelle, origine chimique (synthèse ou semi-synthèse) et biotechnologies.","Ces trois sources coexistent dans l’arsenal thérapeutique actuel."
"Quels sont les quatre sous-types de médicaments d’origine naturelle ?","Minérale, végétale, animale et microbiologique.","Ils peuvent être utilisés tels quels ou servir de source d’extraction de principes actifs."
"Donnez deux exemples de médicaments d’origine minérale.","Bicarbonate de sodium, gluconate de calcium, talc (silicate de magnésium), paraffine, vaseline.","Ces substances sont employées pour leurs propriétés physiques ou chimiques propres."
"Donnez deux exemples de médicaments d’origine animale.","Insuline (extrait pancréatique), huile de foie de morue, lanoline, extraits gastriques ou biliaires, ferments lactiques.","L’insuline historique illustrait parfaitement cette origine avant les biotechnologies."
"Qu’est-ce qu’un médicament de semi-synthèse ? Donnez un exemple.","Dérivé obtenu par transformation chimique d’une substance naturelle (adjonction ou délétion de radicaux) pour la rendre active ou plus active. Exemple : les bêta-lactamines.","La structure de départ est naturelle, mais le produit final est modifié chimiquement."
"Donnez trois exemples de médicaments d’origine chimique de synthèse pure.","Sulfamides, acide acétylsalicylique (aspirine), paracétamol, chloramphénicol, éphédrine.","Ils constituent aujourd’hui la majorité des médicaments utilisés."
"Quels sont les deux exemples majeurs de médicaments issus des biotechnologies cités dans le cours ?","Anticorps monoclonaux (anti-TNF, anti-VEGF) et vaccins à ARNm (Pfizer, Moderna anti-Covid-19).","Leur place est croissante sur les plans industriel, réglementaire et sécuritaire."
"Pourquoi les biotechnologies occupent-elles une place de plus en plus importante ?","Elles permettent d’obtenir des produits très spécifiques (anticorps, vaccins ARNm) par génie génétique ou fermentation, répondant à des besoins thérapeutiques nouveaux et imposant des exigences réglementaires particulières.","Elles représentent une rupture technologique par rapport à la synthèse chimique classique."
"Quelle est la différence fondamentale entre un composé de synthèse et un composé de semi-synthèse ?","Synthèse : entièrement fabriqué à partir de principes de chimie minérale ou organique. Semi-synthèse : part d’une substance naturelle qui est ensuite transformée chimiquement.","Les bêta-lactamines sont le prototype de la semi-synthèse."
"Citez un médicament d’origine microbiologique et expliquez brièvement son obtention.","Les antibiotiques obtenus à partir de moisissures (ex. pénicilline à partir de Penicillium notatum).","Fleming a découvert la pénicilline en 1929, ouvrant l’ère des antibiotiques."
"Un produit de contraste utilisé en radiologie est-il un médicament ? Justifiez.","Oui, car il est administré en vue d’établir un diagnostic médical, ce qui entre dans la définition légale du médicament.","La définition ne se limite pas aux substances curatives ou préventives."
"Pourquoi est-il important de connaître l’origine d’un médicament ?","Parce que l’origine conditionne les contraintes de production, de purification, de stabilité, de réglementation et parfois le profil de sécurité (allergies aux produits naturels, risques liés aux biotechnologies…).","Cette connaissance aide le prescripteur à anticiper certains risques."
