"question","answer","explanation"
"Comment définit-on une néphropathie lupique sur le plan clinico-biologique ?","Protéinurie > 0,5 g/24 h (ou ≥ 3+ à la bandelette) et/ou hématurie, leucocyturie, hémoglobinurie ou cellules tubulaires, avec un rapport protéinurie/créatininurie > 0,5.","L’histologie montre des stigmates de glomérulonéphrite à complexes immuns compatibles avec le lupus."
"Quelle est la fréquence de la néphropathie lupique au moment du diagnostic de lupus et à 10 ans ?","35 % au moment du diagnostic et jusqu’à 60 % après 10 ans d’évolution.","L’atteinte rénale est donc très fréquente."
"Quel est le mécanisme physiopathologique principal de la néphropathie lupique ?","Hyperactivité lymphocytaire T et B → production d’auto-anticorps → formation de complexes immuns circulants ou tissulaires qui activent le complément et entraînent des lésions inflammatoires.","Il s’y associe souvent une néphrite tubulo-interstitielle et des lésions vasculaires."
"Quelles sont les classes histologiques de la néphropathie lupique (ISN/RPS) ?","Classe I : normale en optique ; Classe II : prolifération mésangiale pure ; Classe III : prolifération endo ± extracapillaire focale (< 50 %) ; Classe IV : prolifération diffuse (≥ 50 %) ; Classe V : extra-membraneuse ; Classe VI : sclérosante avancée.","Les classes III et IV sont les plus sévères et nécessitent un traitement immunosuppresseur urgent."
"Quel est le tableau clinique de la classe II (mésangiale) ?","Hématurie microscopique, protéinurie de faible abondance, syndrome néphrotique possible, HTA rare, pas d’insuffisance rénale ni d’hypocomplémentémie importante.","Le pronostic rénal est excellent."
"Quel est le tableau clinique des classes III et IV ?","Protéinurie et hématurie quasi-constantes, syndrome néphrotique fréquent, HTA, insuffisance rénale possible, hypocomplémentémie et élévation des anticorps anti-ADN.","Ce sont des urgences thérapeutiques."
"Quel est le tableau clinique de la classe V (extra-membraneuse) ?","Syndrome néphrotique, hématurie, HTA et parfois insuffisance rénale.","Elle comporte un risque évolutif à long terme."
"Quels sont les facteurs de mauvais pronostic de la néphropathie lupique ?","Race noire, conditions socio-économiques défavorables, HTA non contrôlée, score élevé de lésions actives et chroniques à la biopsie, insuffisance rénale d’emblée, mauvaise réponse au traitement de première ligne et récidives rénales.","Ces facteurs guident l’intensité et la durée du traitement."
"Quelles classes de néphropathie lupique ne nécessitent pas de traitement immunosuppresseur spécifique ?","Classes I, II et VI (cette dernière relève de la préparation à la dialyse).","Les classes III, IV et V justifient un traitement intensif."
"Quels sont les traitements immunosuppresseurs utilisés dans les classes III, IV et V ?","Corticothérapie, hydroxychloroquine, azathioprine, cyclophosphamide, ciclosporine, mycophénolate mofétil (MMF) et rituximab.","Le choix dépend de la classe, de l’activité et de la tolérance."
"Quels sont les objectifs tensionnels et les mesures non spécifiques dans la néphropathie lupique ?","PA < 130/80 mmHg, activité physique, correction de la dyslipidémie, arrêt du tabac et IEC ou ARA2.","Ces mesures de néphroprotection sont systématiques."
"Quels sont les critères de bonne réponse au traitement de la néphropathie lupique ?","Normalisation de la créatininémie en < 1 mois, normalisation des marqueurs inflammatoires, baisse du titre des anticorps, normalisation de C3/C4, diminution de la protéinurie > 50 % à 1 mois et normalisation de la protéinurie en < 3 mois.","Ces critères permettent d’évaluer précocement l’efficacité du traitement."
