"question","answer","explanation"
"Quels sont les trois grands objectifs des études épidémiologiques ?","Descriptif (fréquence et distribution), analytique (déterminants / relation cause-effet) et évaluatif (impact d’une intervention ou d’un test).","Toute étude comporte une part de description et une part d’analyse."
"Quelle est la différence entre étude rétrospective et prospective selon la disponibilité des données ?","Rétrospective : données déjà disponibles au début de l’étude. Prospective : données à recueillir au fur et à mesure.","Une étude rétrospective peut être descriptive ou analytique."
"Quelle est la différence entre étude transversale et longitudinale ?","Transversale : pas de suivi (cliché à un instant donné). Longitudinale : avec suivi de la population d’étude.","Les longitudinales permettent d’apprécier les variations dans le temps."
"Une étude transversale est-elle rétrospective ou prospective ?","Rétrospective d’office (les données sont déjà là au moment de l’enquête).","Elle donne une photographie à un moment précis."
"Quelle est la différence de principe entre étude de cohorte et étude cas-témoins ?","Cohorte : on part de l’exposition et on mesure la survenue de la maladie (compare exposés / non exposés). Cas-témoins : on part de la maladie et on mesure l’exposition passée (compare cas / témoins).","Cohorte → RR ; Cas-témoins → OR."
"Qu’est-ce qu’une étude observationnelle versus expérimentale ?","Observationnelle : absence d’intervention sur l’exposition. Expérimentale : l’investigateur contrôle l’exposition (essai clinique, etc.).","L’étude expérimentale pose des questions éthiques importantes."
"Selon la classification HAS, quel niveau de preuve correspondent aux essais randomisés de forte puissance et aux méta-analyses ?","Niveau 1 → grade A (preuve scientifique établie).","C’est le plus haut niveau de preuve."
"Quel niveau de preuve correspondent aux études cas-témoins ?","Niveau 3 → grade C (faible niveau de preuve scientifique).","Les études descriptives et séries de cas sont de niveau 4."
"Qu’est-ce qu’une étude monocentrique versus multicentrique ?","Monocentrique : un seul site d’étude. Multicentrique : plusieurs sites.","Le caractère multicentrique augmente la généralisabilité."
"Pourquoi dit-on que « peu importe l’étude faite, il y a toujours une partie de description et une partie d’analyse » ?","Parce que même une étude analytique ou évaluative commence par décrire la population et les fréquences avant d’analyser les associations ou les impacts.","Description et analyse sont indissociables."
