"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’encéphalopathie aiguë ?","Citer les signes physiques et énumérer les étiologies.","L’encéphalopathie aiguë est un terme descriptif, pas un diagnostic."
"Comment définit-on une encéphalopathie aiguë ?","Dysfonctionnement global du cerveau se traduisant par un changement de comportement (confusion, irritabilité excessive) ou une altération de la conscience (léthargie, coma).","Elle s’accompagne d’une mortalité et d’une morbidité neurologique significatives."
"Quels éléments d’interrogatoire sont prioritaires devant une encéphalopathie aiguë ?","Date et mode de début, symptômes associés (fièvre, vomissements, convulsions…), circonstances (traumatisme, hypoxie, voyage, contact animal, prise de toxiques ou médicaments), antécédents médicaux et développement psychomoteur, antécédents familiaux (métaboliques, consanguinité).","L’anamnèse oriente fortement le bilan étiologique."
"Quels signes physiques recherchez-vous à l’examen ?","Paramètres vitaux, état mental, examen neurologique complet (Glasgow ou Blantyre, déficits focaux, paires crâniennes, pupilles, fond d’œil, mouvements anormaux) et signes orientant vers une cause (ictère, flapping, OMI, syndrome infectieux).","Le score de conscience quantifie la gravité."
"Quels examens complémentaires demandez-vous en première intention ?","Glycémie, gaz du sang, ionogramme, urée/créatinine, bilan hépatique, NFS, CRP, hémoculture, BU, ponction lombaire et imagerie cérébrale.","Ces examens couvrent les causes métaboliques, infectieuses et structurales les plus fréquentes."
"Quelles sont les principales catégories étiologiques d’encéphalopathie aiguë ?","Infectieuses (méningite, encéphalite, abcès), toxiques, métaboliques (hypo/hyperglycémie, hyperammoniémie, acidose lactique…), épileptiques, hypertensives, hépatiques/rénales, tumorales et auto-immunes.","L’infection neuroméningée reste une cause majeure à éliminer en urgence."
"Pourquoi la glycémie est-elle un examen prioritaire ?","L’hypoglycémie est une cause fréquente, rapidement réversible et particulièrement dangereuse chez le nourrisson.","Elle doit être réalisée dès l’admission."
"Quel est le pronostic global d’une encéphalopathie aiguë ?","Mortalité significative et risque élevé de séquelles neurologiques chez les survivants.","Une évaluation rapide et complète améliore le pronostic."
"Quels signes orientent vers une cause métabolique ou hépatique ?","Ictère, flapping tremor (astérixis), œdèmes des membres inférieurs, troubles du rythme respiratoire.","Ces signes imposent un bilan hépatique et ammoniémie."
"Quel est le message clé de l’approche diagnostique ?","L’encéphalopathie aiguë est une urgence : stabiliser les fonctions vitales, quantifier la conscience, réaliser un bilan large de première intention et orienter le traitement selon l’étiologie.","Le diagnostic étiologique guide le traitement spécifique."
