"question","answer","explanation"
"Quelle est la définition de l’HTA maligne ?","Élévation de la pression artérielle (PAD > 120 mmHg) associée à une atteinte viscérale.","Elle constitue une urgence hypertensive vraie."
"Quel est le pronostic spontané de l’HTA maligne ?","Pronostic sombre avec mortalité élevée en l’absence de traitement.","Elle doit être distinguée de l’HTA sévère sans atteinte d’organe."
"Quels sont les signes généraux de l’HTA maligne ?","Altération de l’état général avec amaigrissement marqué, polyurie-polydipsie secondaire à la natriurèse forcée et déshydratation globale.","Ces signes traduisent la sévérité de l’atteinte."
"Quel est le signe oculaire caractéristique de l’HTA maligne ?","Baisse brutale de l’acuité visuelle avec rétinopathie hypertensive sévère (stade 3 ou 4) : hémorragies en flammèches, nodules cotonneux et œdème papillaire.","Le fond d’œil est un élément diagnostique majeur."
"Quelles sont les manifestations cérébrales possibles de l’HTA maligne ?","AVC ischémique ou hémorragique, ou encéphalopathie hypertensive (céphalées, nausées, vomissements, troubles de la vigilance, convulsions).","L’imagerie cérébrale (IRM ou scanner) est nécessaire."
"Quelles sont les atteintes cardiovasculaires de l’HTA maligne ?","Œdème aigu du poumon, insuffisance cardiaque, hypertrophie ventriculaire gauche quasi-constante, syndrome coronarien aigu et dissection aortique.","La dissection aortique impose un contrôle tensionnel encore plus rapide."
"Quels sont les signes rénaux de la néphroangiosclérose maligne ?","Insuffisance rénale rapidement progressive, protéinurie (souvent autour de 1 g/24 h, parfois néphrotique), hypokaliémie par hyperaldostéronisme secondaire et anémie hémolytique mécanique (microangiopathie thrombotique).","L’atteinte rénale définit la NAS maligne."
"Quels sont les aspects histologiques de la néphroangiosclérose maligne ?","Lésions des petits vaisseaux avec prolifération des fibres musculaires donnant un aspect en « bulbe d’oignon », thrombi artériolaires et nécrose fibrinoïde.","La biopsie n’est réalisée qu’après stabilisation de la tension artérielle."
"Quelle est la cause la plus fréquente d’HTA maligne ?","HTA essentielle irrégulièrement traitée, non traitée ou traitée avec retard.","C’est de loin la première étiologie."
"Citez les autres causes importantes d’HTA maligne.","Sténose de l’artère rénale, néphropathies glomérulaires, maladies auto-immunes, pré-éclampsie, toxiques (IMAO, contraceptifs oraux, cocaïne, amphétamines) et endocrinopathies (phéochromocytome, Cushing, Conn).","Un bilan étiologique reste nécessaire."
"Quels sont les objectifs de baisse tensionnelle dans l’HTA maligne ?","Réduction de la PAS de 25 % en 1 heure, PAM à 110-120 mmHg en 2-6 heures, puis normalisation en 24-48 heures.","Une baisse trop rapide peut aggraver l’ischémie d’organe."
"Dans quelles situations la baisse tensionnelle doit-elle être encore plus rapide ?","Dissection aortique, phéochromocytome et pré-éclampsie (PAS < 140 mmHg en 1 heure).","Ces situations engagent le pronostic vital immédiat."
"Quels antihypertenseurs sont utilisés par voie intraveineuse dans l’HTA maligne ?","Urapidil (α-bloquant), nicardipine (inhibiteur calcique) et labétalol (α et β-bloquant).","L’administration IV permet un contrôle rapide et titrable."
"Quelle est l’évolution de la fonction rénale après contrôle de l’HTA maligne ?","Détérioration possible au cours des 4 premières semaines, puis amélioration progressive si la tension artérielle est bien contrôlée.","La récupération rénale n’est pas immédiate."
