"question","answer","explanation"
"Quelle est la définition de la cystite aiguë ?","Inflammation de la muqueuse vésicale par adhérence de bactéries, responsable de pollakiurie, brûlures mictionnelles et pyurie.","Elle est bénigne et n’atteint pas la fonction rénale."
"Quelle est la fréquence de la cystite chez la femme ?","20 à 30 % des femmes font au moins une cystite dans leur vie ; 2 à 3 % en font une chaque année.","Les récidives sont fréquentes, surtout en cas de cause favorisante."
"Quelles sont les voies possibles d’infection de la vessie ?","Voie ascendante (la plus fréquente), hématogène, lymphatique et iatrogène.","La voie ascendante est favorisée par la brièveté de l’urètre féminin."
"Quels sont les signes fonctionnels typiques de la cystite aiguë ?","Brûlures mictionnelles (maximales à la miction), pollakiurie ± impériosités, dysurie (émission de quelques gouttes douloureuses) et parfois hématurie.","Les douleurs sont hypogastriques et majorées par la réplétion vésicale."
"Quel est le signe clinique négatif important de la cystite simple ?","Absence de fièvre.","La fièvre orienterait vers une pyélonéphrite ou une prostatite."
"Quelle est la place de la bandelette urinaire dans le diagnostic de cystite ?","Elle suffit le plus souvent (leucocytes et/ou nitrites positifs). Un ECBU n’est pas systématique.","Les nitrites positifs seuls signent déjà une infection."
"Dans quelles situations un ECBU est-il recommandé devant une cystite ?","Doute clinique ou à la bandelette, cystite récidivante (≥ 4/an), échec thérapeutique ou suspicion de résistance bactérienne.","Dans les autres cas, le traitement peut être institué sur la seule bandelette."
"Quels sont les diagnostics différentiels importants d’un syndrome de cystite ?","Cystite radique, cystite interstitielle, cystalgies à urines claires, cystite tuberculeuse, carcinome in situ et fistule colo-vésicale.","L’ECBU stérile oriente vers une cause non infectieuse."
"Quel est le traitement de première intention d’une cystite simple (premier épisode) ?","Traitement minute (dose unique) : fosfomycine-trométamol (Monuril 3 g), ou 3 comprimés de Bactrim Forte, ou péfloxacine 800 mg.","L’ECBU initial n’est pas nécessaire."
"Quand doit-on réaliser un bilan urologique devant des cystites ?","À partir du 4e épisode annuel (échographie ± cystoscopie) à la recherche d’une cause organique (sténose, calcul, tumeur, diverticule…).","Les récidives fréquentes ne sont plus des cystites « simples »."
"Quelles mesures hygiéno-diététiques recommandez-vous dans la cystite ?","Diurèse abondante, mictions régulières et post-coïtales, hygiène périnéale (avant → arrière), régularisation du transit et éviter les pantalons serrés.","Ces mesures réduisent les récidives."
