"question","answer","explanation"
"Quelle est la définition d’un effet indésirable médicamenteux ?","Toute réaction nuisible et non souhaitée survenant aux doses normalement utilisées pour la prophylaxie, le diagnostic ou le traitement.","N’inclut pas les intoxications volontaires ni la toxicomanie."
"Comment classe-t-on les effets indésirables selon leur fréquence (échelle de Gering-Souillet) ?","Fréquent 1-10 %, peu fréquent 0,01-1 %, très rare < 0,01 %.","La fréquence est souvent sous-estimée."
"Quelle est la différence entre toxicité directe et toxicité relative ?","Directe : liée aux propriétés intrinsèques et à la dose (ex. hypoglycémie sous insuline). Relative : susceptibilité individuelle accrue (génétique, physiologique, pathologique, interactions).","La toxicité relative explique les variations interindividuelles."
"Qu’est-ce qu’un « side effect » ?","Effet indésirable inévitable faisant partie des propriétés pharmacologiques du médicament (ex. sécheresse buccale des atropiniques).","Il est prévisible."
"Quelle est la différence entre effets indésirables de type A et de type B ?","Type A : liés aux propriétés pharmacologiques, prévisibles, dose-dépendants. Type B : indépendants des propriétés pharmacologiques, imprévisibles, souvent graves (« bizarres »).","Les type A sont détectés avant l’AMM ; les type B souvent après."
"Donnez des exemples d’effets de type A.","Exagération de l’effet thérapeutique (hémorragie sous anticoagulant), effets latéraux (ulcère des AINS, signes atropiniques), syndrome de sevrage (benzodiazépines, β-bloquants).","Ils sont dose-dépendants."
"Quels sont les sous-types d’effets de type B ?","Immuno-allergiques (types I à IV), pseudo-allergiques (anaphylactoïdes), toxiques (hépatotoxicité de l’isoniazide) et de mécanisme inconnu (tendinopathies des fluoroquinolones).","Ils sont indépendants de la dose."
"Quels critères rendent un effet indésirable « grave » selon l’OMS ?","Décès, mise en jeu du pronostic vital, hospitalisation ou prolongation, séquelles durables, anomalie congénitale, ou situation jugée grave par le déclarant.","Ces critères déclenchent une déclaration de pharmacovigilance."
"Quels facteurs liés au malade favorisent les effets indésirables ?","Âge (nouveau-né et sujet âgé), grossesse, maladies (surtout rénales et hépatiques), facteurs génétiques (idiosyncrasie) et état de nutrition (hypoalbuminémie).","Ils modifient la pharmacocinétique ou la réactivité."
"Pourquoi le nombre d’effets indésirables augmente-t-il avec le nombre de médicaments ?","Parce que la fréquence des interactions croît de façon géométrique avec l’augmentation arithmétique du nombre de médicaments administrés.","Automédication et multi-prescriptions aggravent le risque."
"Quelle est la définition d’un effet indésirable selon l’OMS ?","Réaction nuisible et non souhaitée survenant aux doses normalement utilisées chez l’homme pour la prophylaxie, le diagnostic ou le traitement.","Elle n’inclut pas les intoxications volontaires ni la toxicomanie."
"Comment classifie-t-on les effets indésirables selon leur fréquence ?","Fréquent (1-10 %), peu fréquent (0,01-1 %), très rare (< 0,01 %).","Cette classification aide à l’évaluation du rapport bénéfice/risque."
"Quelle est la différence entre toxicité directe et toxicité relative ?","Directe = liée aux propriétés intrinsèques et dose-dépendante ; Relative = susceptibilité individuelle accrue (génétique, physiologique, pathologique, interactions).","La toxicité relative explique les variations interindividuelles."
"Qu’est-ce qu’un « side effect » ?","Effet indésirable inévitable faisant partie des propriétés pharmacologiques du médicament (ex. : sécheresse buccale des atropiniques).","Il est prévisible."
"Quelle est la différence entre effets de type A et de type B ?","Type A = liés aux propriétés pharmacologiques, prévisibles, dose-dépendants ; Type B = indépendants des propriétés pharmacologiques, imprévisibles, souvent graves (immuno-allergiques, idiosyncrasiques…).","Les type A sont les plus fréquents."
"Quels sont les sous-types d’effets de type A ?","Exagération de l’effet thérapeutique, effets latéraux (pharmacologiques secondaires) et syndrome de sevrage/rebond.","Exemples : hypoglycémie sous insuline, effets atropiniques des tricycliques, rebond sous β-bloquants."
"Quels sont les mécanismes des effets de type B ?","Immuno-allergiques (types I à IV), pseudo-allergiques (libération directe d’histamine), toxiques directs sur un organe et mécanismes inconnus.","Ils sont souvent détectés après l’AMM."
"Qu’est-ce qu’un effet indésirable de type C ?","Effet apparaissant après une utilisation prolongée (toxicité cumulative, accumulation, effets mutagènes/oncogènes).","Exemples : dépôts cornéens de l’amiodarone, coloration des dents par les cyclines."
"Quels facteurs liés au malade favorisent les effets indésirables ?","Âge (nouveau-né et sujet âgé), grossesse, maladies (insuffisance rénale ou hépatique), facteurs génétiques et état nutritionnel.","Ils modifient le métabolisme et l’élimination."
"Quand un effet indésirable est-il considéré comme grave selon l’OMS ?","Décès, mise en jeu du pronostic vital, hospitalisation ou prolongation, séquelles durables, anomalie congénitale, ou situation jugée grave par le médecin.","Ces cas doivent être déclarés en pharmacovigilance."
