"question","answer","explanation"
"Quelle est la place des néphropathies glomérulaires parmi les causes d’insuffisance rénale ?","Elles représentent 30 à 40 % des causes d’insuffisance rénale.","Leur dépistage est facile et le pronostic est modifiable si le traitement est précoce."
"Quels sont les cinq signes rénaux obligatoires d’une néphropathie glomérulaire ?","Protéinurie (majoritairement albuminurie), hématurie (microscopique avec cylindres ou GR déformés, ou macroscopique sans caillot), hypertension artérielle, œdèmes et insuffisance rénale.","Ces cinq éléments constituent le socle du diagnostic."
"Quels signes extra-rénaux doivent être recherchés devant une suspicion de néphropathie glomérulaire ?","Fièvre, asthénie, arthralgies, myalgies, douleurs abdominales, signes cutanés (purpura, livedo), signes pulmonaires ou ORL (hémorragie intra-alvéolaire, sinusite) et signes neurologiques.","Ils orientent vers une maladie systémique ou une vascularite."
"Quels examens immunologiques font partie du bilan standard d’une néphropathie glomérulaire ?","Électrophorèse/immunofixation, dosage des Ig, AAN, anti-ADN, complément (C3, C4, C1q), ANCA, anticorps anti-MBG, cryoglobulines et sérologies virales (VHB, VHC, VIH).","Ce bilan permet d’orienter vers les principales causes secondaires."
"Quels sont les cinq grands syndromes glomérulaires ?","Syndrome néphrotique, syndrome néphritique aigu, syndrome de glomérulonéphrite rapidement progressive (GNRP), syndrome hématurique isolé et syndrome de glomérulonéphrite chronique.","Chaque syndrome oriente vers un groupe de causes et une urgence différente."
"Quels sont les critères du syndrome néphrotique ?","Protéinurie > 3 g/24 h (ou 50 mg/kg/24 h) et albuminémie < 30 g/l.","Il s’accompagne d’œdèmes, de risque thrombotique et parfois d’IRA fonctionnelle."
"Quelles sont les causes principales de syndrome néphrotique ?","Lésions glomérulaires minimes (LGM), hyalinose segmentaire et focale (HSF), glomérulonéphrite extra-membraneuse (GEM) et amylose.","La biopsie est souvent nécessaire chez l’adulte."
"Quels sont les éléments du syndrome néphritique aigu ?","Début brutal, oligurie, hématurie macroscopique, HTA, œdèmes et insuffisance rénale modérée.","La cause la plus classique est la GNA post-streptococcique."
"Quels sont les éléments du syndrome de GNRP ?","Insuffisance rénale s’installant en 2 à 8 semaines, protéinurie, hématurie et signes extra-rénaux fréquents (ORL, pulmonaires, cutanés).","C’est une urgence absolue nécessitant une biopsie rénale immédiate."
"Quelles sont les causes principales de GNRP ?","Glomérulonéphrites prolifératives extracapillaires : granulomatose avec polyangéite (Wegener), syndrome de Goodpasture et polyangéite microscopique.","Le pronostic dépend de la rapidité de la prise en charge."
"Quel est le tableau du syndrome hématurique isolé ?","Hématurie macroscopique ou microscopique récidivante sans protéinurie significative ni insuffisance rénale.","La cause la plus fréquente est la néphropathie à IgA (maladie de Berger)."
"Quel est le tableau du syndrome de glomérulonéphrite chronique ?","Protéinurie, hématurie, HTA et insuffisance rénale chronique.","Il correspond souvent à la phase pré-terminale de n’importe quelle glomérulopathie."
