"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la détresse respiratoire aiguë du nouveau-né ?","Reconnaître une détresse respiratoire du nouveau-né, citer les principales étiologies et décrire les principes de prise en charge.","Ces trois points orientent le diagnostic et l’urgence thérapeutique."
"Quels sont les trois symptômes cliniques permettant de reconnaître une détresse respiratoire du nouveau-né ?","Anomalie de la fréquence respiratoire (polypnée > 60/min pouvant évoluer vers bradypnée), cyanose et signes de lutte (score de Silverman).","Ces trois signes constituent le diagnostic positif clinique."
"Quels sont les cinq items du score de Silverman et comment l’interprète-t-on ?","Tirage intercostal, entonnoir xiphoïdien, balancement thoraco-abdominal, battement des ailes du nez, geignement expiratoire (chacun coté 0-1-2). Score élevé = détresse sévère.","Le score de Silverman ne s’applique qu’au nouveau-né."
"Quels sont les signes de gravité d’une détresse respiratoire néonatale ?","Épuisement (irrégularité, gasping, apnée), anomalies cardiaques (bradycardie), troubles hémodynamiques (TRC allongé, marbrures, hypotension) et signes neurologiques (somnolence, convulsions, coma).","Ces signes imposent une assistance respiratoire immédiate."
"Quels sont les gestes d’urgence immédiats en salle de naissance devant une détresse respiratoire ?","Désobstruction des voies aériennes, monitoring (FC, FR, SpO2), oxygène, ventilation au masque si besoin (sauf contre-indications), intubation si persistance à M3-M4 ou Silverman > 5.","La « minute d’or » concerne la ventilation en cas de détresse sévère ou bradycardie."
"Quelles sont les contre-indications de la ventilation au masque chez le nouveau-né ?","Suspicion d’inhalation méconiale, pneumothorax et hernie diaphragmatique congénitale.","Dans ces situations on intube d’emblée."
"Quelles sont les principales étiologies de détresse respiratoire selon le terme et le contexte ?","Maladie des membranes hyalines (prématuré), infection materno-fœtale, inhalation méconiale (terme + liquide méconial), retard de résorption (césarienne), pneumothorax, hernie diaphragmatique, malformations (atrésie des choanes, Pierre Robin).","Toute détresse secondaire, quel que soit le terme, doit faire évoquer en priorité une infection materno-fœtale."
"Quels sont les signes radiologiques de la maladie des membranes hyalines ?","Syndrome alvéolaire diffus avec microgranité, bronchogramme aérien et faible expansion thoracique.","Le traitement spécifique est le surfactant exogène intra-trachéal."
"Quel est l’objectif de SpO2 chez le prématuré et pourquoi faut-il éviter l’hyperoxie ?","SpO2 cible 92-98 %. L’hyperoxie (> 98 %) expose au risque de rétinopathie du prématuré et de lésions pulmonaires.","Il faut diminuer les apports en oxygène dès que la SpO2 dépasse 98 %."
"Quels examens paracliniques demandez-vous en première intention devant une détresse respiratoire néonatale ?","Radiographie thoracique de face en inspiration, NFS, CRP (après H12), hémoculture, glycémie, ionogramme, gaz du sang.","La radiographie oriente fortement le diagnostic étiologique."
