"question","answer","explanation"
"Quelle est la définition de la glomérulonéphrite membranoproliférative ?","Glomérulonéphrite caractérisée par une prolifération cellulaire associée à un épaississement des parois capillaires.","Elle combine prolifération et lésions de la membrane basale."
"Quelle est la fréquence de la GN membranoproliférative ?","4 % des néphropathies de l’enfant et 7 % de celles de l’adulte.","Elle reste relativement rare."
"Quels sont les deux tableaux cliniques possibles de la GN membranoproliférative ?","Syndrome néphritique aigu persistant (très brutal) ou syndrome néphrotique impur.","Le caractère persistant du syndrome néphritique est évocateur."
"Quel signe clinique particulier peut être observé au visage dans la GN membranoproliférative ?","Fonte de la graisse sous-cutanée du visage.","C’est un élément semiologique parfois rapporté."
"Quels sont les signes biologiques caractéristiques de la GN membranoproliférative ?","Hématurie, cylindrurie hématique, insuffisance rénale d’installation rapide et baisse de C3, C4 et C1q.","L’hypocomplémentémie reflète la consommation du complément."
"Quel examen est indispensable au diagnostic de GN membranoproliférative ?","La ponction-biopsie rénale.","Elle permet d’affirmer le type histologique."
"Quels sont les aspects histologiques typiques de la GN membranoproliférative ?","Épaississement important des parois capillaires par des dépôts sous-endothéliaux donnant un aspect en double contour ou rubané, thrombi capillaires possibles, et parfois prolifération extracapillaire.","L’aspect en double contour est très caractéristique."
"Quel est l’aspect habituel en immunofluorescence de la GN membranoproliférative ?","Dépôts prédominants de C3.","Les dépôts d’immunoglobulines sont variables selon le type."
"Citez les principales causes infectieuses de GN membranoproliférative.","Bilharziose, paludisme, abcès ou suppuration profonde, endocardite, infection de shunt atrio-ventriculaire, VHB, VHC, VIH et brucellose.","Les infections chroniques sont des causes classiques."
"Quelles causes néoplasiques peuvent être responsables de GN membranoproliférative ?","Cancer du rein, leucémie lymphoïde chronique, lymphomes non hodgkiniens et thymome.","Une recherche de néoplasie est nécessaire chez l’adulte."
"Quelles maladies systémiques sont associées à la GN membranoproliférative ?","Lupus, cryoglobulinémie (souvent liée au VHC) et syndrome de Sjögren.","Le lupus et la cryoglobulinémie sont les plus fréquentes."
"Quelles causes de prolifération extracapillaire doit-on rechercher devant une GN membranoproliférative ?","Foyer infectieux, lupus, purpura rhumatoïde, syndrome de Goodpasture, granulomatose avec polyangéite (Wegener), syndrome de Churg-Strauss et polyangéite microscopique.","Ces causes justifient un bilan immunologique complet (AAN, ANCA, anti-MBG)."
"Quelle est l’évolution de la GN membranoproliférative en l’absence de traitement précoce ?","Évolution vers l’insuffisance rénale chronique en quelques mois à quelques années, souvent irréversible.","Le traitement précoce améliore le pronostic."
"Quels sont les principes du traitement de la GN membranoproliférative ?","Traitement étiologique en urgence, prise en charge du syndrome néphrotique ou néphritique, dialyse si indication, et traitement immunosuppresseur selon la cause (souvent proche de celui de la GNEM).","L’urgence thérapeutique est liée au risque d’évolution rapide vers l’IRC."
