"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’allaitement maternel ?","Décrire la physiologie de l’allaitement maternel, expliquer la technique d’allaitement maternel, énumérer les avantages de l’allaitement maternel et citer les incidents au cours de l’allaitement.","Ces quatre objectifs structurent l’ensemble des connaissances à maîtriser."
"Quelles sont les deux hormones principales de la lactogenèse et quels sont leurs rôles respectifs ?","Prolactine (antéhypophysaire) : fabrication/synthèse du lait (réflexe de sécrétion). Ocytocine (post-hypophysaire) : contraction des cellules myoépithéliales et éjection du lait (réflexe d’éjection).","La prolactine synthétise le lait, l’ocytocine l’expulse ; le stress inhibe l’ocytocine."
"Qu’est-ce que le facteur inhibiteur de la lactation (FIL) et quelle est son importance pratique ?","Facteur sécrété localement avec le lait qui inhibe la production. Plus le sein est vidé (tétées fréquentes), moins il y a de FIL et plus la production augmente.","C’est la base de la loi de l’offre et de la demande : tétées régulières (8-12/j) entretiennent la lactation."
"Quelles sont les particularités du colostrum par rapport au lait mature ?","Colostrum : 20-50 ml, riche en protéines, minéraux et Ig (10 fois plus), moins riche en lactose et lipides, valeur énergétique plus basse (58 vs 70 kcal/dl), coloration orangée.","Il est appelé « premier vaccin » grâce à sa richesse en immunoglobulines."
"Quels sont les critères d’une bonne position et d’une bonne prise de sein ?","Visage de l’enfant face au sein, mamelon en regard de la lèvre supérieure, menton collé au sein, ventre contre ventre, alignement du corps, bouche grande ouverte, langue vers le bas, mamelon pointant vers le palais.","Ces éléments permettent une prise efficace et évitent les crevasses et une mauvaise extraction."
"Quels sont les principaux avantages de l’allaitement maternel pour le bébé ?","Croissance optimale, diminution des infections (VAS, septicémie, ECUN), meilleure réponse vaccinale, diminution des allergies, des maladies auto-immunes et des maladies inflammatoires intestinales, meilleur développement du microbiote.","Ces bénéfices sont à court et long terme (cognitif, immunitaire, métabolique)."
"Quels sont les avantages de l’allaitement maternel pour la mère ?","Diminution du risque d’hémorragie du post-partum, de cancer du sein et de l’ovaire, protection contre l’ostéoporose, effet contraceptif (MAMA 98 % sous 3 conditions), protection contre la dépression du post-partum, lien mère-enfant, aspect pratique et économique.","L’effet contraceptif MAMA exige : bébé < 6 mois + aménorrhée + allaitement exclusif."
"Comment conserver le lait maternel tiré selon les recommandations ?","Température ambiante (25 °C) : 4 h. Réfrigérateur (4 °C) : 48 h. Congélateur (-18 °C) : 4 mois.","Ces durées sont celles de l’AFSSA et doivent être respectées strictement."
"Quelle est la technique d’expression manuelle du lait ?","Lavage des mains, massage doux des 4 quadrants, pouce et index en vis-à-vis à 2,5-3,5 cm de la base du mamelon, appui vers la cage thoracique puis pression de bas en haut sans glisser, rotation autour de l’aréole.","Technique simple et efficace pour stimuler ou extraire le lait."
"Pourquoi le lait maternel est-il considéré comme spécifique d’espèce et unique ?","Composition en oligosaccharides, équilibre des acides gras (dont DHA), lipase présente, IgA secrétoires, lactoferrine, lysozyme et microbiote propres impossibles à reproduire parfaitement dans les laits artificiels.","Ces éléments confèrent une protection immunitaire et un développement neurocognitif spécifiques."
