"question","answer","explanation"
"Quels sont les objectifs pédagogiques du purpura fulminans ?","Diagnostiquer et traiter le purpura fulminans.","C’est une urgence infectieuse absolue engageant rapidement le pronostic vital."
"Comment définit-on un purpura fulminans ?","Purpura cutané nécrotique associé à un choc septique ; toute lésion purpurique fébrile avec au moins un élément nécrotique ou ecchymotique > 3 mm est un purpura fulminans jusqu’à preuve du contraire.","Les lésions s’étendent rapidement."
"Quels sont les facteurs de risque de purpura fulminans ?","Asplénie, immunosuppression, hétérozygotie du facteur V Leiden.","Il prédomine chez l’enfant de moins de 5 ans puis l’adolescent."
"Quel est le principal germe responsable ?","Le méningocoque (Neisseria meningitidis), suivi du streptocoque ; formes post-infectieuses possibles (varicelle).","C’est la cause la plus fréquente."
"Quelle est la particularité du traitement antibiotique du purpura fulminans ?","C’est la seule situation en infectiologie où l’antibiotique doit être administré avant tout prélèvement diagnostique. Ceftriaxone 50-100 mg/kg (max 1 g) IV ou IM immédiatement.","La précocité du traitement conditionne le pronostic."
"Quels sont les principes de la prise en charge du choc ?","Deux voies veineuses, oxygène ± ventilation mécanique, remplissage par SSI 20 ml/kg en bolus, catécholamines (noradrénaline, dobutamine), hydrocortisone.","Le transfert en réanimation est systématique."
"Quelles sont les complications redoutées ?","Choc septique, CIVD, ischémie distale pouvant aboutir à des amputations.","La rapidité d’extension des lésions est un facteur de gravité."
"Quelle est la chimioprophylaxie des contacts ?","Rifampicine pendant 2 jours (adulte 600 mg × 2/j ; enfant 10 mg/kg × 2/j), à débuter dans les 24 h à 10 jours suivant le dernier contact.","Elle concerne les contacts proches."
"Quelle vaccination est recommandée en prévention ?","Vaccin méningococcique C à 12 mois avec rattrapage avant 24 mois.","La vaccination réduit l’incidence des formes invasives."
"Quel est le message clé de conclusion ?","Tout purpura fébrile avec élément nécrotique > 3 mm est un purpura fulminans jusqu’à preuve du contraire ; l’antibiotique doit être injecté immédiatement avant tout prélèvement.","La déclaration est obligatoire."
