"question","answer","explanation"
"Quels sont les quatre groupes de maladies liées à l’eau ?","1. Water-vectored (insectes à cycle aquatique : paludisme, arboviroses…) 2. Water-based (phase hydrique du cycle : schistosomose, dracunculose) 3. Water-washed (quantité d’eau insuffisante pour l’hygiène : dermatoses, maladies des mains sales) 4. Water-borne / water-carried (ingestion d’eau contaminée : choléra, fièvre typhoïde).","Il existe aussi les maladies liées aux polluants chimiques."
"Quelle est la définition clinique du choléra en zone d’endémie ?","Diarrhée aqueuse aiguë, avec ou sans vomissements, chez un malade âgé de 5 ans ou plus.","En zone d’épidémie, l’âge n’est plus exigé ; en zone émergente, on retient surtout les formes graves ou mortelles."
"Comment classifie-t-on un cas de choléra ?","Suspect = cas répondant à la définition clinique. Confirmé = cas suspect avec isolement de Vibrio cholerae au laboratoire. (Le « probable » n’est pas pertinent.)","Le choléra est une maladie à déclaration obligatoire."
"Quel est l’agent étiologique du choléra et quelle est la durée d’incubation ?","Vibrio cholerae. Incubation de quelques heures à 5 jours.","La transmission se fait principalement par l’eau et les aliments contaminés, ou par les mains sales."
"Quels sont les principaux facteurs de risque du choléra ?","Mauvaises conditions de vie (eau insuffisante ou de mauvaise qualité, hygiène et assainissement déficients, forte densité de population), maladies sous-jacentes (malnutrition, tuberculose), facteurs saisonniers et exposition plus élevée des femmes.","Ces facteurs expliquent la survenue d’épidémies dans les populations défavorisées."
"Quels sont les trois axes de prévention du choléra ?","1. Lutte contre la transmission (eau, hygiène, assainissement) 2. Protection du sujet réceptif (immunoprophylaxie, antibioprophylaxie) 3. Lutte contre le réservoir (prise en charge des malades + éducation pour la santé).","La prévention combine ces trois niveaux."
"Que faire en phase pré-épidémique de choléra ?","Impliquer les parties prenantes, comprendre les sources de contamination, constituer un stock d’urgence, sensibiliser, garantir l’eau potable et la gestion saine des excréments.","La préparation est essentielle pour limiter l’impact."
"Que faire dès l’apparition d’un ou plusieurs cas suspects ?","Regrouper, isoler et traiter les malades ; obtenir la confirmation bactériologique ; signaler aux autorités ; empêcher les déplacements et rassemblements ; caractériser les cas (temps, lieu, personne) ; traiter l’entourage et le personnel soignant ; organiser un dépistage précoce à domicile.","L’isolement et le traitement rapide réduisent la transmission."
"Quelles mesures spécifiques sont prises une fois l’épidémie déclarée ?","Ouvrir un centre de traitement 7j/7 et 24h/24, désinfecter selles, vomissements, locaux et récipients, enregistrer quotidiennement cas et décès, enterrer ou incinérer les cadavres.","La désinfection utilise notamment le crésyl 4 % ou le chlorure de chaux 2 %."
"Que faire au moment du recul de l’épidémie ?","Renforcer l’éducation sanitaire, capitaliser les connaissances, et maintenir une surveillance à but étiologique, descriptif et évaluatif.","L’objectif est d’éviter une nouvelle épidémie."
