"question","answer","explanation"
"Quelle est l’étymologie du mot pharmacologie et que signifie-t-elle ?","Du grec « Pharmakon » qui signifie à la fois remède et poison.","Cette dualité rappelle que tout médicament peut devenir toxique selon la dose et le contexte."
"Donnez la définition concise de la pharmacologie.","Science des médicaments sans limitation.","Elle englobe toutes les connaissances relatives aux médicaments, de leur origine à leur usage."
"Quels sont les trois grands rôles des médicaments rappelés en introduction ?","Guérir ou soulager les malades, prévenir les maladies, et (implicitement) diagnostiquer ou modifier des fonctions organiques.","Les médicaments constituent l’arme principale du médecin."
"Citez les quatre intérêts majeurs de l’étude de la pharmacologie.","Compréhension de la physiologie normale ou pathologique, applications thérapeutiques, prévention des maladies, développement de nouveaux médicaments.","Ces intérêts justifient la place centrale de la discipline dans le cursus médical."
"Combien de systèmes composent l’organisme et citez-en au moins six.","11 systèmes : squelettique, musculaire, circulatoire, nerveux, respiratoire, digestif, urinaire, endocrinien, reproducteur, lymphatique, immunitaire.","Les systèmes sont des structures diffuses indissociables des organes et des cellules."
"Qu’est-ce qu’un appareil et combien en distingue-t-on ?","Ensemble d’organes dont le fonctionnement concourt à une tâche complexe commune. On en distingue 7 (relation et nutrition).","Exemples : appareil nerveux, digestif, circulatoire, respiratoire, excréteur…"
"Quels sont les quatre tissus principaux de l’organisme ?","Tissus épithéliaux, conjonctifs, musculaires et nerveux.","Ils constituent les organes et assurent les fonctions de base."
"Quel est l’ordre progressif des atteintes physiopathologiques décrit dans le cours ?","Fonctionnement normal → atteinte moléculaire/réactions → atteinte cellulaire → tissulaire → d’organe → d’appareil → d’autres appareils → décès (ou baisse de performance sans signe clinique).","Ce schéma permet de situer le niveau d’action d’un médicament."
"Quels types d’agents de l’écosystème peuvent perturber le fonctionnement de l’organisme ?","Agents physiques (traumatisme, température, irradiation, choc électrique), chimiques (médicaments, polluants, cosmétiques), biologiques (bactéries, virus, parasites, mycoses) et situations (hypoxie, déficits, stress, déséquilibres nutritionnels).","Ces agents transforment les mécanismes physiologiques en mécanismes physiopathologiques."
"Quelle est la place de la pharmacologie par rapport à la thérapeutique ?","Préalable indispensable, guide de la thérapeutique et source d’optimisation du rendement thérapeutique.","Sans pharmacologie, l’usage des médicaments ne peut être rationnel."
"Quel est l’objectif général de l’enseignement de la pharmacologie en faculté de médecine ?","Fournir aux futurs praticiens les connaissances de base de la discipline afin qu’ils puissent les utiliser rationnellement dans la thérapeutique par les médicaments.","C’est l’objectif pédagogique central du cours."
"Pourquoi dit-on que les médicaments sont à la fois remèdes et poisons ?","Parce que leur effet dépend de la dose, du terrain et des conditions d’utilisation ; la même substance peut soigner ou intoxiquer.","Cette notion, déjà présente chez Paracelse, reste fondamentale."
