"question","answer","explanation"
"Quelle est la définition de l’hyponatrémie ?","Natrémie < 135 mmol/l associée à une hypo-osmolalité plasmatique.","Elle est considérée comme sévère si < 125 mmol/l ou si elle est symptomatique."
"Quel est le principal ion responsable de l’osmolalité plasmatique ?","Le sodium.","Une hyponatrémie entraîne donc une hypo-osmolalité plasmatique."
"Quel est le mécanisme physiopathologique central de l’hyponatrémie hypotonique ?","Hyperhydratation intracellulaire par mouvement d’eau du secteur extracellulaire vers le secteur intracellulaire.","Ce mouvement est dû au gradient osmolaire créé par la baisse de l’osmolalité plasmatique."
"De quoi dépend principalement la symptomatologie de l’hyponatrémie ?","De la vitesse d’installation et non de la valeur absolue de la natrémie.","Une hyponatrémie chronique peut être bien tolérée tandis qu’une baisse rapide est dangereuse."
"Quels sont les signes neurologiques liés à l’œdème cérébral au cours d’une hyponatrémie ?","Céphalées, confusion, troubles de la vigilance pouvant aller jusqu’au coma, et convulsions.","Ils traduisent l’hyperhydratation intracellulaire cérébrale."
"Quelles sont les trois étapes du diagnostic positif d’une hyponatrémie ?","1. Évaluer la tonicité plasmatique 2. Évaluer le volume extracellulaire (VEC) 3. Doser la natriurèse.","Ces trois paramètres permettent de classer correctement le type d’hyponatrémie et son étiologie."
"Comment distingue-t-on une vraie hyponatrémie d’une pseudohyponatrémie ou d’une fausse hyponatrémie ?","Par le calcul de la tonicité plasmatique : hyponatrémie hypotonique = vraie ; isotonique = pseudohyponatrémie ; hypertonique = fausse hyponatrémie (ex. hyperglycémie).","Seule l’hyponatrémie hypotonique s’accompagne d’une hyperhydratation intracellulaire."
"Citez les principales causes d’hyponatrémie à volume extracellulaire normal.","SIADH, potomanie, insuffisance surrénalienne, hypothyroïdie et diurétiques thiazidiques.","Le capital sodé est normal ; il s’agit d’une rétention pure d’eau."
"Comment classer une hyponatrémie à volume extracellulaire augmenté selon la natriurèse ?","Natriurèse > 20 mmol/l : IRA oligurique ou apport de soluté hypotonique ; natriurèse < 20 mmol/l : œdèmes généralisés (insuffisance cardiaque, cirrhose, syndrome néphrotique), dénutrition ou grossesse.","La natriurèse reflète le comportement rénal face à la rétention hydrosodée."
"Quelles sont les principales causes d’hyponatrémie à volume extracellulaire diminué avec natriurèse élevée (> 20 mmol/l) ?","Diurétiques, Cerebral Salt Wasting Syndrome, insuffisance surrénalienne et néphropathie avec perte de sel.","Il s’agit de pertes rénales de sodium."
"Quel est le risque d’une correction trop rapide d’une hyponatrémie ?","Myélinolyse centropontine (syndrome de démyélinisation osmotique).","La correction trop lente expose au contraire à la persistance ou à l’aggravation de l’œdème cérébral."
"Quels sont les objectifs de vitesse de correction d’une hyponatrémie sévère ou symptomatique ?","Corriger de 2 à 4 mmol/l en 2 à 4 heures jusqu’à disparition des signes neurologiques, sans dépasser 10 mmol/l en 24 h et 18 mmol/l en 48 h.","Ces limites sont impératives pour éviter la myélinolyse centropontine."
"Quel est le traitement de première intention d’une hyponatrémie à volume extracellulaire augmenté ?","Restriction hydrique.","Elle permet de réduire l’excès d’eau libre."
"Quel est le traitement symptomatique habituel d’une hyponatrémie par SIADH ?","Restriction hydrique.","C’est le traitement de référence tant que la cause n’est pas corrigée."
