"question","answer","explanation"
"Quelle est la 2e phase de la pharmacocinétique ?","La diffusion-distribution du principe actif dans l’organisme après son arrivée dans l’espace vasculaire.","Le médicament peut rester confiné dans le plasma, filtrer vers les tissus ou pénétrer dans les cellules."
"Sur quelles protéines plasmatiques se fixent principalement les médicaments ?","Essentiellement sur les albumines ; de façon accessoire sur les globulines et, pour les molécules lipophiles, sur les lipoprotéines.","À dose thérapeutique la fixation est spécifique ; à dose élevée elle devient non spécifique."
"Quelle est la différence de fixation entre médicaments acides faibles et bases faibles ?","Acides faibles (pKa 3,5-6) : forte affinité sur un nombre limité de sites saturables. Bases faibles et lipophiles : faible affinité sur de nombreux sites non saturables.","Exemples d’acides : benzodiazépines, sulfamides, pénicillines ; bases : barbituriques, rifampicine."
"Citez des pourcentages de liaison protéique typiques.","Phénylbutazone 98 %, sulfamides 96 %, salicylates 64 %, lidocaïne 57 %, phénobarbital 1 %, ouabaïne 0 %.","Une forte liaison protéique augmente la solubilité mais diminue la fraction libre active."
"Quelles sont les conséquences de la liaison aux protéines plasmatiques ?","Augmentation de la solubilité des substances peu solubles, diminution de la fraction libre active, possibilité de compétition entre médicaments (déplacement).","Le déplacement peut majorer l’effet ou la toxicité du médicament déplacé."
"Comment les médicaments passent-ils la barrière hémato-encéphalique ?","Principalement par diffusion passive. Les substances lipophiles traversent rapidement ; les molécules liées aux protéines, ionisées ou hydrophiles ne passent pas.","Il existe trois barrières : hémato-encéphalique, hémo-liquidienne et LCR-cerveau."
"Quels médicaments se fixent préférentiellement sur l’os et le tissu adipeux ?","Os (tissus en calcification) : tétracyclines (coloration brune indélébile des dents). Tissu adipeux : médicaments très lipophiles (ex. insecticides chlorés comme le dieldrine).","Ces fixations prolongent la persistance du médicament dans l’organisme."
"Où se concentrent facilement la plupart des médicaments et leurs métabolites ?","Dans le foie et les reins, organes de biotransformation et d’élimination.","Cette concentration explique en partie leur toxicité potentielle."
"Quelle est la place de la diffusion-distribution dans la pharmacocinétique ?","2e phase : le principe actif arrivé dans l’espace vasculaire est distribué dans l’organisme (confinement vasculaire, filtration tissulaire, pénétration cellulaire).","Elle conditionne la concentration au site d’action."
"Sur quelles protéines plasmatiques se fixent principalement les médicaments ?","Surtout les albumines ; accessoirement les globulines et lipoprotéines.","La fixation est saturable pour les acides faibles et non saturable pour les bases faibles et molécules lipophiles."
"Quelles sont les conséquences de la liaison aux protéines plasmatiques ?","Seule la fraction libre est active, diffusible et éliminable ; la fraction liée constitue une réserve mobilisable.","Une forte liaison nécessite parfois une dose de charge."
"Qu’est-ce qu’un phénomène de compétition sur les sites de fixation ?","Deux médicaments (ou un médicament et une substance physiologique) partageant les mêmes sites → déplacement et augmentation de la fraction libre.","Exemple : sulfamides + bilirubine chez le prématuré → risque d’ictère nucléaire."
"Comment les capillaires influencent-ils la distribution ?","Endothélium fenestré → filtration rapide ; endothélium continu (barrière hémato-encéphalique) → filtration lente et sélective.","Les substances lipophiles passent facilement, les hydrophiles et liées aux protéines non."
"Quelles sont les trois barrières protégeant le système nerveux central ?","Barrière hémato-encéphalique, barrière hémato-liquidienne (plexus choroïdes) et barrière LCR-cerveau.","Le passage se fait principalement par diffusion passive des molécules lipophiles."
"Dans quels tissus certains médicaments s’accumulent-ils préférentiellement ?","Tissus cibles (plaques motrices, noyaux cellulaires, tissus inflammés), foie et reins (métabolisme/élimination), os (tétracyclines), tissu adipeux (lipophiles).","Cette accumulation explique certains effets prolongés ou toxiques."
"Pourquoi la fraction libre est-elle la seule active ?","Parce que seule la forme non liée aux protéines peut diffuser à travers les membranes et interagir avec les récepteurs.","Toute modification de la liaison change l’intensité de l’effet."
