"question","answer","explanation"
"Quelle est l’étymologie du mot « épidémiologie » ?","Du grec : epi (au-dessus, parmi) + demos (peuple) + logos (étude).","Elle s’applique uniquement à la population humaine."
"Quelle est la définition moderne de l’épidémiologie ?","Étude de la fréquence et de la distribution des phénomènes de santé dans le temps, l’espace et selon les catégories de personnes, ainsi que de leurs déterminants, en vue de la prévention et de la maîtrise de ces phénomènes.","Elle s’intéresse aux populations et non aux individus."
"Quels sont les quatre grands domaines de l’épidémiologie de population ?","Épidémiologie descriptive, analytique, d’intervention et évaluative.","Ils s’appliquent aussi à l’épidémiologie clinique."
"Que mesure l’épidémiologie descriptive ?","La fréquence et la distribution d’un phénomène de santé (prévalence ou incidence) selon le « qui, quoi, où, quand ».","Elle répond aux questions de base de la distribution."
"Quelle est la différence entre « cause » et « déterminant » ?","Cause = caractéristique qui détermine la survenue de la maladie (ex. BK pour la tuberculose). Déterminant = facteur d’exposition associé (facteur de risque ou de protection).","Exemple : immunodépression = FDR de TB ; vaccin BCG = FDP."
"Quelles mesures d’association sont utilisées en épidémiologie analytique ?","Odds Ratio (OR), Relative Risk (RR) et Prevalence Ratio (PR).","Elles quantifient le lien entre un déterminant et un événement de santé."
"Quels sont les objectifs de l’épidémiologie d’intervention ?","Surveillance épidémiologique, investigation d’épidémies et actions de santé publique (y compris la modélisation pour anticiper).","Elle est orientée vers l’action."
"À quoi sert l’épidémiologie évaluative ?","À évaluer les résultats des actions ou interventions de santé publique.","Elle mesure l’efficacité des programmes."
"Qu’est-ce que l’épidémiologie clinique ?","Branche qui répond aux questions « quel test diagnostique est le meilleur ? » et « quel traitement est le plus efficace ? » dans le cadre de l’Evidence-Based Medicine.","Elle s’applique aux malades."
"Citez deux exemples historiques importants de l’épidémiologie.","L’étude du choléra à Londres par John Snow et la démonstration du lien tabac-cancer broncho-pulmonaire par Doll et Bradford Hill (études cas-témoins et de cohorte).","Ces travaux ont fondé l’épidémiologie moderne."
