"question","answer","explanation"
"question","answer","explanation"
"Translate into English: comprimé, gélule, sirop, suppositoire.","Comprimé = tablet ; Gélule = capsule ; Sirop = syrup ; Suppositoire = suppository.","Basic dosage-form vocabulary."
"What is the English term for « pommade » and « crème »?","Pommade = ointment ; Crème = cream.","Ointments are usually greasier than creams."
"Translate: goutte auriculaire, collyre, lavement.","Goutte auriculaire = ear drop ; Collyre = eye drops / eyewash / eye lotion ; Lavement = enema.","Common ophthalmic and rectal forms."
"What does « forme galénique » mean in English?","Dosage form.","It refers to the physical presentation of the drug."
"Give the English names of these baby-care products: couches, crème pour les fesses, cotons-tiges.","Couches = nappies ; Crème pour les fesses = nappy cream ; Cotons-tiges = cotton wool buds.","Typical drugstore items for infants."
"Translate: pharmacien, étagère, vitrine, caisse.","Pharmacien = pharmacist / druggist ; Étagère = shelf (plural shelves) ; Vitrine = showcase ; Caisse = cash desk.","Useful words to describe a pharmacy."
"What is the English for « huile de foie de morue » and « lait démaquillant »?","Huile de foie de morue = cod-liver oil ; Lait démaquillant = cleansing milk.","Classic pharmacy products."
"Translate: bain de bouche / collutoire.","Mouthwash.","Used for oral hygiene."
"What is the plural of “shelf”?","Shelves.","Irregular plural (like leaf/leaves)."
"Give three irregular plurals from the vocabulary list.","Foot/feet, tooth/teeth, leaf/leaves, child/children, man/men, woman/women, mouse/mice, etc.","Common irregular plurals useful in medical English."
"What is the English term for « poudre pour solution buvable »?","Powder for oral solution.","A common paediatric dosage form."
"Translate: crème à raser and huile solaire.","Crème à raser = shaving cream ; Huile solaire = suntan oil.","Everyday drugstore items."
"What is the English for « ovule » in gynaecology?","Gynaecologic tablet (or pessary).","Vaginal dosage form."
"Complete the sentence: “A pharmacist works in a ……….”","Pharmacy (or drugstore).","Basic professional vocabulary."
