"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’hypertension intracrânienne de l’enfant ?","Citer les signes cliniques d’une HTIC décompensée du grand enfant, énumérer les étiologies et décrire les principes du traitement.","L’HTIC est une urgence thérapeutique."
"Comment définit-on l’HTIC ?","Élévation anormale de la pression intracrânienne au-delà de 10 mmHg.","Elle résulte de l’augmentation de volume d’un des trois compartiments (parenchyme, LCR, sang) ou de l’apparition d’un quatrième secteur."
"Quels sont les signes d’HTIC compensée du nourrisson ?","Augmentation du périmètre crânien, fontanelle tendue et battante, veines du scalp dilatées, disjonction des sutures, yeux en coucher de soleil, hypotonie axiale, syndrome pyramidal, arrêt ou régression du développement psychomoteur.","Le fond d’œil peut montrer un œdème papillaire mais un FO normal n’élimine pas le diagnostic."
"Quels sont les signes d’HTIC du grand enfant ?","Céphalées matinales ou nocturnes, résistantes, aggravées par l’effort ; vomissements en jet soulageant les céphalées ; troubles visuels tardifs (baisse d’acuité, diplopie, éclipses visuelles).","Ces signes doivent faire évoquer une tumeur de la fosse postérieure."
"Quels sont les signes d’HTIC décompensée (engagement) ?","Triade de Cushing : hypertension artérielle, bradycardie et respiration anormale, associés à une altération rapide de la conscience.","Le pronostic vital est engagé en l’absence de traitement."
"Quelles sont les principales catégories étiologiques d’HTIC ?","Infectieuses (méningites, abcès, thrombophlébite, accès pernicieux), tumorales (surtout fosse postérieure), traumatiques, malformatives (Arnold-Chiari, Dandy-Walker, sténose de l’aqueduc) et autres (anoxie, SHU, obstruction de valve).","Les tumeurs de la fosse postérieure sont les plus fréquentes chez l’enfant."
"Quels sont les principes du traitement symptomatique de l’HTIC ?","Tête surélevée à 30°, position neutre de la tête, lutte contre l’hyperthermie, sédation-analgésie, normoglycémie, normoxie, normocapnie, normovolémie, restriction hydrique initiale, prévention des agressions secondaires.","Ces mesures limitent les poussées de pression intracrânienne."
"Quel est le traitement de première ligne de l’HTIC ?","Drainage contrôlé du LCR (si possible) et osmothérapie (mannitol 0,25-1 g/kg ou sérum salé hypertonique).","Le mannitol est contre-indiqué en cas d’insuffisance rénale ou d’hypovolémie."
"Quels sont les traitements de deuxième ligne ?","Coma barbiturique, hyperventilation contrôlée (PCO2 30-35 mmHg) et craniectomie décompressive.","Ils sont réservés aux formes réfractaires."
"Quel est le rôle de la corticothérapie dans l’HTIC ?","Utile dans l’œdème péritumoral ou inflammatoire (abcès) : dexaméthasone 0,5 mg/kg/12 h IV.","Elle n’a pas d’indication dans l’œdème post-traumatique ou anoxique."
