"question","answer","explanation"
"Quelle est la définition de l’invagination intestinale aiguë ?","Pénétration d’un segment intestinal dans le segment sous-jacent, réalisant un syndrome occlusif et exposant à la nécrose intestinale.","C’est une urgence thérapeutique, idiopathique dans 9 cas sur 10."
"Quelles sont les deux formes distinctes d’invagination intestinale aiguë ?","Forme idiopathique (2 mois à 2 ans, par hypertrophie des structures lymphoïdes) et forme organique (diverticule de Meckel, tumeur, purpura rhumatoïde, post-opératoire).","La forme idiopathique est de loin la plus fréquente entre 2 mois et 2 ans."
"Quels sont les signes cliniques typiques de l’invagination intestinale aiguë ?","Crises douloureuses paroxystiques impossibles à calmer, avec pâleur, survenant de façon brutale et récurrente ; vomissements ; rectorragies en « gelée de groseille » puis sang rouge ; refus du biberon.","La triade classique (douleurs, vomissements, rectorragies) n’est complète que dans 25 à 48 % des cas."
"Que recherche-t-on à la palpation et au toucher rectal en cas d’invagination ?","Palpation d’un boudin d’invagination (inconstant, à rechercher en dehors des pleurs) ; au toucher rectal : boudin palpable dans le rectum et sang au retrait du doigtier.","Le boudin peut siéger n’importe où dans la cavité abdominale."
"Quels sont les signes échographiques de l’invagination intestinale aiguë ?","Image en cocarde ou en cible en coupe transversale, et image en sandwich en coupe longitudinale.","L’échographie est l’examen de première intention dès que l’invagination est évoquée."
"Que montre l’ASP en cas d’invagination intestinale aiguë ?","Image tissulaire évoquant un boudin, aspect en cible ou en croissant, occlusion ou faible aération du grêle, absence de granité cæcal.","L’ASP n’est évocateur que dans environ 40 % des cas ; il ne faut jamais s’y arrêter."
"Quels sont les principes du traitement non chirurgical de l’invagination ?","Réduction pneumatique ou hydrostatique sous contrôle radiologique.","Ce traitement est indiqué dans les formes non compliquées, suspectées ou prouvées."
"Quels sont les temps principaux du traitement chirurgical de l’invagination ?","Laparotomie (incision transverse droite le plus souvent), exploration, désinvagination manuelle, appendicectomie et recherche d’un diverticule de Meckel.","La chirurgie est indiquée en cas d’échec de la réduction radiologique ou de signes de complication."
"Quelles sont les formes atypiques d’invagination intestinale aiguë ?","Douleur atypique ou continue, rectorragie isolée, forme neurologique (malaises ou convulsions), forme occlusive d’emblée avant 6 mois, douleur récidivante isolée du grand enfant, et invagination dans le cadre d’un purpura rhumatoïde.","Ces formes atypiques doivent être connues pour ne pas retarder le diagnostic."
"Pourquoi l’invagination doit-elle être systématiquement évoquée chez tout enfant de 2 mois à 2 ans présentant des douleurs abdominales ?","Parce que la triade classique est incomplète dans plus de la moitié des cas et que le retard diagnostique expose à la nécrose intestinale.","C’est une règle d’or en pédiatrie."
