"question","answer","explanation"
"Quelle est la définition de la néphropathie tubulo-interstitielle chronique ?","Néphropathie durant plus de 3 mois et touchant préférentiellement le tube et l’interstitium.","Elle s’oppose aux néphropathies glomérulaires et vasculaires."
"Quel signe tensionnel est caractéristique de la NTIC chez un patient hyperurémique ?","Une tension artérielle anormalement basse.","Cette hypotension relative s’explique par la perte de sel urinaire."
"Quels sont les signes cliniques évocateurs de NTIC ?","Déshydratation extracellulaire, hypotension orthostatique, polyurie et nycturie (altération du pouvoir de concentration).","La polyurie-nycturie traduit l’atteinte de la médullaire."
"Quels sont les aspects échographiques possibles de la NTIC ?","Reins atrophiés et bosselés (pyélonéphrite chronique) ou cortex aminci (obstacle prolongé).","L’échographie oriente vers une cause obstructive ou infectieuse chronique."
"Quels sont les éléments biologiques typiques de la NTIC ?","Protéinurie faible ou absente de type tubulaire (albuminurie minoritaire < 25 %), β2-microglobulinurie, leucocyturie ou pyurie stérile, cylindres leucocytaires et natriurèse importante.","La protéinurie reste modérée contrairement aux glomérulopathies."
"Quels sont les marqueurs urinaires d’atteinte tubulaire ?","Élévation des enzymes urinaires : N-acétyl-glucosaminidase, alanine-aminopeptidase, lysozyme, lactate-déshydrogénase.","Ces enzymes témoignent de la souffrance des cellules tubulaires."
"Quels sont les signes d’une atteinte préférentielle du tube proximal ?","Acidose (baisse de réabsorption du bicarbonate), hypophosphatémie, hypouricémie, pH urinaire élevé, glycosurie et amino-acidurie.","Ces anomalies constituent un syndrome de Fanconi incomplet."
"Quels sont les signes d’une atteinte préférentielle du tube distal ?","Acidose hyperkaliémique, pH urinaire > 6 et perte de sel (« néphrite avec perte de sel »).","L’hyperkaliémie est particulièrement évocatrice."
"Quelle atteinte médullaire/papillaire peut entraîner un diabète insipide néphrogénique ?","Atteinte de la médullaire ou de la papille (analgésiques, drépanocytose, hyperuricémie, hypercalcémie, granulomatoses, pyélonéphrite).","Elle altère le site d’action de l’ADH."
"Quelle est la cause la plus fréquente de NTIC ?","Obstacle prolongé (> 5 semaines) et/ou reflux vésico-urétéral (environ 50 % des cas).","Toute élévation de la créatinine impose une échographie abdomino-pelvienne."
"Citez les principales causes médicamenteuses et toxiques de NTIC.","AINS, aspirine au long cours, paracétamol, allopurinol, amphotéricine, inhibiteurs de la pompe à protons, herbes chinoises, cisplatine, ciclosporine, tacrolimus, lithium, métaux lourds et ochratoxine.","Les AINS et les herbes chinoises sont particulièrement fréquents."
"Quelles anomalies métaboliques peuvent induire une NTIC ?","Hypercalcémie chronique, hyperuricémie chronique avec tophi, oxalose, hypokaliémie chronique.","L’hyperuricémie et l’hypercalcémie sont les plus classiques."
"Quelles maladies systémiques peuvent s’accompagner d’une NTIC ?","Syndrome de Sjögren, granulomatose avec polyangéite, lupus, sarcoïdose, amylose et cryoglobulinémie.","La sarcoïdose s’associe souvent à une hypercalcémie."
"Quel est le principe du traitement de la NTIC ?","Traiter précocement la cause et compenser les pertes de sel si nécessaire, afin de ralentir l’évolution vers l’insuffisance rénale chronique terminale.","Le pronostic dépend essentiellement de la rapidité du traitement étiologique."
