"question","answer","explanation"
"Quels sont les objectifs pédagogiques des cardiopathies congénitales ?","Citer les principaux types de cardiopathies congénitales, orienter les investigations et énumérer les complications.","Ces trois points couvrent le diagnostic et le suivi."
"Quelle est l’épidémiologie des cardiopathies congénitales et les trois plus fréquentes ?","Incidence 5 à 8 pour 1000 naissances. Les plus fréquentes : CIV 30 %, CIA 8 %, PCA 7 %.","Elles constituent la pathologie cardiaque la plus fréquente de l’enfant."
"Quels sont les principaux groupes étiologiques des cardiopathies congénitales ?","Aberrations chromosomiques (trisomies 21, 18, 13, Turner…), anomalies génétiques (Di George, Noonan, Williams…), anomalies acquises in utero (rubéole, toxiques, diabète maternel…).","Ces facteurs orientent le bilan étiologique."
"Quels sont les signes cliniques révélateurs d’une cardiopathie congénitale ?","Retentissement pondéral, limitation de l’activité, signes respiratoires, sudation excessive, cyanose, parfois malaises ou douleurs thoraciques. À l’examen : souffle, frémissement, anomalie des pouls et de la PA, signes de stase.","L’examen clinique et l’échographie Doppler sont les deux éléments clés."
"Décrire les caractéristiques de la communication interventriculaire (CIV).","Déhiscence de la cloison interventriculaire (30 % des CC). Souffle souvent intense. Risque d’HTAP et d’Osler. Fermeture spontanée possible pour les petites ; chirurgie pour les grandes (vers 3-4 ans).","C’est la cardiopathie congénitale la plus fréquente."
"Quelles sont les caractéristiques de la tétralogie de Fallot ?","Association CIV + sténose pulmonaire + dextroposition aortique + hypertrophie du VD. Évolution vers la cyanose. Bon pronostic après chirurgie correctrice.","C’est le prototype des cardiopathies cyanogènes."
"Quelles sont les caractéristiques de la transposition des gros vaisseaux ?","Connexion VD-aorte et VG-artère pulmonaire. Non viable sans traitement. Cyanose isolée. Correction chirurgicale précédée d’une atrio-septostomie de Rashkind.","Urgence néonatale absolue."
"Quels sont les signes cliniques orientant vers une coarctation de l’aorte ?","Membres inférieurs froids, membres supérieurs chauds, différence de tension artérielle, signes d’insuffisance ventriculaire gauche rapide si non traitée.","Le diagnostic se confirme par échographie et éventuellement cathétérisme."
"Quels sont les examens d’investigation prioritaires devant une suspicion de cardiopathie congénitale ?","Examen clinique complet + échographie Doppler (morphologie, fonctions ventriculaires, flux). Radiographie thoracique, ECG, éventuellement cathétérisme, IRM ou scanner selon le contexte.","L’échographie Doppler est indispensable."
"Quelles sont les principales complications des cardiopathies congénitales non traitées ?","Troubles du rythme et de la conduction, infections (bronchiques, abcès cérébral), complications mécaniques, thromboemboliques, insuffisance cardiaque, et au stade terminal le syndrome d’Eisenmenger.","Le syndrome d’Eisenmenger est le stade ultime avant le décès."
