"question","answer","explanation"
"Quels sont les objectifs pédagogiques des particularités de l’infection à VIH chez l’enfant ?","Classer les infections à VIH chez l’enfant, citer les complications et comprendre les particularités évolutives.","La transmission mère-enfant reste le mode principal."
"Quels sont les principaux modes de transmission du VIH chez l’enfant ?","Transmission mère-enfant (y compris allaitement), transmission sexuelle, transmission sanguine, et plus rarement circoncision, tatouages, matériel mal stérilisé.","La transmission mère-enfant représente 20-40 % sans prévention."
"Quels sont les quatre stades cliniques OMS de l’infection à VIH chez l’enfant ?","Stade 1 : asymptomatique (ou simple LGP). Stade 2 : symptômes légers. Stade 3 : symptômes avancés (malnutrition modérée, diarrhée/fièvre prolongées, TB…). Stade 4 : symptômes sévères (malnutrition grave, infections opportunistes majeures).","Cette classification guide l’indication du traitement ARV."
"Quels sont les trois modes évolutifs principaux de l’infection périnatale ?","Progresseurs rapides (décès avant 1 an, 5-15 %), progresseurs intermédiaires (décès entre 3 et 5 ans, 50-60 %), progresseurs lents (survie > 8 ans, 5-25 %).","La majorité des enfants développent des symptômes dès 6 mois."
"Quels sont les signes caractéristiques des progresseurs rapides ?","Signes non spécifiques précoces, encéphalopathie VIH, infections bactériennes sévères et récidivantes, infections opportunistes précoces (pneumocystose, CMV), retard staturo-pondéral, charge virale élevée et déficit immunitaire précoce.","Ces enfants nécessitent une prise en charge urgente."
"Quelles sont les complications pulmonaires spécifiques du VIH chez l’enfant ?","Pneumonie interstitielle lymphoïde (LIP) : polypnée, toux sèche, aspect réticulo-nodulaire diffus à la radio, hyperlymphocytose CD8 au LBA.","Elle s’associe souvent à un syndrome lymphoprolifératif."
"Quelles sont les autres complications organiques fréquentes du VIH ?","Cardiomyopathie dilatée, néphropathie (protéinurie, syndrome néphrotique), cytopénies auto-immunes, diarrhée par intolérance aux disaccharides, retard de croissance et de puberté.","Tous les organes peuvent être atteints."
"Quel signe doit faire évoquer un VIH devant une pathologie qui ne s’améliore pas ?","Toute maladie qui ne s’améliore pas au bout de 14 jours de traitement bien conduit.","C’est un critère simple et très utile en pratique."
"Quelle est la meilleure prévention des complications du VIH chez l’enfant ?","Un suivi clinique régulier et l’instauration du traitement antirétroviral dès qu’il est indiqué.","Le traitement ARV transforme le pronostic."
"Quel est le message clé de conclusion ?","Tous les organes peuvent être concernés par le VIH ; la classification OMS et le mode évolutif guident la prise en charge ; toute pathologie trainante doit faire évoquer le VIH.","Le diagnostic précoce et le traitement ARV sont essentiels."
