"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’insuffisance cardiaque de l’enfant ?","Définir l’insuffisance cardiaque, citer les étiologies et planifier la prise en charge.","C’est une urgence et la principale complication des cardiopathies congénitales."
"Comment définit-on l’insuffisance cardiaque chez l’enfant ?","Inaptitude du ventricule à assurer un débit cardiaque adéquat pour l’oxygénation des tissus.","90 % des cas surviennent dans la première année de vie et 90 % sont liés à une malformation congénitale."
"Quels sont les signes de congestion pulmonaire chez le nourrisson ?","Tachypnée superficielle permanente ou à l’effort, dyspnée, tirage, sibilances, râles, cyanose.","Ces signes reflètent l’élévation des pressions de remplissage gauches."
"Quels sont les signes de congestion systémique ?","Hépatomégalie ± hépatalgie, turgescence des veines jugulaires, œdèmes.","Ils témoignent de la défaillance droite ou globale."
"Quels sont les signes d’altération de la performance myocardique et de collapsus ?","Tachycardie de repos, galop, souffle d’insuffisance mitrale ; teint gris, pouls mal perçus, TA basse, TRC allongé, oligurie, agitation.","Le collapsus signe une défaillance avancée."
"Quels examens complémentaires sont prioritaires ?","Radiographie thoracique (cardiomégalie : RCT > 0,60 NN, > 0,55 nourrisson, > 0,50 enfant), ECG, gazométrie, BNP, et surtout échographie cardiaque.","L’échographie précise l’architecture, les fonctions ventriculaires et les pressions."
"Quelles sont les principales étiologies selon l’âge ?","Nouveau-né : cardiopathies congénitales, arythmies, causes extracardiaques (anémie, HTA, hypocalcémie…). Nourrisson : cardiopathies, myocardites, TSV. Grand enfant : myocardiopathies, myocardites, HTA, chimiothérapie.","Les cardiopathies congénitales dominent largement avant 1 an."
"Quels sont les principes des mesures générales de traitement ?","Repos, oxygénation ± ventilation, sédation, restriction hydro-sodée, fractionnement des apports nutritionnels.","Ces mesures diminuent les besoins en oxygène du myocarde."
"Quel est le traitement médical selon l’hémodynamique ?","Diminuer la pré-charge (furosémide 2 mg/kg/j), augmenter la contractilité (dobutamine, inhibiteurs des phosphodiestérases), diminuer la post-charge (IEC à doses progressives).","La digoxine n’est plus systématique en première ligne."
"Quel est le message clé de conclusion ?","L’insuffisance cardiaque de l’enfant est une urgence diagnostique et thérapeutique ; le traitement associe mesures générales, correction des facteurs aggravants et traitement étiologique (souvent chirurgical ou interventionnel).","Le pronostic dépend de la rapidité de la prise en charge et de la cause."
