"question","answer","explanation"
"question","answer","explanation"
"Quelle est la définition de la statistique ?","Science qui permet de tirer des conclusions sur une population à partir d’observations faites sur un échantillon représentatif de cette population.","Elle regroupe aussi l’ensemble des méthodes de traitement des données."
"Qu’est-ce que la biostatistique ?","Discipline qui applique les techniques statistiques à la recherche dans les domaines de la santé (humaine, animale), de la biologie, de la santé publique et de la médecine.","Elle permet d’analyser, d’interpréter et de conclure à partir de données."
"Quelles sont les conditions qualitatives pour qu’un échantillon soit représentatif ?","Tous les sujets de la population doivent avoir la même chance d’être inclus (base de sondage exhaustive + sélection aléatoire).","Les techniques sont : aléatoire simple, systématique, stratifié ou en grappe."
"Quelle est la condition quantitative pour un échantillon représentatif ?","Avoir une taille d’échantillon (nombre de sujets) suffisante.","Elle conditionne la précision de l’inférence statistique."
"Quelles sont les deux grandes natures de variables ?","Qualitatives (nominales, dichotomiques, ordinales) et quantitatives (continues, discrètes, temporelles).","Les modalités des qualitatives ne sont pas mesurées ; celles des quantitatives le sont."
"Donnez un exemple de variable qualitative nominale, dichotomique et ordinale.","Nominale : région ou pays. Dichotomique : genre ou résultat TDR. Ordinale : grade ou stade.","L’ordinale implique un classement hiérarchique."
"Donnez un exemple de variable quantitative continue et discrète.","Continue : poids ou créatininémie. Discrète : nombre d’habitants.","Les continues peuvent prendre n’importe quelle valeur dans un intervalle."
"Qu’est-ce qu’une variable dépendante et une variable indépendante ?","Dépendante = variable réponse (décrite par d’autres). Indépendante = variable d’exposition ou déterminant.","Exemple : obésité (indépendante) → IDM (dépendante)."
"Calculez la moyenne des âges suivants : 9, 11, 13, 14, 14 ans.","Moyenne = (9+11+13+14+14)/5 = 12,2 ans.","Formule pour données individuelles : somme des xi / n."
"Calculez la moyenne à partir du tableau groupé suivant (âge en années × effectif) : 18×14, 19×13, 20×10, 21×15, 22×14, 23×19, 24×16 (n=101).","Somme (xi×fi) = 2143 → Moyenne = 2143/101 ≈ 21,22 ans.","Formule pour données groupées : Σ(xi×fi) / n."
"Calculez la moyenne à partir de classes d’âge : 15-19 (n=40), 20-24 (n=74), 25-29 (n=55), 30-34 (n=43), 35-39 (n=17), 40-46 (n=17). Centres de classe = 17, 22, 27, 32, 37, 43.","Σ(centre×n) = 6529 → Moyenne = 6529/246 ≈ 26,54 ans.","On utilise le centre de chaque classe."
"Comment détermine-t-on la médiane pour un effectif impair (n=5) avec les âges classés 9, 11, 13, 14, 14 ?","Médiane = observation centrale = (n+1)/2 = 3e valeur = 13 ans.","Les valeurs doivent être classées par ordre croissant."
"Comment détermine-t-on la médiane pour un effectif pair (n=70) ?","Médiane = moyenne des deux valeurs centrales (sujet n/2 et sujet n/2 + 1).","Si les deux valeurs sont identiques, la médiane est cette valeur."
"Qu’est-ce que le mode ?","La valeur de la variable la plus fréquente dans la distribution.","Exemple : si 23 ans apparaît le plus souvent, le mode = 23 ans."
"Quels sont les principaux paramètres de dispersion ?","Extrêmes et étendue, quartiles et intervalle interquartile, variance et écart-type.","Ils mesurent la dispersion des valeurs autour de la tendance centrale."
"Quelle est la formule générale d’une proportion (en %) ?","Proportion (%) = (effectif de la modalité / effectif total) × 100.","Elle résume la fréquence d’une variable qualitative ou d’une classe."
"Quel type de graphique convient aux variables quantitatives continues ?","Histogramme ou polygone de fréquences.","Pour les qualitatives nominales : diagramme en barres ou camembert."
"Pourquoi transforme-t-on parfois une variable en classes ?","Pour éviter les proportions à 0 % et faciliter la présentation et l’analyse.","Exemple : âge → tranches d’âge ; profession → secteur d’activité."
"Qu’est-ce qu’un tableau croisé ?","Tableau de fréquences enrichi d’une deuxième variable en entrée (croisement de deux variables).","Il permet d’étudier les relations entre variables."
"Quelle est la condition indispensable pour pouvoir faire une inférence statistique vers la population ?","La représentativité de l’échantillon (échantillonnage aléatoire + taille suffisante).","Sans représentativité, les conclusions ne sont valables que pour l’échantillon."
