"question","answer","explanation"
"Quelle est la définition du cancer du rein ?","Tumeur maligne primitive du parenchyme rénal (à l’exclusion des métastases, des tumeurs des voies excrétrices et des tumeurs bénignes).","Le traitement de référence est chirurgical (néphrectomie élargie)."
"Quel est le type histologique le plus fréquent de cancer du rein ?","Adénocarcinome à cellules claires (tumeur de Grawitz) : 80 % des cas, de couleur jaune chamois caractéristique.","Les autres types sont les carcinomes tubulo-papillaires (10 %), chromophobes (5 %) et de Bellini (1 %)."
"Quelle est la classification TNM simplifiée de la tumeur primitive (T) du cancer du rein ?","T1 ≤ 7 cm (T1a < 4 cm, T1b 4-7 cm) ; T2 > 7 cm ; T3 envahissement de la graisse péri-rénale ou des veines ; T4 dépassement du fascia de Gérota ou atteinte de la surrénale.","Le stade T conditionne largement le pronostic."
"Quelle est la place du cancer du rein parmi les cancers de l’adulte ?","3 % des tumeurs malignes de l’adulte et 3e cancer urologique après la prostate et la vessie.","Prédominance masculine (sex-ratio 2/1) et âge > 50 ans."
"Comment le cancer du rein est-il le plus souvent découvert actuellement ?","De façon fortuite lors d’une échographie ou d’un scanner réalisé pour un autre motif.","Les formes symptomatiques (hématurie, masse, douleur) sont plus tardives."
"Quels sont les éléments du diagnostic positif d’un cancer du rein ?","Imagerie (échographie puis scanner injecté) montrant une masse solide du parenchyme rénal ; la certitude est histologique après néphrectomie.","La biopsie percutanée n’est pas systématique."
"Quels examens font partie du bilan d’extension d’un cancer du rein ?","Scanner thoraco-abdomino-pelvien, scintigraphie osseuse si douleurs ou élévation des phosphatases alcalines, et scanner cérébral si signes cliniques ou avant immunothérapie.","Le scanner thoracique est préférable à la radiographie simple."
"Quels sont les principaux diagnostics différentiels d’une masse rénale solide ?","Oncocytome, angiomyolipome et tumeurs de la surrénale.","L’angiomyolipome peut s’accompagner d’une hématurie importante."
"Quels facteurs conditionnent le pronostic du cancer du rein ?","Âge ≤ 60 ans et bon état général (bon pronostic) ; stade tumoral (survie à 10 ans 85 % si T1 vs 5 % si T4), type histologique, extension ganglionnaire ou métastatique et complications hémorragiques.","Le stade T est le facteur le plus important."
"Quel est le traitement de référence du cancer du rein localisé ?","Néphrectomie élargie (rein + graisse péri-rénale) ; néphrectomie partielle possible dans les petites tumeurs.","L’urétéro-néphrectomie est réservée aux tumeurs des voies excrétrices."
"Quels traitements sont proposés dans les formes métastatiques de cancer du rein ?","Thérapies ciblées et immunothérapie (traitements palliatifs visant à ralentir la progression).","Ils ne sont pas curatifs."
