"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la pneumonie aiguë communautaire ?","Diagnostiquer une pneumonie, prédire l’étiologie sur des éléments cliniques et paracliniques, et prendre en charge.","C’est un motif fréquent de consultation et d’hospitalisation en pédiatrie."
"Quels sont les signes cliniques évocateurs d’une pneumonie ?","Fièvre, toux, douleur thoracique, polypnée, râles crépitants localisés, syndrome de condensation (vibrations vocales augmentées, matité, souffle tubaire).","L’auscultation peut être normale, surtout chez le nourrisson."
"Quel examen est indispensable pour confirmer le diagnostic ?","La radiographie pulmonaire.","Elle visualise l’opacité parenchymateuse et recherche des complications."
"Quels sont les critères d’hospitalisation d’une pneumonie ?","Âge < 3 mois, signes de gravité (détresse respiratoire, aspect toxique, choc), troubles digestifs, aggravation à H48-H72, comorbidités, difficultés psychosociales.","L’âge et la tolérance clinique sont déterminants."
"Quels germes dominent selon l’âge ?","< 3 ans : virus (VRS, influenzae…) puis pneumocoque et Haemophilus. > 3 ans : mycoplasme, Chlamydia, pneumocoque.","Les arguments clinico-radiologiques orientent le choix antibiotique."
"Quels arguments orientent vers une pneumonie à pneumocoque ?","Début brutal, herpès labial, douleur thoracique, râles crépitants, syndrome de condensation, opacité systématisée avec bronchogramme aérien.","C’est le germe le plus fréquent à tout âge."
"Quel est le traitement antibiotique de première intention selon le germe suspecté ?","Pneumocoque : amoxicilline 80-100 mg/kg/j. Haemophilus : amoxicilline-acide clavulanique. Germes atypiques : clarithromycine ou azithromycine. Staphylocoque : amoxicilline-acide clavulanique haute dose ou selon antibiogramme.","Pas d’antibiotique si infection virale pure."
"Quand réévalue-t-on l’efficacité du traitement ?","À H48-H72 : l’apyrexie à H72 est un critère d’efficacité. En l’absence d’amélioration après 3 ans, on adapte (switch amoxicilline ↔ macrolide).","Le contrôle radiologique n’est pas systématique."
"Quelles sont les complications possibles ?","Précoces : atélectasie, pleurésie purulente, abcès. Tardives : dilatation des bronches, pneumopathies récidivantes.","Elles justifient parfois un contrôle radiologique différé."
"Quel est le message clé de conclusion ?","Le diagnostic est clinique et radiologique ; l’étiologie s’oriente sur l’âge et le tableau ; une antibiothérapie probabiliste adaptée conditionne le pronostic.","La vaccination anti-Hib et anti-pneumococcique est essentielle en prévention."
