# CAS CLINIQUES : PNEUMONIE AIGUË COMMUNAUTAIRE

Chapitre: Pneumonie aiguë communautaire
Chemin source: 5ème année\Pédiatrie et urgence pédiatrique\Pneumonie aiguë communautaire.docx
--------------------------------------------------

"question","answer","explanation"
"Quels sont les objectifs pédagogiques du pneumothorax ?","Poser le diagnostic, citer les étiologies et énumérer les principes du traitement.","Il est rare en pédiatrie mais potentiellement grave."
"Comment définit-on un pneumothorax ?","Présence d’air dans l’espace pleural entre plèvre pariétale et viscérale.","Il peut s’accompagner d’emphysème sous-cutané ou de pneumomédiastin."
"Quels sont les signes cliniques chez le grand enfant ?","Douleur basithoracique brutale majorée à l’inspiration, dyspnée, toux sèche, polypnée superficielle, syndrome d’épanchement gazeux (tympanisme, ↓ VV, ↓ MV).","Chez le nouveau-né le tableau est souvent une détresse respiratoire inexpliquée."
"Quels sont les signes radiologiques d’un pneumothorax ?","Décollement pleural, hyperclarté avasculaire limitée par une ligne bordante, surtout à l’apex et en axillaire ; estimation du volume et recherche de signes de gravité.","L’échographie est plus sensible pour les petits pneumothorax."
"Quels sont les signes de gravité d’un pneumothorax ?","Détresse respiratoire, état de choc (pneumothorax compressif), déplacement médiastinal controlatéral, aplatissement diaphragmatique, bilatéralité, maladie sous-jacente (mucoviscidose…).","Le pneumothorax compressif est une urgence vitale."
"Quelles sont les principales étiologies selon l’âge ?","Nouveau-né : traumatisme obstétrical, ventilation artificielle. Nourrisson/enfant : infections (staphylococcie, VRS…), causes iatrogènes, traumatismes, syndromes obstructifs, mucoviscidose, Marfan.","Les causes iatrogènes sont fréquentes en réanimation."
"Quelle est la conduite d’urgence devant un pneumothorax compressif ?","Voie veineuse, exsufflation immédiate à l’aiguille (2ᵉ EIC médio-claviculaire ou 4ᵉ-5ᵉ EIC axillaire), oxygène, remplissage, puis drainage pleural.","L’exsufflation ne doit pas être différée."
"Quelles sont les indications du drainage pleural ?","Pneumothorax de grande taille, mauvaise tolérance, échec de l’exsufflation, ou pneumothorax compressif. Drain 10-14 French avec aspiration douce.","Le drain est maintenu jusqu’à ré-expansion et tarissement de la fuite."
"Quelles consignes donnez-vous après résolution d’un pneumothorax ?","Éviction des voyages en avion et des sports violents pendant 2-6 semaines, contre-indication définitive de la plongée sous-marine.","Ces mesures limitent le risque de récidive."
"Quel est le message clé de conclusion ?","Le diagnostic est clinique et radiologique ; le traitement dépend de la taille et de la tolérance (abstention, exsufflation ou drainage) ; le pneumothorax compressif est une urgence d’exsufflation.","Il n’existe pas de recommandations pédiatriques strictes unifiées."
