"question","answer","explanation"
"Quels sont les objectifs pédagogiques du coma de l’enfant ?","Citer la conduite à tenir et décrire le score de Glasgow pédiatrique.","Ces deux points sont prioritaires en urgence."
"Comment définit-on le coma ?","Abolition de l’état de conscience non réversible sous l’influence de stimulations.","C’est une urgence vitale dont le pronostic dépend de l’étiologie, de la durée et de la cinétique."
"Quels sont les deux mécanismes physiopathologiques principaux du coma ?","Souffrance cérébrale diffuse (infectieuse, toxique, métabolique, anoxique, épileptique) ou lésion directe de la substance réticulée activatrice ascendante (lésion ou compression du tronc cérébral, engagement).","Ces mécanismes orientent le bilan étiologique."
"Quelle est la conduite à tenir immédiate devant un enfant comateux ?","Bilan et stabilisation des fonctions vitales (respiratoire et circulatoire), anamnèse succincte, évaluation de la profondeur du coma, examen neurologique rapide mais rigoureux, recherche étiologique et traitement.","La libération des voies aériennes et la stabilisation hémodynamique passent avant tout."
"Décrire le score de Glasgow pédiatrique (enfants 2-5 ans) et son interprétation.","Ouverture des yeux + réponse verbale (mots appropriés/sourit = 5 → sons incompréhensibles = 1) + réponse motrice (obéit = 6 → aucune = 1). Score 15 = normal ; 8-13 = somnolence/confusion/stupeur ; 3-7 = coma.","Il est adapté à l’âge et reste l’outil de référence."
"Quels sont les quatre stades de profondeur du coma ?","Stade 1 : coma vigile (réaction aux stimuli forts). Stade 2 : coma réactif (réaction adaptée à la douleur). Stade 3 : coma aréactif (réaction absente ou inadaptée). Stade 4 : mort cérébrale.","Cette classification complète le score de Glasgow."
"Quels examens biologiques de première intention demandez-vous devant un coma de l’enfant ?","Glycémie capillaire immédiate (surtout < 2 ans), ionogramme, urée, créatinine, bilan phosphocalcique, bilan hépatique, NFS, CRP, procalcitonine, gaz du sang.","L’hypoglycémie est la hantise chez le nourrisson."
"Quels contextes cliniques orientent rapidement vers une étiologie précise ?","Traumatisme → imagerie cérébrale. Fièvre + signes méningés → infection neuroméningée. Post-critique → coma post-critique (normalement < 30 min). Intoxication, déshydratation, anoxo-ischémie, métabolique.","L’anamnèse et l’examen orientent le bilan."
"Quels éléments de l’examen neurologique recherchez-vous en urgence ?","Réaction d’éveil, réponse verbale et motrice, réflexes du tronc cérébral, tonus, fond d’œil, mouvements anormaux, ROT, signe de Babinski, examen de la fontanelle et du périmètre crânien.","Ces éléments localisent la lésion et évaluent la gravité."
"Quel est le traitement de principe d’un coma de l’enfant ?","Traitement symptomatique (libération des voies aériennes, oxygénation, stabilisation hémodynamique, correction glycémique) + traitement spécifique selon l’étiologie.","La stabilisation des fonctions vitales prime toujours."
