"question","answer","explanation"
"Quelle est la définition histologique la plus fréquente du cancer de la prostate ?","Adénocarcinome dans 98 % des cas.","Il se développe préférentiellement en zone périphérique (70 %)."
"Dans quelle zone de la prostate le cancer se développe-t-il le plus souvent ?","Zone périphérique.","C’est pourquoi il est accessible au toucher rectal, contrairement à l’adénome (zone de transition)."
"Quels sont les éléments de présomption et de certitude du cancer de la prostate ?","Présomption : TR + échographie + PSA. Certitude : biopsies prostatiques.","Aucune thérapeutique lourde ne doit être entreprise sans preuve histologique."
"Quelle est la classification TNM simplifiée du cancer de la prostate (T) ?","T1 : non palpable/non visible ; T2 : limitée à la prostate ; T3 : extension extracapsulaire ou vésicules séminales ; T4 : envahissement des organes de voisinage.","Le T1c correspond à une découverte sur élévation isolée du PSA."
"Qu’est-ce que le score de Gleason ?","Score histopronostique basé sur l’architecture tumorale (somme de deux grades de 1 à 5). Un score > 7 est de mauvais pronostic.","Il reflète le degré de différenciation de la tumeur."
"Quels sont les principaux facteurs de mauvais pronostic du cancer de la prostate ?","TR suspect (prostate fixe), PSA > 10 ng/ml, score de Gleason > 7, grand nombre de biopsies positives, emboles vasculaires, engainement nerveux et présence de métastases.","Ces éléments guident le choix entre traitement curatif et palliatif."
"Quelles sont les circonstances de découverte du cancer de la prostate ?","Dépistage (PSA + TR), signes urinaires d’obstruction ou d’irritation, complications (rétention, infection, insuffisance rénale) ou métastases (douleurs osseuses…).","Un cancer localisé est asymptomatique."
"Quel est le traitement curatif des cancers localisés (T1-T2) ?","Prostatectomie radicale ou radiothérapie (externe ou curiethérapie).","Seuls les cancers localisés peuvent être guéris."
"Quel est le traitement des cancers métastatiques ?","Hormonothérapie (castration chirurgicale ou médicale par anti-androgènes) ± résection endoscopique palliative en cas d’obstruction.","L’hormonothérapie est le traitement palliatif de référence."
"Quelle est « la règle de 3 » du dépistage du cancer de la prostate ?","1. Seuls les cancers localisés peuvent être guéris. 2. Un cancer localisé ne donne pas de symptôme. 3. Un cancer de prostate ne peut donc être guéri que s’il est recherché.","Elle justifie le dépistage chez les hommes à risque."
"Qui doit être dépisté pour un cancer de la prostate ?","Hommes de plus de 50 ans, et plus tôt en cas d’antécédents familiaux de cancer de prostate ou de sein.","Le dépistage repose sur TR + PSA, avec biopsies si anomalie."
