"question","answer","explanation"
"Quels sont les 8 critères de causalité de Bradford Hill ?","1. Force de l’association 2. Stabilité (consistance) 3. Spécificité 4. Relation temporelle 5. Effet dose-réponse 6. Plausibilité biologique 7. Cohérence 8. Expérimentation.","Ce sont des aides à la réflexion et non une liste exhaustive à cocher."
"Quel est le critère de causalité considéré comme une condition nécessaire ?","La relation temporelle (la cause précède toujours l’effet).","Sans antériorité, il ne peut y avoir de lien causal."
"Comment juge-t-on la force de l’association ?","Par la valeur de l’OR ou du RR : plus on s’éloigne de 1, plus l’association est forte.","Un RR ou OR élevé renforce l’hypothèse causale."
"Qu’est-ce que l’effet dose-réponse ?","Augmentation du RR ou de l’OR avec le degré d’exposition.","C’est un critère important en faveur de la causalité."
"Quelle est la définition d’un biais en épidémiologie analytique ?","Erreur systématique survenant lorsque le choix des groupes (exposés/non exposés ou cas/témoins) n’a pas été réalisé indépendamment de la maladie ou de l’exposition.","Il distord la mesure d’association (OR/RR) et met en jeu la validité de l’étude."
"Quels sont les trois grands types de biais ?","Biais de sélection, biais de classement (ou d’information) et biais de confusion.","Ils peuvent créer une fausse association ou en masquer une réelle."
"Qu’est-ce qu’un biais de sélection ?","Échantillon non représentatif de la population étudiée (ex. : pertes de vue différentielles, non-réponses, surveillance différentielle).","Il survient au moment du recrutement ou du suivi."
"Quelle est la différence entre biais de classement différentiel et non différentiel ?","Différentiel : affecte différemment les exposés et les non-exposés (ou cas et témoins) → risque de surestimation. Non différentiel : affecte de la même façon les deux groupes → sous-estimation de l’association.","Le biais non différentiel dilue l’association vers le null."
"Qu’est-ce qu’un facteur de confusion ?","Troisième facteur associé à la fois à l’exposition et à la maladie, qui n’appartient pas à la chaîne causale, et qui peut créer ou masquer une association.","Exemple classique : le tabac dans l’association café – cancer du poumon."
"Pourquoi l’hypercholestérolémie n’est-elle pas un facteur de confusion entre alimentation riche en graisses et infarctus ?","Parce qu’elle se trouve dans la chaîne causale (alimentation riche en graisses → hypercholestérolémie → infarctus).","Un facteur intermédiaire n’est pas un confondeur."
"Comment peut-on contrôler les biais de sélection et d’information ?","Principalement avant le début de l’étude (protocole rigoureux, définition précise des critères, formation des enquêteurs…).","Le biais de confusion peut être contrôlé à la conception et/ou à l’analyse (stratification, ajustement)."
"Quelle est la différence entre « facteur de risque » et « facteur de liaison » ?","Facteur de risque = lien causal établi. Facteur de liaison = association observée sans que les critères de causalité aient encore été tous vérifiés (ex. étude transversale).","La distinction est importante pour l’interprétation."
