"question","answer","explanation"
"Quelle est la définition de la pyélonéphrite aiguë ?","Infection aiguë du parenchyme rénal et de la cavité excrétrice.","La contamination se fait le plus souvent par voie ascendante."
"Quel est le germe le plus fréquemment responsable de pyélonéphrite aiguë ?","Escherichia coli.","Les autres germes sont les bacilles Gram négatif, les streptocoques, staphylocoques et anaérobies."
"Quels sont les principaux facteurs favorisants de la pyélonéphrite aiguë ?","Sexe féminin, stase urinaire (malformations, lithiase, HBP, tumeurs), sonde vésicale, gestes endoscopiques et terrain particulier (diabète, immunodépression, grossesse…).","La stase urinaire est un facteur majeur."
"Quelle est la triade clinique typique de la pyélonéphrite aiguë non compliquée ?","Fièvre + douleur de la fosse lombaire + troubles mictionnels (brûlures, pollakiurie).","S’y associent souvent nausées, vomissements et frissons."
"Quels examens biologiques sont indispensables devant une suspicion de PNA ?","Bandelette urinaire puis ECBU avant toute antibiothérapie, NFS, CRP (± procalcitonine).","L’ECBU confirme le diagnostic et guide l’antibiothérapie."
"Quels sont les facteurs de risque qui font classer une PNA comme compliquée ?","Sexe masculin, âge avancé, diabète, immunodépression, grossesse, insuffisance rénale, rein unique et obstacle sur les voies urinaires.","Ces formes nécessitent une hospitalisation et un traitement plus agressif."
"Quelles sont les formes graves de pyélonéphrite aiguë ?","Abcès rénal, pyonéphrose, pyélonéphrite emphysémateuse (diabétique), pyélonéphrite xanthogranulomateuse et septicémie/choc septique.","La pyélonéphrite emphysémateuse et la pyonéphrose sont des urgences médico-chirurgicales."
"Quel est le traitement d’une pyélonéphrite aiguë non compliquée de la femme jeune ?","Traitement ambulatoire possible : antalgiques + C3G orale (ou fluoroquinolone) pendant 10 à 15 jours, adaptée secondairement à l’antibiogramme.","L’ECBU est toujours prélevé avant de commencer l’antibiotique."
"Quel est le traitement d’une pyélonéphrite aiguë compliquée ?","Hospitalisation, bithérapie probabiliste (C3G + aminoside si fonction rénale normale), durée 3 à 6 semaines, et drainage en urgence s’il existe un obstacle ou une collection.","Chez la femme enceinte, aminosides et quinolones sont contre-indiqués."
"Quand faut-il drainer en urgence une pyélonéphrite ?","En cas d’obstacle (lithiase, sténose…), de pyonéphrose ou d’abcès rénal.","Le drainage se fait par sonde JJ ou néphrostomie."
