"question","answer","explanation"
"Quelle est la place des tumeurs de la vessie parmi les cancers urologiques ?","Deuxième tumeur urologique après le cancer de la prostate.","Elles sont fréquentes, multifocales et récidivantes."
"Quel est le principal facteur de risque des tumeurs de la vessie ?","Tabagisme (risque × 3 ; 80 % des patients sont fumeurs).","Les autres facteurs sont professionnels (hydrocarbures, caoutchouc, peintures), bilharziose et irritations chroniques."
"Quel est le type histologique le plus fréquent ?","Carcinome urothélial (95 %).","Le carcinome épidermoïde est lié à la bilharziose."
"Comment classe-t-on les tumeurs de la vessie selon l’invasion musculaire ?","TVNIM (tumeurs non infiltrant le muscle) et TVIM (tumeurs infiltrant le muscle).","Cette distinction conditionne le traitement et le pronostic."
"Quel est le signe clinique le plus fréquent révélant une tumeur de la vessie ?","Hématurie terminale caillotante, souvent indolore.","Toute hématurie doit faire rechercher une tumeur vésicale."
"Quels examens permettent le diagnostic positif d’une tumeur de la vessie ?","Cytologie urinaire, cystoscopie avec résection-biopsie (RTUV) et imagerie (UIV ou uroscanner montrant une lacune).","La RTUV est à la fois diagnostique et thérapeutique pour les tumeurs superficielles."
"Quel est le taux de récidive des TVNIM sans traitement préventif ?","60 à 80 %.","Une surveillance endoscopique rapprochée est indispensable."
"Quel est le traitement des tumeurs superficielles (TVNIM) ?","Résection transurétrale de vessie (RTUV) ± instillations endovésicales.","Le but est d’éviter la progression vers l’infiltration musculaire."
"Quel est le traitement des tumeurs infiltrant le muscle (TVIM) ?","Cystectomie totale avec dérivation urinaire (urétérostomie cutanée ou remplacement).","Le pronostic reste réservé même après traitement."
"Pourquoi dit-on que « toute tumeur de la vessie = cancer » ?","Parce que l’on ne peut prédire le moment où un polype superficiel progressera vers une forme infiltrante.","Toute lésion doit être considérée et traitée comme potentiellement maligne."
