"question","answer","explanation"
"Quels sont les objectifs pédagogiques du développement psychomoteur de l’enfant ?","Identifier les repères de développement normal et dépister les anomalies, surtout chez les sujets à risque (prématurés, asphyxiés…).","Le dépistage précoce permet une prise en charge adaptée."
"Quels sont les quatre domaines évalués dans le développement psychomoteur ?","Motricité globale (posture), motricité fine (coordination oculo-manuelle), langage et sociabilité.","Ces quatre axes reflètent la maturation du système nerveux central."
"Quels sont les principaux réflexes archaïques du nouveau-né et à quel âge disparaissent-ils ?","Réflexe de Moro, succion, agrippement, marche automatique, allongement croisé. Ils disparaissent entre 2 et 4 mois.","Leur persistance au-delà de 4-6 mois est un signe d’alerte."
"Quels sont les repères moteurs globaux majeurs de 0 à 12 mois ?","3 mois : tenue de tête. 6 mois : se retourne, tient assis un court instant. 7-9 mois : station assise sans appui. 9 mois : debout avec appui. 10-12 mois : debout sans appui. 12-18 mois : marche autonome.","Ces âges sont des moyennes ; il existe des variations individuelles."
"Quels sont les repères de langage de 0 à 3 ans ?","2 mois : gazouillis. 5-6 mois : babillage canonique. 10 mois : « papa/maman » appropriés. 12-13 mois : premiers mots. 24 mois : association de 2 mots. 3 ans : utilisation du « je ».","L’absence de babillage à 9 mois ou de mots à 15 mois est un signe d’alerte."
"Quels sont les repères de sociabilité importants ?","6 semaines-3 mois : sourire-réponse. 7 mois : attention conjointe. 8-9 mois : angoisse de l’étranger. 24 mois : jeu de faire-semblant.","L’absence de sourire-réponse à 2 mois est un signe d’alerte majeur."
"Quels sont les signes d’alerte moteurs à connaître ?","Pas de tenue de tête stable à 4 mois, pas de station assise à 9 mois, pas de marche à 18 mois.","Un décalage dans plusieurs domaines nécessite un avis spécialisé."
"Quels sont les signes d’alerte du langage et de la sociabilité ?","Langage : pas de babillage à 9 mois, pas de mot à 15 mois, pas de phrase à 3 ans. Sociabilité : pas de sourire-réponse à 2 mois, pas d’attention conjointe à 7 mois, pas de jeu d’imitation à 24 mois.","Ces signes imposent un suivi rapproché ou une consultation spécialisée."
"Quels sont les repères d’autonomie importants ?","12-36 mois : propreté de jour. 24-60 mois : propreté de nuit. 20 mois : boit seul. 3 ans : se déshabille. 4-5 ans : s’habille (boutons). 6 ans : noue ses lacets.","Ces acquisitions font partie de l’évaluation globale."
"Quel est le message clé de conclusion concernant le développement psychomoteur ?","Les parents sont des collaborateurs essentiels. Les examens systématiques rassurent et permettent de dépister les retards, surtout chez les enfants à risque. Un décalage isolé mérite un suivi ; un décalage multiple impose un avis spécialisé.","Le développement doit être évalué de façon répétée dans le temps."
