"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la malnutrition aiguë sévère ?","Comprendre la physiopathologie, poser le diagnostic, identifier les complications et énumérer les principes de la prise en charge nutritionnelle.","C’est un problème de santé publique majeur et une cause principale de mortalité avant 5 ans."
"Quels sont les critères diagnostiques de la malnutrition aiguë sévère ?","Poids/Taille < –3 DS ou périmètre brachial < 115 mm, ou signes d’émaciation visible, ou œdème nutritionnel.","Ces critères définissent l’urgence nutritionnelle."
"Quels sont les signes cliniques d’émaciation ?","Maigreur extrême, facies de vieillard, pli de dénutrition, cheveux froissés et crépus, « pantalon large » autour des fesses.","Ils témoignent de la perte de masse grasse puis musculaire."
"Quels sont les signes de l’œdème nutritionnel ?","Œdèmes blancs, mous, indolores des pieds, chevilles et jambes pouvant aller jusqu’à l’anasarque, avec lésions cutanées (desquamation, phlyctènes, ulcérations).","Ils sont liés à l’hypoalbuminémie."
"Quelles sont les principales complications de la MAS ?","Hypoglycémie, hypothermie, diarrhée ± déshydratation, infections sévères (pneumonie, sepsis, méningite), anémie sévère, refus alimentaire, détresse respiratoire, troubles de conscience.","Ces complications imposent une hospitalisation en CRENI."
"Quelles sont les trois phases de la prise en charge nutritionnelle en CRENI ?","Phase aiguë/stabilisation (F75 100-130 ml/kg/j), phase de transition (F100 ou ATPE), phase de récupération (ATPE 150-185 kcal/kg/j).","Chaque phase a des objectifs précis de surveillance."
"Quels signes de surcharge surveille-t-on pendant la phase de stabilisation ?","Augmentation de la fréquence respiratoire, augmentation de la taille du foie, signes de choc (TRC > 3 s, extrémités froides, pouls filant).","Le myocarde atrophié expose au risque de surcharge hydrique."
"Quels sont les critères de transfert du CRENI vers le CRENAS ?","Disparition ou stabilisation des complications, œdème absent ou discret, consommation ≥ 75 % de la ration d’ATPE, vaccination à jour.","La décision repose sur l’état clinique et non uniquement sur les mensurations."
"Quelle est la particularité de la prise en charge des nourrissons de moins de 6 mois ?","F100 dilué (sans œdème) ou F75 (avec œdème), associé à une technique de supplémentation par succion pour favoriser la reprise de l’allaitement maternel exclusif.","L’objectif est le retour à l’allaitement exclusif."
"Quel est le message clé de conclusion ?","La MAS est une urgence nutritionnelle et médicale ; le diagnostic repose sur des critères anthropométriques et cliniques ; la prise en charge se fait en phases successives avec surveillance étroite des complications.","Le dépistage précoce et le référencement approprié sauvent des vies."
