"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la glomérulonéphrite aiguë post-infectieuse ?","Définir la GNA, décrire le diagnostic positif et de gravité, décrire le traitement et les éléments de surveillance.","Ces points couvrent l’essentiel de la prise en charge."
"Comment définit-on la glomérulonéphrite aiguë post-infectieuse ?","Maladie rénale aiguë associant une atteinte glomérulaire (prolifération endocapillaire) et tubulaire avec activation du complément, survenant au cours ou au décours d’une infection aiguë (le plus souvent streptococcique).","Elle touche surtout les enfants de 2 à 10 ans."
"Quel est le mode de survenue typique de la GNA post-streptococcique ?","Infection des voies aériennes supérieures (angine) ou cutanée (impétigo) à streptocoque β-hémolytique du groupe A, suivie d’un intervalle libre de 10 à 21 jours, puis installation brusque d’un syndrome néphritique.","L’intervalle libre est un élément clé du diagnostic."
"Quels sont les éléments du syndrome néphritique aigu ?","Oligurie, hypertension artérielle, œdèmes périphériques, protéinurie glomérulaire (souvent 30-50 mg/kg/24 h) et hématurie glomérulaire (microscopique avec cylindres hématiques ou macroscopique totale sans caillot).","C’est le tableau clinique et biologique caractéristique."
"Quelles anomalies du complément observe-t-on dans la GNA post-streptococcique ?","Diminution isolée et prolongée du C3 (jusqu’à 1 mois) avec C4 normal.","Une baisse associée du C3 et du C4 oriente vers d’autres germes."
"Quels sont les signes de gravité d’une GNA ?","Syndrome néphritique agressif, insuffisance rénale avec oligo-anurie, rétention hydro-sodée responsable d’une HTA menaçante et d’un risque d’œdème cérébral.","Ces formes peuvent nécessiter une épuration extra-rénale."
"Quel est le traitement symptomatique de première intention ?","Repos au lit, restriction hydro-sodée et furosémide IV (2-3 mg/kg, ou 5 mg/kg si oligurie).","Le traitement est essentiellement symptomatique."
"Quand indique-t-on une épuration extra-rénale ?","Oligo-anurie prolongée > 24 h ou insuffisance rénale sévère avec troubles hydro-électrolytiques importants.","Hémodialyse ou dialyse péritonéale selon les disponibilités."
"Quelle est l’évolution habituelle de la GNA post-streptococcique ?","Régression clinique en quelques jours, normalisation de la fonction rénale en 1-2 semaines, normalisation du complément en 2-3 mois, anomalies urinaires pouvant persister plusieurs mois. Guérison totale dans 90-95 % des cas.","Les récidives sont possibles mais rares."
"Quels éléments surveille-t-on à court et long terme ?","Poids, pression artérielle, diurèse, créatinine, protéinurie, hématurie et normalisation du C3/C4. Surveillance prolongée de la PA et de la fonction rénale après guérison.","La surveillance au long cours permet de dépister d’éventuelles séquelles."
