"question","answer","explanation"
"De quoi est constitué un médicament ?","D’un (ou plusieurs) principe(s) actif(s) et d’excipients appropriés.","Le principe actif exerce l’action pharmacologique ; les excipients facilitent l’administration, modulent la libération et garantissent la stabilité."
"Quels sont les trois types de dénominations d’un médicament ?","Dénomination scientifique (basée sur la formule chimique), dénomination commune (internationale) et dénomination commerciale (nom de marque).","La dénomination commune internationale (DCI) est la plus utile pour le prescripteur."
"Donnez un exemple complet de triple dénomination.","Acide 2-acétyloxybenzoïque (scientifique) = acide acétylsalicylique (commune) = Aspirine®, Aspro®, Kardegic® (commerciales).","Un même principe actif peut avoir de nombreuses dénominations commerciales."
"Pourquoi est-il recommandé de prescrire en dénomination commune internationale (DCI) ?","Parce qu’un même principe actif peut être vendu sous de nombreux noms commerciaux différents selon les pays et les fabricants ; la DCI évite les confusions et les erreurs.","Elle facilite aussi la comparaison et la substitution par des génériques."
"Quelles sont les quatre grandes utilisations des médicaments ?","Prévention (individuelle ou collective), traitement (étiologique, substitutif ou symptomatique), diagnostic (morphologique) et étude pharmacodynamique (exploration fonctionnelle).","Cette classification couvre l’ensemble des usages médicaux."
"Qu’est-ce qu’un traitement étiologique ? Donnez un exemple.","Traitement qui cible la cause de la maladie. Exemple : antibiotiques en cas d’infection bactérienne.","Il s’oppose au traitement purement symptomatique."
"Qu’est-ce qu’un traitement substitutif ? Donnez un exemple.","Traitement qui apporte l’élément manquant à l’organisme. Exemple : insuline dans le diabète de type 1.","Il corrige un déficit."
"Qu’est-ce qu’un traitement symptomatique ? Donnez un exemple.","Traitement qui s’attaque aux manifestations cliniques sans traiter la cause. Exemple : antalgiques.","Il améliore le confort du patient."
"Quel est l’intérêt de connaître les dénominations et les indications des médicaments ?","Faciliter la prescription, limiter les effets indésirables et les intoxications, et assurer une utilisation appropriée.","Ces connaissances réduisent aussi les interactions médicamenteuses."
"Pourquoi les excipients doivent-ils être connus du prescripteur ?","Parce qu’ils peuvent avoir des effets notoires (allergies, interactions, influence sur la biodisponibilité).","Ils ne sont plus considérés comme totalement inertes."
"Donnez un exemple de médicament utilisé à visée diagnostique morphologique.","Les produits de contraste (opacifiants) permettant de visualiser la morphologie des organes.","Ils entrent dans la définition légale du médicament."
"Donnez un exemple d’utilisation à visée d’étude pharmacodynamique.","Molécules inhibitrices ou stimulatrices utilisées pour explorer le fonctionnement d’un appareil ou d’un organe (ex. tests de stimulation hormonale).","Ces tests aident au diagnostic fonctionnel."
"Quels sont les trois types de dénomination d’un médicament ?","Dénomination scientifique (formule chimique), dénomination commune (internationale, simple et universelle) et dénomination commerciale (marque déposée).","La dénomination commune internationale (DCI) est celle à privilégier pour la prescription."
"Donnez un exemple de correspondance scientifique / commune / commerciale.","Acide 2-acétyloxybenzoïque → acide acétylsalicylique → Aspirine, Aspro, Catalgine, Kardegic.","Un même principe actif peut avoir plusieurs noms commerciaux."
"Quels sont les quatre grands types d’utilisation des médicaments ?","Prévention (individuelle ou collective), traitement (étiologique, substitutif, symptomatique), diagnostic (morphologique) et étude pharmacodynamique.","Chaque type répond à un objectif différent."
"Qu’est-ce qu’un traitement étiologique, substitutif et symptomatique ?","Étiologique : cible la cause (antibiotique). Substitutif : apporte l’élément manquant (insuline). Symptomatique : agit sur les manifestations (antalgique).","Ils peuvent être associés."
"Pourquoi faut-il connaître les excipients ?","Parce qu’ils peuvent avoir des effets notoires et participer aux effets indésirables ou aux interactions.","Ils facilitent aussi l’administration, la libération et la stabilité du principe actif."
"Quel est l’intérêt principal de se baser sur la dénomination commune internationale ?","Éviter les confusions liées à la multiplicité des noms commerciaux et standardiser la prescription.","Cela limite les erreurs et les intoxications."
