"question","answer","explanation"
"question","answer","explanation"
"Quelle est la définition de la prévalence ?","Proportion de sujets d’une population atteints de la maladie à un moment précis (date). Prévalence = nombre de cas à l’instant t / population totale à cet instant t.","Elle mesure l’importance de la maladie à un instant donné."
"Quelle est la définition de l’incidence ?","Rapport du nombre de nouveaux cas survenus pendant une période donnée sur la population soumise au risque pendant cette période.","Elle mesure le risque de contracter la maladie."
"Quelle est la relation entre incidence et prévalence ?","L’incidence fait augmenter ou diminuer la prévalence. Une incidence élevée augmente la prévalence ; une incidence basse la stabilise. La vitesse de guérison ou de décès influence également la prévalence.","Prévalence ≈ incidence × durée moyenne de la maladie."
"Qu’est-ce que la létalité ?","Taux d’individus morts d’une maladie parmi les personnes atteintes de cette maladie. Létalité = nombre de décès dus à la maladie / nombre de personnes atteintes.","C’est une probabilité conditionnelle de mourir quand on est malade."
"Calculez la létalité : parmi 12 900 cas de rougeole, 44 sont décédés.","Létalité = 44 / 12 900 ≈ 0,0034 = 3,4 ‰.","Exemple du cours."
"Qu’est-ce que la mortalité globale ?","Nombre de décès (toutes causes) survenus dans une population pendant une période / population étudiée pendant cette période.","Elle mesure l’incidence des décès."
"Qu’est-ce que la mortalité spécifique ?","Nombre de décès dus à une cause (maladie, âge, sexe…) pendant une période / population étudiée pendant cette période.","Elle précise la cause des décès."
"Qu’est-ce que la mortalité proportionnelle ?","Nombre de décès dus à une cause donnée / nombre total de décès.","Elle indique la part d’une cause dans l’ensemble des décès."
"Exercice : parmi 3000 enfants, 20 cas de paludisme dont 4 décès ; total des décès toutes causes = 100. Calculez létalité, mortalité globale, mortalité spécifique et mortalité proportionnelle du paludisme.","Létalité = 4/20 = 20 % ; Mortalité globale = 100/3000 ≈ 3,3 % ; Mortalité spécifique palu = 4/3000 ≈ 1,3 ‰ ; Mortalité proportionnelle palu = 4/100 = 4 %.","Application directe des formules."
"Qu’est-ce qu’une épidémie ?","Augmentation anormale du nombre de cas d’une maladie à un moment donné, en un endroit précis et dans une population déterminée (supérieur à la moyenne + 2 écarts-types).","La déclaration d’une épidémie est une décision délicate."
"Qu’est-ce qu’une endémie ?","Incidence de la maladie qui reste généralement stable au fil des périodes successives (fréquente ou rare).","Contrairement à l’épidémie qui est une augmentation anormale."
"Qu’est-ce qu’une pandémie ?","Grande propagation géographique avec atteinte simultanée de plusieurs continents (ex. : SIDA).","Elle dépasse le cadre d’un seul pays ou continent."
