"question","answer","explanation"
"Quelle est l’étymologie et la définition de la pharmacologie ?","Du grec « Pharmakon » (remède et poison). C’est la « science des médicaments » sans limitation.","Les médicaments sont l’arme principale du médecin pour guérir, soulager ou prévenir les maladies."
"Quels sont les intérêts de l’étude de la pharmacologie ?","Compréhension de la physiologie normale ou pathologique, applications thérapeutiques, prévention des maladies et développement de nouveaux médicaments.","Elle constitue un préalable indispensable à la thérapeutique."
"Quels sont les niveaux d’organisation de l’organisme rappelés en introduction ?","11 systèmes, 7 appareils, ~80 organes, 4 tissus principaux (épithélial, conjonctif, musculaire, nerveux), cellules (propres et commensales) et molécules (macromolécules, eau, électrolytes, oligoéléments).","Ces niveaux permettent de comprendre où agissent les médicaments."
"Quels agents de l’écosystème peuvent perturber le fonctionnement de l’organisme ?","Agents physiques (traumatisme, température, irradiation…), chimiques (médicaments, polluants…), biologiques (bactéries, virus, parasites…) et situations (hypoxie, déficits, stress, déséquilibres nutritionnels).","Ces perturbations aboutissent aux mécanismes physiopathologiques."
"Quel est le schéma progressif des mécanismes physiopathologiques ?","Fonctionnement normal → atteinte moléculaire/réactions → atteinte cellulaire → tissulaire → d’organe → d’appareil → d’autres appareils → décès (ou baisse de performance sans manifestation clinique).","Les manifestations cliniques apparaissent de façon progressive ou rapide."
"Quelle est la place de la pharmacologie par rapport à la thérapeutique ?","La pharmacologie est un préalable indispensable, un guide et une source d’optimisation du rendement thérapeutique.","Elle permet d’utiliser rationnellement les médicaments."
"Quel est l’objectif général de l’enseignement de la pharmacologie en médecine ?","Fournir aux futurs praticiens les connaissances de base afin qu’ils puissent utiliser rationnellement les médicaments dans la thérapeutique.","C’est l’objectif central de la discipline dans les facultés de médecine."
"Quels sont les 4 tissus principaux de l’organisme ?","Tissus épithéliaux, conjonctifs, musculaires et nerveux.","Ils constituent les organes et les appareils."
"Combien de cellules propres et de bactéries commensales possède un homme de 70 kg ?","Environ 30 000 milliards de cellules propres et 38 000 milliards de bactéries commensales.","L’équilibre de ce microbiote influence la réponse aux médicaments."
"Quel est le message clé de conclusion ?","La pharmacologie est la science des médicaments et un préalable indispensable à la thérapeutique rationnelle.","Sans pharmacologie, pas d’usage optimal des médicaments."
