"question","answer","explanation"
"Quelles sont les trois principales pathologies liées à la persistance du canal péritonéo-vaginal ?","Hernie inguinale (ou inguino-scrotale), hydrocèle et kyste du cordon spermatique.","Ces trois entités résultent de la non-oblitération du canal péritonéo-vaginal."
"Quelle est la définition de la hernie inguinale congénitale du garçon ?","Issue de viscères abdominaux empruntant le trajet du canal péritonéo-vaginal persistant.","C’est une hernie congénitale à paroi normale, toujours oblique externe, avec un risque permanent d’étranglement."
"Quels sont les signes cliniques d’une hernie inguinale non compliquée ?","Tuméfaction inguinale ou inguino-scrotale, molasse, intermittente ou permanente, indolore, réductible spontanément ou facilement.","Le diagnostic est essentiellement clinique."
"Quels sont les signes cliniques d’une hernie étranglée ?","Tuméfaction inguinale ou inguino-scrotale permanente, douloureuse, fixée et irréductible, éventuellement associée à un syndrome occlusif.","C’est une urgence thérapeutique qui expose à l’ischémie, la nécrose intestinale et la nécrose testiculaire."
"Quelle est la conduite à tenir devant une hernie étranglée de moins de 6 heures chez un petit garçon ?","Hospitalisation en urgence, tentative de réduction par manœuvre de taxis après sédation (Valium 0,5 mg/kg ou Hypnovel 0,1 mg/kg en intra-rectal), repos au calme 20-30 minutes, puis pression douce 3-5 minutes. Si réduction réussie → cure chirurgicale secondaire. Si échec ou vu tardivement → chirurgie d’emblée.","La réduction non chirurgicale n’est tentée que si l’étranglement date de moins de 6 heures."
"Quelle est la conduite à tenir devant une hernie ovarienne chez une petite fille ?","Ne pas tenter de réduire la hernie. Le traitement chirurgical (herniotomie) doit être réalisé rapidement (souvent avant l’âge de 1 an ou dès le diagnostic) en raison du risque d’ischémie ovarienne.","Chez la fille, on évite toute manœuvre de taxis."
"Quels sont les signes cliniques de l’hydrocèle ?","Augmentation de volume de la bourse, indolore, avec transillumination positive.","Elle correspond à une accumulation de liquide péritonéal dans la vaginale (communicante ou non communicante)."
"Quelle est la différence entre hydrocèle communicante et non communicante ?","Communicante : communication libre avec la cavité péritonéale (volume variable). Non communicante : liquide piégé dans le scrotum.","Le traitement consiste dans les deux cas à fermer le canal péritonéo-vaginal."
"Quels sont les signes cliniques du kyste du cordon spermatique ?","Tuméfaction suspendue, indolore et mobile sur le trajet du cordon spermatique (inguinale, pas scrotale).","Il s’agit d’un kyste développé au sein du canal péritonéo-vaginal."
"Quels sont les principes du traitement chirurgical des pathologies liées à la persistance du canal péritonéo-vaginal ?","Fermeture du canal péritonéo-vaginal (herniotomie par abord inguinal). En cas d’hydrocèle ou de kyste : drainage du liquide et résection prudente partielle de la vaginale. En cas d’anomalie de migration testiculaire associée : abaissement testiculaire dans le même temps.","Toute hernie diagnostiquée est une indication opératoire."
