"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la diarrhée chronique de l’enfant ?","Définir une diarrhée chronique et orienter la démarche diagnostique.","La définition précise et l’orientation étiologique sont prioritaires."
"Comment définit-on une diarrhée chronique ?","Émission de selles molles à liquides trop fréquentes (≥ 3/j ou > 10 g/kg/j chez le nourrisson / > 200 g/j chez le grand enfant) depuis plus de 14 jours.","Il faut toujours éliminer la fausse diarrhée du constipé."
"Quelles sont les étapes de la démarche diagnostique devant une diarrhée chronique ?","1. Confirmer la réalité de la diarrhée. 2. Évaluer le retentissement nutritionnel et psychomoteur. 3. Orienter l’étiologie selon l’âge, l’histoire diététique, le type de diarrhée et les signes associés.","L’évaluation du retentissement (courbes, aspect, développement) est fondamentale."
"Quelle est la première cause de diarrhée chronique sans retentissement nutritionnel chez le nourrisson ?","La colopathie fonctionnelle (après 6 mois, souvent 2e année).","Elle se caractérise par des selles hétérogènes avec glaires et débris alimentaires, état général parfait et croissance normale."
"Quels sont les quatre grands types physiopathologiques de diarrhée chronique ?","Maldigestion, malabsorption intestinale, diarrhée sécrétoire et colites inflammatoires.","Chaque type a un aspect de selles et un profil biochimique caractéristiques."
"Quels signes orientent vers une maldigestion ?","Selles volumineuses, pâteuses, décolorées, nauséabondes, graisseuses. Stéatorrhée massive (20-30 g/j) et élastase fécale effondrée.","Penser à la mucoviscidose (test de la sueur)."
"Quels signes orientent vers une malabsorption intestinale ?","Selles molles ou semi-liquides « en bouse de vache », stéatorrhée modérée (5-10 g/j).","Penser à la maladie cœliaque (anticorps anti-transglutaminase)."
"Quels signes orientent vers une colite inflammatoire ?","Selles peu volumineuses mais fréquentes, glairo-sanglantes, douleurs coliques, calprotectine fécale élevée.","La maladie de Crohn est la plus fréquente des colites inflammatoires chez le grand enfant."
"Quelles sont les causes de diarrhée chronique à début néonatal ?","Entérocolite ulcéro-nécrosante, intolérances congénitales (lactose, glucose-galactose), diarrhée chlorée/sodée congénitale, atrophie microvillositaire, dysplasie intestinale, diarrhées syndromatiques.","Le début avant ou après J5 et l’effet de la mise à jeun orientent."
"Quel est le message clé de conclusion concernant la diarrhée chronique ?","La colopathie fonctionnelle est de loin la cause la plus fréquente ; le diagnostic est clinique. Les autres causes (infectieuses, malformatives, inflammatoires) sont orientées par la clinique et confirmées par des examens ciblés.","La maladie cœliaque reste rare à Madagascar."
