"question","answer","explanation"
"Quelle est la définition de l’abcès et de la fistule péri-anale ?","L’abcès péri-anal est une infection aiguë ou chronique de l’anus, dont le point de départ est situé à l’intérieur du canal anal, au niveau des cryptes et des glandes de Hermann-Desfosses. L’abcès correspond à une collection abcédée intrasphinctérienne, tandis que la fistule péri-anale constitue son mode évolutif ou sa complication évolutive, avec ouverture vers la peau ou d’autres organes avoisinants.","L’abcès correspond à la phase suppurée initiale ; la fistule correspond à une évolution avec persistance d’un trajet de communication."
"Quel est le mécanisme de formation d’un abcès péri-anal ?","Il se constitue un micro-abcès intrasphinctérien communiquant avec le fond des cryptes par l’intermédiaire des canaux glandulaires.","Le foyer infectieux débute au niveau des glandes et des cryptes avant de diffuser dans les tissus voisins."
"Selon quelles voies le micro-abcès péri-anal peut-il diffuser ?","Il peut diffuser vers la peau par un orifice externe ou vers le rectum par un orifice interne secondaire.","La direction de diffusion dépend de la topographie du foyer infectieux."
"Quelles sont les deux principales évolutions possibles d’un abcès péri-anal ?","Le trajet fistuleux peut persister et entretenir le foyer abcédé, conduisant à une fistule péri-anale ; ou il peut se résorber temporairement, avec une période d’accalmie suivie d’un réveil infectieux responsable d’un abcès péri-anal récidivant.","La persistance du trajet explique la fistulisation, tandis que sa fermeture temporaire explique les récidives."
"Quelles sont les différentes localisations anatomiques des abcès péri-anaux ?","On distingue les abcès sous-muqueux, sous-cutanés, de l’espace pelvi-rectal supérieur, de la fosse ischio-rectale et intersphinctériens.","La topographie de l’abcès est importante pour comprendre sa diffusion et orienter sa prise en charge."
"Quelles sont les quatre formes de fistules péri-anales selon la classification d’Arnous Bensaude ?","La fistule intrasphinctérienne, la fistule trans-sphinctérienne, la fistule supra-sphinctérienne et la fistule intramurale.","Cette classification repose essentiellement sur les rapports du trajet fistuleux avec les structures sphinctériennes."
"Comment se définit une fistule trans-sphinctérienne dans la classification d’Arnous Bensaude ?","Elle comporte une forme inférieure, dont le trajet se situe entre le sphincter sous-cutané et le sphincter superficiel, et une forme profonde, dont le trajet se situe entre le sphincter profond et les releveurs de l’anus.","La profondeur du trajet trans-sphinctérien permet de distinguer les formes inférieure et profonde."
"Quels sont les principaux signes généraux et fonctionnels d’un abcès péri-anal ?","Le signe général principal est une fièvre d’intensité variable. Le signe fonctionnel principal est une douleur anale permanente et continue, non rythmée par la défécation mais aggravée par celle-ci.","La douleur permanente et aggravée par la défécation constitue un élément clinique important de l’abcès péri-anal."
"Quels sont les principaux signes retrouvés à l’inspection et au toucher rectal en cas d’abcès péri-anal ?","L’inspection retrouve une tuméfaction rose, luisante, à point de se rompre. Le toucher péri-anal retrouve une induration, apprécie la diffusion de l’infection et peut provoquer l’écoulement de pus lors du déplissement de la région anale.","L’examen local permet de préciser l’existence et l’étendue du foyer suppuré."
"Quels éléments recherche-t-on au toucher anal chez un patient présentant un abcès péri-anal ?","On recherche une béance du canal anal, une tuméfaction inflammatoire au niveau de la région cutanée, une tuméfaction en forme d’amande au niveau de la ligne pectinée et éventuellement un abcès intramural en dehors des lignes pectinées.","Le toucher anal permet notamment d’apprécier la localisation du foyer par rapport à la ligne pectinée."
"Quels sont les signes cliniques caractéristiques d’une fistule péri-anale ?","Elle se manifeste principalement par un écoulement anal rythmé par la défécation, d’aspect glaireux ou purulent. L’orifice externe siège généralement au niveau d’un trou cicatriciel d’où peut s’écouler du pus et peut être multiple.","La présence d’un écoulement chronique rythmé par la défécation évoque l’existence d’un trajet fistuleux persistant."
"Où se situe l’orifice interne d’une fistule péri-anale et comment peut-on le mettre en évidence ?","L’orifice interne siège au niveau des cryptes, sur la ligne pectinée, et peut être apprécié au toucher anal et objectivé par l’anuscopie.","L’identification de l’orifice interne permet de préciser le trajet fistuleux et son point de communication avec le canal anal."
"Quel examen paraclinique peut être utilisé dans l’exploration d’une fistule péri-anale et que montre-t-il ?","La fistulographie permet d’objectiver la communication avec le canal anal et le trajet fistuleux. Elle peut également montrer un diverticule sur ce trajet.","La fistulographie complète l’examen clinique en visualisant le trajet de la fistule."
