"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la laryngite aiguë de l’enfant ?","Poser le diagnostic positif et étiologique, et citer les principes de la prise en charge.","C’est une situation fréquente dont la forme sévère met en jeu le pronostic vital à court terme."
"Quels sont les signes cliniques permettant de reconnaître une dyspnée laryngée ?","Modification du cri ou de la voix, toux rauque et aboyante, bradypnée inspiratoire, stridor et cornage.","Ces signes orientent vers une obstruction des voies aériennes supérieures."
"Comment interprète-t-on le score de Westley ?","≤ 2 : laryngite légère ; 3-5 : modérée ; 6-11 : sévère ; ≥ 12 : détresse respiratoire imminente.","Il quantifie la gravité (tirage, stridor, entrée d’air, cyanose, conscience)."
"Quelles sont les caractéristiques de la laryngite sous-glottique ?","Garçon de 1-3 ans, saison hivernale, virus para-influenzae, début nocturne, fièvre modérée, toux aboyante, bradypnée inspiratoire et cornage.","C’est la forme la plus fréquente."
"Quels sont les signes cliniques de l’épiglottite et les gestes contre-indiqués ?","Enfant pâle, angoissé, fièvre élevée, dysphagie, hypersialorrhée, position assise penchée en avant, voix étouffée, absence de toux. Contre-indiqués : allonger l’enfant, examiner le pharynx, radiographie ou fibroscopie.","C’est une urgence absolue (Haemophilus influenzae)."
"Quelle est la prise en charge de la laryngite sous-glottique ?","Humidification de l’air, corticothérapie, aérosol d’adrénaline si forme sévère ; hospitalisation si persistance des signes.","L’hospitalisation n’est pas systématique dans les formes légères."
"Quelle est la conduite à tenir devant une épiglottite ?","Hospitalisation en réanimation, intubation, bilan infectieux, antibiothérapie ; prévention par la vaccination.","Le pronostic dépend de la rapidité de la sécurisation des voies aériennes."
"Quelles sont les autres formes de laryngite et leur étiologie ?","Laryngite striduleuse (virale, 3-6 ans, début nocturne brutal) et laryngo-trachéite bactérienne (staphylocoque ou Haemophilus, fièvre élevée, encombrement).","La laryngo-trachéite impose souvent une intubation."
"Quels diagnostics différentiels évoquez-vous devant une dyspnée laryngée ?","Abcès rétro-pharyngé, corps étranger, tumeur, pleuropneumopathie, asthme.","Il faut toujours éliminer un corps étranger."
"Quel est le message clé de conclusion ?","Devant une dyspnée laryngée, poser le diagnostic, évaluer la gravité (score de Westley), reconnaître le niveau d’atteinte (sus-, glottique ou sous-glottique) et adapter la conduite à tenir.","La reconnaissance rapide de l’épiglottite sauve des vies."
