"question","answer","explanation"
"Quelle est la définition de la peste ?","Zoonose endémique des rongeurs due à Yersinia pestis, transmise à l’homme par piqûre de puces infectées (Xenopsylla cheopis).","Maladie à déclaration obligatoire, à létalité élevée sans traitement."
"Quels sont les trois formes cliniques principales de la peste ?","Bubonique (gonflement ganglionnaire douloureux), pulmonaire (contagieuse : toux, expectoration sanglante) et septicémique (grave).","La forme pulmonaire est responsable de la transmission interhumaine."
"Comment définit-on un cas confirmé de peste ?","Cas suspect confirmé par isolement de Y. pestis en culture ou par TDR détectant l’antigène F1.","Les cas suspects et probables sont définis cliniquement et épidémiologiquement."
"Quels sont les deux foyers principaux de peste à Madagascar ?","Triangle principal du Centre (Ambalavao, lac Alaotra, Tsiroanomandidy) et triangle mineur du Nord (massif de Tsaratanàna).","Madagascar concentre une grande partie des cas mondiaux."
"Quel est le cycle de transmission de la peste ?","Rongeurs sauvages (réservoir) → puces (vecteur) → franchissement de la barrière d’espèces vers l’homme.","Les facteurs favorisants sont les feux de brousse, les inondations et le manque d’hygiène."
"Quelle est la méthode « sandwich » de lutte contre les puces et rongeurs ?","Désinsectisation → dératisation → désinsectisation.","Elle vise d’abord les puces pour éviter la dispersion des puces infectées."
"Quelle est la conduite à tenir devant un décès par peste ?","Limiter à 6 personnes la manipulation du cadavre, désinfecter au chlorure de chaux, mise en bière, enterrement en tombeau individuel en moins de 6 h, interdiction de transfert et d’exhumation pendant 6 ans.","Forte implication communautaire indispensable."
"Quelle est la prophylaxie des contacts de peste ?","Sulfadoxine en dose unique pour les sujets habitant avec le cas ou ayant manipulé le cadavre.","Elle s’accompagne d’un pré-positionnement de kits « peste »."
"Qu’est-ce que l’indice pulicidien et quelle est sa signification ?","Indice = nombre de puces Xenopsylla cheopis / nombre de rongeurs examinés. Un indice > 1 indique un risque élevé de peste pour l’homme.","C’est un indicateur de surveillance des vecteurs."
"Quels sont les indicateurs de surveillance de la peste humaine ?","Nombre de cas (suspects, probables, confirmés) et létalité (décès parmi les cas), notifiés selon le temps, le lieu et la personne.","La mortalité murine inexpliquée est également surveillée."
