"question","answer","explanation"
"Qu’est-ce que le principe actif d’un médicament ?","Produit chimique, extrait purifié, substance naturelle modifiée ou produit de biotechnologie responsable de l’action et des effets pharmacologiques.","Seul, il n’est pas considéré comme un médicament ; il doit être associé à des excipients."
"Qu’est-ce qu’un excipient ?","Toute substance autre que le principe actif présente dans un médicament.","Son rôle principal est de transporter le principe actif jusqu’au lieu d’absorption."
"Quelle était la propriété principale attendue des excipients et quelle évolution observe-t-on aujourd’hui ?","L’inertie vis-à-vis du principe actif, de l’organisme et des matériaux de conditionnement. Aujourd’hui, les excipients participent de plus en plus à l’amélioration de la biodisponibilité et peuvent avoir des effets notoires.","Ils ne sont plus considérés comme totalement neutres."
"Quels sont les rôles généraux des excipients ?","Faciliter l’administration, moduler la libération du principe actif, améliorer éventuellement son efficacité, et garantir la stabilité et la conservation jusqu’à la date de péremption.","Ces rôles définissent la formulation galénique."
"Qu’est-ce qu’un diluant ou véhicule et quel est son intérêt ?","Substance auxiliaire (solide, liquide ou corps gras) servant à obtenir un volume suffisant pour faciliter l’utilisation et à adapter la forme à la voie d’administration. Il peut aussi moduler la vitesse de libération.","Exemples : poudre, eau, alcool, glycérine, vaseline, paraffine."
"Quel est le rôle des liants (agglutinants) ?","Agglomérer en masse solide des particules de poudre ou de granulats.","Exemples : gomme arabique, gélatine, amidon, dérivés de cellulose, povidone."
"Quel est le rôle des désintégrants (délitants) ?","Accélérer l’éclatement et le gonflement du comprimé pour libérer plus rapidement le principe actif.","Exemple : amidon prégélatinisé."
"Quels sont les trois rôles des lubrifiants ?","Améliorer l’écoulement du grain, réduire l’adhésion aux poinçons et à la matrice, et diminuer les frictions entre particules.","Exemples : talc, stéarate de magnésium, benzoate de sodium."
"Quel est le rôle des édulcorants et quels types peut-on utiliser ?","Masquer le goût désagréable d’un principe actif. On utilise des sucres à pouvoir énergétique élevé (saccharose, lactose…) ou des équivalents à pouvoir énergétique bas (polyols : sorbitol, xylitol…).","Ils améliorent l’acceptabilité, surtout chez l’enfant."
"Quel est le rôle des aromatisants ?","Masquer ou améliorer la saveur et l’odeur du médicament.","Exemples : fruits, épices, huiles essentielles."
"Quel est le rôle des conservateurs ?","S’opposer aux altérations physiques (biodégradation, photodégradation), chimiques (oxydoréduction) et microbiologiques.","Ils garantissent la stabilité jusqu’à la date de péremption."
"Quel est l’intérêt des colorants dans un médicament ?","Réduire les risques de confusion entre médicaments.","Ils portent souvent un numéro de la CEE (ex. E 160 pour les caroténoïdes)."
"Quel est le principe des comprimés effervescents ?","Association d’une substance acide et d’un carbonate ou bicarbonate qui, au contact de l’eau, provoque une effervescence permettant un délitement rapide et une libération accélérée du principe actif.","C’est un exemple de formulation destinée à accélérer l’action."
"Qu’est-ce que la formulation galénique ?","Choix et association des excipients permettant de présenter le médicament sous la forme la plus adaptée à l’assimilation du principe actif selon le mode d’administration souhaité.","Elle conditionne la biodisponibilité, la stabilité et la facilité d’emploi."
"Pourquoi un principe actif isolé n’est-il pas considéré comme un médicament ?","Parce qu’il doit être associé à des excipients pour devenir administrable, stable et adapté à une voie d’administration.","Médicament = principe(s) actif(s) + excipient(s)."
