"question","answer","explanation"
"Quelles sont les deux portes d’entrée principales des infections d’origine dentaire ?","Mortification de la pulpe dentaire et infection parodontale.","L’absence d’adénopathie oriente plutôt vers une infection d’origine pulpaire."
"Quels sont les germes le plus souvent en cause dans les infections dentaires ?","Germes de la flore buccale, principalement les streptocoques.","La diffusion se fait par voie osseuse, périostée ou cellulo-adipeuse."
"Quels facteurs favorisent la diffusion d’une infection dentaire ?","Immunodépression (diabète, SIDA), antibiothérapie inadaptée, chimiothérapie et prise d’AINS seuls au cours d’une rage dentaire.","Les AINS sans antibiotique favorisent l’aggravation."
"Quels sont les signes cliniques de la pulpite ?","Rage dentaire, carie, percussion axiale indolore et percussion transversale douloureuse.","Il n’y a pas encore d’élargissement de l’espace desmodontal à la radio."
"Quels sont les signes cliniques de la desmodontite ?","Douleur avec sensation de dent longue, percussion axiale et transversale douloureuses.","La radiographie montre un élargissement de l’espace alvéolo-dentaire et parfois une clarté péri-apicale."
"Quels sont les signes de gravité d’une cellulite cervico-faciale ?","Dysphagie, dyspnée, hyperthermie, altération de l’état général, œdème palpébral, signes d’abcès cérébral ou douleur thoracique.","Ces signes imposent une hospitalisation en urgence."
"Quelles sont les formes évolutives de la cellulite aiguë ?","Cellulite séreuse (sans pus), cellulite suppurée (fluctuation, pus) et cellulite gangreneuse (nécrose, anaérobies).","La forme gangreneuse est la plus grave."
"Qu’est-ce que l’angine de Ludwig ?","Cellulite diffuse du plancher buccal située au-dessous de la langue.","C’est une forme maligne engageant le pronostic vital (risque d’asphyxie)."
"Quels sont les signes radiologiques de l’ostéite d’origine dentaire ?","Zone radio-claire (lyse) ou image de séquestre (zone radio-opaque entourée d’une zone claire).","Elle s’accompagne de mobilité dentaire et parfois de fistule."
"Quelle complication cardiaque majeure peut compliquer une infection dentaire ?","Endocardite d’Osler (sur valvulopathie, cardiopathie ou prothèse valvulaire).","Le diagnostic repose sur les hémocultures et l’échographie cardiaque."
