"question","answer","explanation"
"Qu’est-ce qu’une TIAC ?","Infection transmise à l’homme par les aliments, survenant sous forme d’anadémie ou d’épidémie, à déclaration obligatoire.","Exemples : salmonellose, listériose, campylobactériose, etc."
"Quels sont les principaux modes de contamination alimentaire ?","Matières premières contaminées, contamination par l’environnement, contamination par l’homme, contamination croisée entre aliments.","Les aliments à risque sont les produits crus, peu cuits ou à base de lait cru."
"Qu’est-ce qu’une anadémie ?","Maladie contractée par plusieurs sujets à partir d’une source commune.","Elle se distingue de l’épidémie (nombre de cas > attendu dans un lieu et une période définis)."
"Quels sont les 5 objectifs généraux d’une investigation d’épidémie (TIAC) ?","1. Enrayer la propagation actuelle 2. Prévenir de nouveaux épisodes 3. Augmenter les connaissances sur la maladie 4. Évaluer le système d’alerte 5. Diffuser les techniques d’investigation.","L’investigation est une urgence."
"Quelles sont les étapes principales d’une enquête TIAC ?","Confirmer l’existence de l’anadémie/épidémie → confirmer le diagnostic → définir les cas → collecter les cas → décrire (temps-lieu-personne) → formuler des hypothèses → tester les hypothèses → rechercher des preuves biologiques → communiquer → prendre des mesures de prévention.","Chaque étape conditionne la suivante."
"Comment définit-on un cas dans une TIAC scolaire (exemple du cours) ?","Suspect : enfant scolarisé présentant une gastro-entérite. Probable : même tableau + repas à la cantine. Confirmé : résultat de laboratoire positif.","Les définitions permettent de standardiser le recueil."
"Quels sont les trois modes d’action des bactéries conditionnant la clinique et l’incubation ?","Invasives (Salmonella, Shigella…), entérotoxinogènes (S. aureus, C. perfringens, V. cholerae…) et cytotoxiques (E. coli entéropathogène, virus, parasites, agents chimiques).","Ils orientent le diagnostic étiologique."
"Que doit contenir la description d’une TIAC selon le temps, le lieu et la personne ?","Temps : courbe épidémique (début, fin, pics, durée). Lieu : cartographie. Personne : caractéristiques des atteints + notion de repas commun.","C’est la base de la formulation d’hypothèses."
"Comment teste-t-on les hypothèses lors d’une investigation TIAC ?","Par une étude de cohorte rétrospective ou une étude cas-témoins.","Les hypothèses doivent être biologiquement plausibles et expliquer agent, source, mode de transmission et durée d’exposition."
"Pourquoi la prise en charge des TIAC est-elle multidisciplinaire ?","Elle implique médecins, vétérinaires, épidémiologistes, professionnels de la restauration collective et du secteur agro-alimentaire.","La sécurité alimentaire nécessite une approche transversale."
