"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’hypoglycémie (hors diabète) ?","Expliquer le métabolisme du glucose, reconnaître une hypoglycémie, instituer le traitement d’urgence et rechercher les causes.","Le risque de séquelles neurologiques est particulièrement élevé chez le nouveau-né et le nourrisson."
"Pourquoi le cerveau de l’enfant est-il particulièrement vulnérable à l’hypoglycémie ?","Parce qu’il consomme 60 % du glucose total chez le petit enfant (contre 25 % chez l’adulte) et que les réserves de glycogène sont limitées, surtout chez le prématuré.","Le cerveau utilise obligatoirement le glucose."
"Quels sont les seuils de glycémie définissant une hypoglycémie selon l’âge ?","Enfant : < 2,8 mmol/l. Nouveau-né à terme symptomatique : < 2,2 mmol/l. Nouveau-né à terme asymptomatique (24-48 h) : < 2,5 mmol/l. Prématuré (48 premières heures) : < 1,7 mmol/l.","La confirmation se fait par méthode enzymatique."
"Quels sont les signes cliniques d’hypoglycémie chez le nouveau-né ?","Signes non spécifiques : pâleur, hypothermie, difficultés alimentaires, polypnée ou pauses, trémulations, hypotonie, somnolence, convulsions, malaise.","Il n’existe aucun signe pathognomonique chez le nouveau-né."
"Quels sont les signes cliniques d’hypoglycémie chez l’enfant plus grand ?","Faim impérieuse, pâleur, sueurs, troubles du comportement, regard vide, céphalées, confusion, convulsions (souvent révélatrices).","Les signes digestifs ne sont pas spécifiques."
"Quel est le traitement d’urgence de l’hypoglycémie chez l’enfant capable de s’alimenter ?","1 morceau de sucre (5 g) pour 20 kg ou 100 ml de boisson sucrée, à répéter toutes les 5 minutes jusqu’à normalisation.","Si voie veineuse disponible et enfant incapable de s’alimenter : bolus de G10 % 2-5 ml/kg puis perfusion."
"Quel est le traitement d’urgence de l’hypoglycémie chez le nouveau-né ?","Bolus de G10 % 2 ml/kg IV puis perfusion de G10 % à 80 ml/kg/24 h, en maintenant si possible l’alimentation entérale. Contrôle à 30 min puis toutes les 3 h.","Le glucagon IM est une alternative si voie veineuse impossible."
"Quelles sont les principales causes d’hypoglycémie néonatale ?","Prématurité, hypotrophie, nouveau-né de mère diabétique, détresses néonatales, syndrome de Wiedemann-Beckwith, hypopituitarisme congénital.","La section du cordon correspond au premier jeûne alors que l’homéostasie n’est pas encore optimale."
"Quelles sont les principales causes d’hypoglycémie chronique chez le nourrisson et l’enfant ?","Maladies métaboliques (déficits enzymatiques, hypoglycémie cétonique du jeune enfant) et maladies endocriniennes (hyperinsulinisme, déficit en GH, insuffisance surrénale).","L’hypoglycémie cétonique survient entre 1 et 5 ans et disparaît vers 7-8 ans."
"Quel est le message clé de conclusion ?","L’hypoglycémie est fréquente en pédiatrie ; les causes sont souvent ponctuelles chez le nouveau-né (vigilance chez les enfants de mère diabétique) et plutôt métaboliques ou endocriniennes chez l’enfant plus grand. Le traitement d’urgence prime toujours.","Le risque de séquelles impose une prise en charge rapide."
