"question","answer","explanation"
"Comment définit-on l’épilepsie ?","Maladie neurologique chronique caractérisée par une tendance pathologique et durable à la répétition des crises épileptiques.","Elle est souvent liée à l’âge."
"Sur quels critères classifie-t-on les crises épileptiques ?","Siège de début (focal, généralisé, inconnu), état de conscience (avec ou sans altération) et sémiologie élémentaire (motrice ou non motrice).","Cette classification oriente le diagnostic syndromique et le traitement."
"Quelles sont les principales formes d’épilepsie du nouveau-né (0-1 mois) ?","Crises occasionnelles (les plus fréquentes, liées à une souffrance transitoire), épilepsies liées à une maladie neurologique (malformations, causes circulatoires), convulsions néonatales bénignes (gène SCN2A) et formes graves (épilepsie partielle migrante, syndrome d’Ohtahara).","Les crises occasionnelles ne se reproduisent généralement pas."
"Quelles sont les encéphalopathies épileptiques du nourrisson (1 mois-2 ans) ?","Syndrome de West (spasmes infantiles) et syndrome de Dravet (épilepsie myoclonique sévère du nourrisson).","Ce sont des formes graves avec retentissement cognitif important."
"Quelle est l’épilepsie focale idiopathique la plus fréquente de l’enfance (2-12 ans) ?","L’épilepsie à paroxysmes rolandiques (EPR). Elle guérit dans 100 % des cas à l’adolescence, est bien contrôlée par une monothérapie et s’accompagne de peu ou pas de troubles d’apprentissage.","Aucune lésion cérébrale n’est présente."
"Quelles sont les caractéristiques de l’épilepsie-absences ?","Suspensions de conscience brèves, pouvant entraîner des difficultés scolaires. Traitement efficace dans environ ¾ des cas.","Elle appartient aux épilepsies généralisées idiopathiques."
"Quelles sont les principales encéphalopathies épileptiques de l’enfant (2-12 ans) ?","Syndrome de Lennox-Gastaut, syndrome de Doose (épilepsie myoclono-astatique) et syndrome des pointes-ondes continues du sommeil (POCS).","Elles ont un retentissement cognitif et social important."
"Quelles sont les épilepsies typiques de l’adolescent (12-18 ans) ?","Épilepsie myoclonique juvénile (secousses ± absences ± crises grand mal) et épilepsie avec crises grand mal du réveil. Les épilepsies focales non idiopathiques représentent environ un tiers des cas.","L’épilepsie myoclonique juvénile peut rechuter à l’arrêt du traitement."
"Quel est le pronostic de l’épilepsie à paroxysmes rolandiques ?","Guérison dans 100 % des cas à l’adolescence, bon contrôle sous monothérapie, peu ou pas de retentissement cognitif.","C’est le prototype de l’épilepsie bénigne de l’enfant."
"Quel est le message clé concernant l’épilepsie de l’enfant ?","Les syndromes épileptiques sont fortement liés à l’âge ; le diagnostic précis (classification + syndrome) conditionne le traitement et le pronostic.","Certaines formes sont bénignes et auto-limitées, d’autres sont de véritables encéphalopathies."
