"question","answer","explanation"
"Quelle est la définition des valves de l’urètre postérieur ?","Replis membraneux s’opposant à l’écoulement de l’urine dans l’urètre postérieur.","C’est l’uropathie obstructive la plus fréquente du garçon et une malformation grave engageant le pronostic vital et rénal."
"Quelle est la classification anatomique de Young des valves de l’urètre postérieur ?","Type I : valve sous-montanale (la plus fréquente, 95 %). Type II : valve sus-montanale (rare). Type III : diaphragme circulaire complet en aval du veru montanum.","Le type I représente la quasi-totalité des cas."
"Quels sont les signes du diagnostic anténatal des valves de l’urètre postérieur ?","À partir de la 20e semaine : vessie constamment visible, distendue, à paroi épaisse et à vidange incomplète, associée à un oligoamnios.","Ces signes traduisent l’obstacle sous-vésical déjà présent in utero."
"Quels sont les signes cliniques postnatals des valves de l’urètre postérieur selon l’âge ?","Nouveau-né : signes généraux (refus de tétée, vomissements, ballonnement) + globe vésical, gros reins, jet urinaire faible ou absent. Nourrisson : manifestations infectieuses au premier plan. Petit garçon : dysurie, pyurie, incontinence, rétention, gros reins, HTA.","Le tableau clinique varie selon le degré d’obstruction et l’âge de révélation."
"Que montre la cystographie rétrograde dans les valves de l’urètre postérieur ?","Rupture de calibre entre l’urètre postérieur dilaté et l’urètre antérieur filiforme, arrêt en cupule (type I) ou rectiligne (type II), éventuels diverticules et résidu post-mictionnel.","C’est l’examen clé pour confirmer le diagnostic et typer la valve."
"Quelles sont les conséquences physiopathologiques des valves de l’urètre postérieur ?","Sur la vessie : hypertrophie, fibrose, vessie spastique hyper-réflective de faible compliance (« syndrome de vessie de valve »). Sur les uretères : reflux et stase. Sur les reins : dysplasie, fibrose interstitielle, sclérose glomérulaire et insuffisance rénale.","L’obstruction précoce in utero explique la dysplasie rénale déjà présente à la naissance."
"Quels sont les principes du traitement des valves de l’urètre postérieur ?","Lever l’obstacle (résection endoscopique de la valve de préférence, ou résection chirurgicale) et traiter les complications (drainage vésical ou haut en cas de rétention ou d’insuffisance rénale, antibioprophylaxie).","La résection endoscopique est le traitement de référence dès que le diagnostic est confirmé."
"Quelle est la conduite à tenir en cas d’insuffisance rénale ou de rétention aiguë au diagnostic ?","Drainage urinaire (cystostomie, pyélostomie ou urétérostomie) associé à une antibioprophylaxie, avant ou en complément de la résection des valves.","La dérivation haute peut être nécessaire pour protéger le haut appareil."
"Quels sont les éléments de surveillance après traitement des valves de l’urètre postérieur ?","Surveillance clinique (aspect et quantité des urines, signes obstructifs, température, diurèse) et biologique (NFS, ionogramme, créatininémie).","Le risque de sténose est faible (5 %), mais le risque de traitement incomplet est plus important."
"Quel est le pronostic des valves de l’urètre postérieur ?","Variable : amélioration progressive voire guérison possible, mais le pronostic rénal dépend de la dysplasie déjà présente et de la précocité de la prise en charge.","C’est une malformation grave qui peut conduire à l’insuffisance rénale terminale."
