"question","answer","explanation"
"Pourquoi la lutte contre les IST est-elle importante pour le VIH ?","Les IST constituent une porte d’entrée du VIH ; une urétrite gonococcique multiplie par 6 l’excrétion du VIH.","Le traitement des IST réduit la transmission du VIH."
"Quelle est la formule du taux de reproduction de base R0 des IST ?","R0 = β × D × C (β = efficacité de transmission, D = durée de la période contagieuse, C = taux de changement de partenaires).","R0 > 1 → risque d’épidémie ; R0 = 1 → endémie ; R0 < 1 → possibilité d’élimination."
"Quels sont les trois niveaux de population dans le réseau de transmission des IST ?","Noyau (professionnels du sexe), population relais (clients), population générale.","L’évolution vers l’épidémie dépend du R0."
"Quels sont les principaux cofacteurs de transmission du VIH ?","Cofacteur social (polygamie / multipartenariat), pratique sexuelle (non-utilisation du préservatif), local (IST, herpès), et facteur général (femme plus réceptive).","Ils multiplient le risque de transmission."
"Quels sont les groupes de population prioritaires pour la lutte contre les IST/VIH ?","Professionnels du sexe, HSH, populations mobiles ou en uniforme, usagers de drogues injectables, détenus, réfugiés, jeunes de la rue, touristes sexuels.","Ils concentrent une grande partie de la transmission."
"Que signifie le slogan « Abstinence – Bonne fidélité – Condom – Dépistage » ?","Les quatre piliers du sexe à moindre risque : retarder le début de l’activité sexuelle, fidélité à un partenaire, usage correct et régulier du préservatif, et dépistage volontaire.","C’est la base de la prévention primaire."
"Quels sont les trois niveaux de l’épidémie à VIH ?","Épidémie initiale (prévalence < 5 % dans les groupes à haut risque), concentrée (> 5 % dans les groupes à haut risque et < 1 % en population générale), généralisée (> 1 % en population générale).","La stratégie de lutte s’adapte au niveau."
"Citez quatre interventions supplémentaires spécifiques au VIH.","Conseil à toutes occasions, système de dépistage volontaire accessible/gratuit, prévention de la transmission mère-enfant, promotion de la circoncision.","Elles complètent les mesures générales contre les IST."
"Quelle est la particularité de la prise en charge des IST ?","Approche syndromique, diagnostic et traitement des infections asymptomatiques, prise en charge des partenaires, services adaptés aux populations prioritaires (SRA, services amis des jeunes).","Elle permet un traitement précoce même sans confirmation biologique."
"Pourquoi faut-il lutter contre la stigmatisation dans la lutte contre les IST/VIH ?","Pour éviter la formation de noyaux cachés et l’inaccessibilité aux formations sanitaires.","La stigmatisation freine le dépistage et le traitement."
