"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’ictère néonatal ?","Expliquer la physiopathologie, reconnaître un ictère néonatal, rechercher les étiologies et énumérer les principes du traitement.","L’ictère concerne 30-60 % des nouveau-nés et expose au risque de neurotoxicité ou de cirrhose."
"Quels sont les facteurs physiopathologiques favorisant l’ictère néonatal ?","Production accrue de bilirubine, immaturité hépatique (↓ captation et conjugaison), cycle entéro-hépatique intensifié (absence de flore), et facteurs libérant la bilirubine (hypoxie, hypothermie, acidose, jeûne, hypoalbuminémie).","Ces facteurs expliquent la fréquence de l’ictère physiologique."
"Comment distingue-t-on cliniquement un ictère à bilirubine libre d’un ictère à bilirubine conjuguée ?","Libre : urines claires, selles non décolorées. Conjuguée : urines foncées, selles décolorées.","Cette distinction oriente immédiatement le bilan et le risque (nucléaire vs cirrhose)."
"Quels sont les critères d’un ictère physiologique ?","Absent le premier jour, résolutif vers J10, bilirubinémie < 250 μmol/L, sans autre signe pathologique.","Tout ictère apparaissant avant 24 h est pathologique."
"Quelles sont les principales causes d’ictère à bilirubine libre avec hémolyse (précoce < 24 h) ?","Immunisation fœto-maternelle (Rh), infection materno-fœtale, hémolyse constitutionnelle (G6PD, sphérocytose), accident transfusionnel.","Le test de Coombs direct positif oriente vers l’allo-immunisation."
"Quelles sont les principales causes d’ictère à bilirubine libre sans hémolyse ?","Ictère du prématuré, polyglobulie, jeûne, hypothyroïdie, Gilbert, Crigler-Najjar, ictère au lait maternel, résorption d’hématome (bosse séro-sanguine).","L’ictère au lait maternel et l’ictère physiologique sont des diagnostics d’élimination."
"Quelles sont les principales causes d’ictère à bilirubine conjuguée ?","Atrésie des voies biliaires, sténoses, kystes du cholédoque, causes métaboliques (mucoviscidose, galactosémie…), infections (hépatite, PNA, septicémie), cholestase de l’alimentation parentérale.","L’atrésie des voies biliaires doit être diagnostiquée avant 1 mois pour éviter la cirrhose."
"Quels sont les facteurs de risque de neurotoxicité de la bilirubine libre ?","Processus hémolytique, signes neurologiques, acidose, hypoxie, instabilité thermique, infection, hypoalbuminémie (< 40 g/L ou suspectée chez le prématuré).","Ces situations abaissent le seuil de photothérapie ou d’exsanguino-transfusion."
"Quels sont les principes du traitement de l’ictère à bilirubine libre ?","Photothérapie (conventionnelle ou intensive), exsanguino-transfusion si seuil atteint, albumine si hypoalbuminémie, traitement étiologique, nursing et alimentation.","L’efficacité se juge sur la baisse de la bilirubinémie après 6 h de photothérapie."
"Quel est le message clé de conclusion ?","Début < 24 h = toujours pathologique (hémolyse ou infection). Ictère prolongé = rechercher anomalie des voies biliaires, métabolique ou endocrinienne. Gravité = ictère nucléaire (libre) ou cirrhose (conjuguée).","La reconnaissance précoce conditionne le pronostic."
