"question","answer","explanation"
"Quels sont les objectifs pédagogiques du rachitisme carentiel ?","Décrire la physiopathologie, citer les signes cliniques et énumérer les principes du traitement.","Il résulte d’une carence en vitamine D et touche surtout les 6-18 mois."
"Quelle est la physiopathologie du rachitisme carentiel ?","Carence en vitamine D → défaut d’absorption et de fixation du calcium → trouble de la minéralisation du squelette en croissance.","La vitamine D agit sur l’absorption intestinale du calcium et le remodelage osseux."
"Quels sont les signes crâniens du rachitisme ?","Craniotabès, plagiocéphalie, retard de fermeture de la fontanelle antérieure (signe très évocateur).","Ces signes apparaissent après 3 mois."
"Quels sont les signes thoraciques et des membres ?","Chapelet costal, thorax en carène, nouures épiphysaires (poignets, chevilles), genu varum, fractures spontanées.","Le « poumon rachitique » favorise les infections respiratoires répétées."
"Quels sont les signes radiologiques typiques ?","Élargissement métaphysaire en cupule ou « toit de pagode », retard d’apparition des points d’ossification, corticales amincies, images en bouchon de champagne aux jonctions chondro-costales.","Les signes radiologiques précèdent souvent les signes cliniques."
"Quels sont les signes biologiques caractéristiques ?","Phosphatases alcalines constamment élevées, hypophosphorémie, hyperphosphaturie ; calcémie normale ou basse selon le stade.","Les PAL sont le meilleur marqueur de l’activité de la maladie."
"Quelle est la conduite en cas d’hypocalcémie sévère (< 2 mmol/L) ?","Urgence : gluconate de calcium 10 % IV 500-1500 mg/m²/24 h, puis vitamine D + calcium per os après normalisation.","La tétanie hypocalcémique peut inaugurer le rachitisme avant 6 mois."
"Quel est le traitement curatif standard si calcémie > 2 mmol/L ?","Vitamine D 200 000 UI per os en une fois (renouvelée 1 mois plus tard) + gluconate de calcium 0,5-1 g/j pendant 15 jours + correction des carences associées (fer, folates).","Une bande dense métaphysaire apparaît vers 3 semaines."
"Quels sont les principes de la prévention ?","Femme enceinte : 100-200 000 UI au 7ᵉ mois. Nourrisson 0-18 mois : 1 200 UI/j ou doses de charge trimestrielles. Après 18 mois : dose hivernale 80-100 000 UI.","La prévention est le seul moyen d’éviter les déformations."
"Quel est le message clé de conclusion ?","Le rachitisme carentiel est dû à un déficit en vitamine D ; il entraîne hypocalcémie et déformations osseuses ; la prévention par supplémentation est essentielle.","Le diagnostic est clinico-radiologique et biologique."
