"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la coqueluche chez l’enfant ?","Faire le diagnostic positif et décrire la prise en charge curative et préventive.","Ces deux axes sont prioritaires."
"Quel est l’agent responsable de la coqueluche et pourquoi est-elle particulièrement grave chez le nourrisson ?","Bordetella pertussis. Elle est très contagieuse et grave chez les petits nourrissons non vaccinés en raison du risque d’apnées.","Les complications neurologiques et cardiaques sont liées aux apnées."
"Décrire les trois phases cliniques de la coqueluche typique chez l’enfant non vacciné.","Incubation 5-10 jours → phase catarrhale (5-10 j : fièvre modérée, toux, rhinorrhée) → phase d’état (3-4 semaines : toux quinteuse paroxystique, émétisante, cyanosante avec « chant du coq ») → convalescence (2-3 mois).","L’examen clinique est normal entre les quintes."
"Quels sont les particularités de la coqueluche du nourrisson non ou incomplètement vacciné ?","Forme grave avec toux quinteuse asphyxiante, apnées syncopales, encombrement, atélectasies, difficultés alimentaires pouvant entraîner dénutrition et déshydratation.","Le risque vital est majeur."
"Quels examens paracliniques orientent vers le diagnostic de coqueluche ?","NFS : hyperleucocytose à prédominance lymphocytaire + thrombocytose. Confirmation : culture ou PCR Bordetella pertussis.","La PCR est l’examen de choix actuellement."
"Quelles sont les principales complications de la coqueluche ?","Déshydratation/dénutrition (vomissements), complications neurologiques (apnées, convulsions), cardiaques (bradycardie puis arrêt), surinfections broncho-pulmonaires, complications mécaniques (purpura facial, epistaxis, prolapsus rectal, hernie, pneumothorax).","Les apnées sont la complication la plus redoutée chez le nourrisson."
"Quel est le traitement antibiotique de la coqueluche ?","Macrolides : clarithromycine 15 mg/kg/j en 2 prises pendant 7 jours ou azithromycine 20 mg/kg/j en 1 prise pendant 3 jours.","L’antibiothérapie réduit la contagiosité et l’expansion de la maladie."
"Quelles sont les indications d’hospitalisation ?","Âge < 3 mois et/ou présence de signes de gravité (apnées, détresse respiratoire, difficultés alimentaires importantes).","Surveillance sous scope indispensable chez le jeune nourrisson."
"Quelles sont les mesures de prévention secondaire (sujets contacts) ?","Antibioprophylaxie par macrolides le plus tôt possible pour : nourrissons < 6 mois (même vaccinés), nourrissons 7-11 mois ayant reçu < 2 doses, personnes fragiles, femmes enceintes au 3e trimestre.","L’éviction scolaire est de 5 jours sous traitement ou 2 semaines sans traitement."
"Quel est le message clé de prévention primaire de la coqueluche ?","La vaccination anticoquelucheuse est essentielle pour protéger les terrains à risque (nouveau-nés et jeunes nourrissons).","La coqueluche reste une infection sévère et contagieuse surtout chez le nourrisson non vacciné."
