"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’INBP ?","Rechercher les facteurs de risque, poser le diagnostic et mettre en route le traitement.","C’est une urgence médicale avec une mortalité élevée, surtout chez le prématuré."
"Comment définit-on une INBP certaine, probable et une suspicion ?","Certaine : au moins un prélèvement central (hémoculture ou LCR) positif à un germe pathogène. Probable : prélèvements centraux négatifs mais arguments anamnestiques, cliniques et biologiques. Suspicion : nouveau-né symptomatique ou non dont l’infection est à confirmer.","Les infections tardives surviennent après J3."
"Quels sont les principaux germes responsables d’INBP ?","Streptocoque du groupe B, Escherichia coli et Listeria monocytogenes. Autres : staphylocoques, H. influenzae, pneumocoque, méningocoque, anaérobies.","L’émergence des bactéries multi-résistantes complique le traitement."
"Quels sont les principaux facteurs de risque anamnestiques d’INBP ?","Fièvre maternelle ≥ 38 °C, infection urinaire ou cervico-vaginale, portage de SGB, ATCD d’INBP à SGB, rupture prolongée des membranes > 12 h, prématurité inexpliquée, liquide amniotique fétide ou teinté, asphyxie périnatale sans cause.","Ces éléments imposent une surveillance et souvent une antibiothérapie probabiliste."
"Quels sont les signes cliniques évocateurs d’INBP ?","Hypo/hyperthermie, teint gris, refus de téter, vomissements, détresse respiratoire, apnées, troubles hémodynamiques (TRC > 3 s), purpura, sclérème, léthargie, hypotonie, convulsions.","Le nouveau-né peut être asymptomatique à la naissance."
"Quels examens biologiques orientent vers une INBP ?","NFS (neutropénie < 1500 ou hyperleucocytose > 30 000, thrombopénie), CRP > 20-24 mg/L après H12, radiographie thoracique (opacités). Confirmation : hémocultures ± PL ± ECBU, PCR ou antigènes solubles.","La CRP est peu fiable avant H12."
"Quels sont les signes de gravité d’une INBP ?","Altération de l’état général, signes neurologiques, sepsis sévère (CRP > 70 mg/L), CIVD, grande ou très grande prématurité.","Ces formes imposent une prise en charge en réanimation."
"Quel est le traitement antibiotique probabiliste d’une INBP ?","Association pénicilline A (ampicilline) + C3G (céfotaxime ou ceftriaxone) ± aminoside (gentamicine) pendant les premiers jours. Durée : 7 j (sans gravité), 14 j (septicémie/pneumonie), 21 j (méningite).","L’antibiothérapie doit être débutée dès la suspicion."
"Quelles sont les mesures générales de prise en charge ?","Hospitalisation, hygiène, maintien de la température, de la glycémie et de l’hydratation, monitorage, apport calorique, correction des troubles de l’hémostase.","Ces mesures sont indissociables de l’antibiothérapie."
"Quel est le message clé de conclusion ?","L’INBP est fréquente, grave et urgente. La probabilité repose sur l’anamnèse, la clinique et la biologie. L’antibiothérapie doit être précoce dès la suspicion. La prévention passe par le suivi de grossesse et l’asepsie à l’accouchement.","Le traitement précoce améliore nettement le pronostic."
