"question","answer","explanation"
"Quelle est la définition de l’otite externe ?","Inflammation localisée ou diffuse de la peau du méat acoustique externe d’origine bactérienne, mycosique ou virale, liée à une perturbation du rôle protecteur du cérumen.","C’est une pathologie fréquente (20-35 % des consultations d’urgence ORL)."
"Quels sont les signes cliniques de l’otite externe aiguë diffuse (forme la plus fréquente) ?","Otalgie intense, paroxystique, insomniante, exacerbée par la mastication, la pression du tragus et la traction de l’auricule ; hypoacousie de transmission, sensation de plénitude, prurit, otorrhée d’abord claire puis purulente.","L’otoscopie est souvent difficile en raison de l’œdème et de la douleur ; le tympan est normal ou montre une myringite."
"Quels sont les caractères du furoncle du méat acoustique externe ?","Otite externe localisée due à Staphylococcus aureus. Otalgie identique à la forme diffuse, calmée par l’ouverture du furoncle. Otoscopie : tuméfaction érythémateuse centrée par un point blanc, puis masse molle obstruante, puis pus crémeux et cratère après rupture.","Des adénopathies pré-tragiennes, mastoïdiennes ou sous-digastriques sont fréquentes."
"Qu’est-ce que l’otite externe maligne (nécrosante) ?","Infection grave du méat acoustique externe due à Pseudomonas aeruginosa, survenant dans 90 % des cas chez le sujet âgé diabétique mal équilibré (ou immunodéprimé). Elle évolue vers une nécrose ou un aspect polypoïde du MAE.","Le diagnostic repose sur l’imagerie (TDM/IRM/scintigraphie) et impose une prise en charge urgente."
"Quels sont les signes évocateurs d’une otite externe mycosique (otomycose) ?","Tableau proche de l’otite externe diffuse mais moins intense, avec un prurit très évocateur. Otoscopie : aspect humide « papier buvard » et filaments mycéliens.","Les agents responsables sont principalement Aspergillus et Candida."
"Quels sont les principaux facteurs favorisants de l’otite externe ?","Lésions cutanées préexistantes du méat, corps étrangers, baignades (piscine), manipulations intempestives (coton-tiges, plumes…).","C’est souvent une affection « auto-infligée », donc en grande partie évitable."
"Quels sont les germes les plus fréquemment en cause dans l’otite externe ?","Bactéries : Staphylococcus aureus, Staphylococcus epidermidis, entérobactéries, Pseudomonas aeruginosa. Champignons : Aspergillus, Candida.","Pseudomonas est le germe de l’otite externe maligne."
"Quels sont les diagnostics différentiels principaux de l’otite externe ?","Otite moyenne aiguë, otite moyenne chronique, tumeurs de l’oreille externe ou moyenne, sténose du MAE, otohématome, otalgie réflexe.","Le tympan normal et l’exacerbation de la douleur à la traction du pavillon orientent vers l’otite externe."
"Quelle est la définition de l’otite moyenne aiguë ?","Inflammation aiguë d’origine infectieuse de la muqueuse des cavités de l’oreille moyenne, survenant au cours ou au décours d’une infection respiratoire.","C’est une pathologie très fréquente de l’enfant (surtout entre 6 mois et 3 ans)."
"Quels sont les signes cliniques typiques de l’OMA du jeune enfant ?","Otalgie paroxystique, otorrhée purulente (non fétide), enfant grognon qui se touche l’oreille, fièvre, troubles digestifs, troubles du sommeil et hypoacousie de transmission modérée.","L’otoscopie précise le stade : congestive, collectée ou perforée."
"Quels sont les trois stades otoscopiques de l’OMA ?","1. Congestive : tympan rouge vif ou rosé, triangle lumineux disparu, reliefs ossiculaires respectés. 2. Collectée (suppurée) : tympan bombant. 3. Perforée : tympan rouge perforé avec otorrhée purulente.","Cette classification guide l’indication antibiotique."
"Quels sont les principaux germes responsables de l’OMA ?","Haemophilus influenzae, Pneumocoque et Moraxella catarrhalis.","Les autres germes (Staphylocoque, Streptocoque A, Pseudomonas…) sont plus rares."
"Quels sont les facteurs favorisants de l’OMA ?","Rhinopharyngite avec dysfonctionnement tubaire, hypertrophie des végétations, crèche collective, tabagisme passif, niveau socio-économique précaire, antécédents familiaux et infections virales.","La prévention passe par la prise en charge de ces facteurs."
"Quelles sont les principales complications de l’OMA ?","Mastoïdite, labyrinthite, paralysie faciale, méningite, abcès cérébral, thrombophlébite du sinus latéral, otite séro-muqueuse et otites récidivantes.","Elles justifient une surveillance attentive et un traitement adapté."
"Quels sont les principes du traitement de l’OMA selon le stade ?","Congestive : antalgiques seuls (pas d’antibiotique). Collectée : antibiotique par voie générale (amoxicilline, amoxicilline-acide clavulanique ou C3G) pendant 8-10 jours. Perforée : antibiotique général + soins locaux.","La paracentèse est réservée aux nourrissons < 3 mois, aux formes hyperalgiques/hyperfébriles, aux échecs ou aux complications."
