"question","answer","explanation"
"Quelle est la 4e et dernière phase de la pharmacocinétique ?","L’élimination des médicaments (principe actif inchangé ou sous forme de métabolites).","Elle se fait vers l’extérieur ou par séquestration à l’intérieur de l’organisme."
"Quelle est la voie principale d’élimination des médicaments ?","La voie rénale.","Les molécules très lipophiles sous forme inchangée ont du mal à être éliminées par cette voie."
"Que se passe-t-il au niveau glomérulaire ?","Filtration des médicaments de taille < 70 000 daltons à travers la membrane basale ; seule la fraction libre (non liée aux protéines) passe.","La fixation protéique limite donc la filtration glomérulaire."
"Quels sont les deux systèmes de sécrétion tubulaire active au niveau du tube contourné proximal ?","OAT (Organic Anion Transporter) pour les anions (pénicillines, glucuroconjugués, PAH…) et OCT (Organic Cation Transporter) for les cations (thiamine, chloroquine, amiloride…).","Il existe une compétition entre substances du même groupe."
"Quel est l’exemple classique de compétition au niveau de la sécrétion tubulaire ?","Pénicilline + probénécide → allongement de la demi-vie de la pénicilline.","Le probénécide bloque le transporteur anionique."
"Comment influence-t-on l’élimination des acides et bases faibles au niveau du tube contourné distal ?","Alcaliniser les urines pour éliminer les acides faibles ; acidifier les urines pour éliminer les bases faibles.","Le pH urinaire modifie le degré d’ionisation et donc la réabsorption passive."
"Qu’est-ce que le cycle entéro-hépatique ?","Réabsorption intestinale de médicaments ou métabolites éliminés par la bile, suivie d’une nouvelle élimination (souvent rénale).","Il prolonge la présence du médicament dans l’organisme."
"Citez des voies d’élimination accessoires et des exemples de substances.","Pulmonaire (anesthésiques volatils, essences), larmes (iodures), sueur (quinine, bromures), lait (alcool, morphine, antibiotiques), salive (métaux lourds, morphine, amphétamines).","La salive permet parfois le dosage de certaines substances."
"Qu’est-ce que la pharmaco-thésaurismose ?","Séquestration prolongée (mois à dizaines d’années) de certains médicaments dans des tissus.","Exemples : phénytoïne (SNC), sels d’or (SRE), méthotrexate (foie), tétracyclines (os), arsenic (peau)."
"Résumez les quatre processus de la pharmacocinétique.","Absorption, distribution, métabolisme (biotransformation) et élimination.","Ils déterminent la quantité de médicament au site d’action à tout moment et la durée d’action."
"Pourquoi les formes conjuguées polaires sont-elles mieux éliminées par voie rénale ?","Parce qu’elles sont peu liposolubles et donc peu réabsorbées au niveau tubulaire.","La conjugaison (phase 2) facilite l’élimination."
"Quels facteurs conditionnent la biodisponibilité d’un médicament ?","L’absorption (et pour les voies non vasculaires) est un facteur majeur de la biodisponibilité.","La voie intravasculaire contourne l’absorption."
"Quelle est la place de l’élimination dans la pharmacocinétique ?","4e et dernière phase de la pharmacocinétique.","Elle concerne le principe actif inchangé ou ses métabolites."
"Quelle est la voie principale d’élimination des médicaments ?","La voie rénale.","Les molécules lipophiles non métabolisées sont difficilement éliminées par cette voie."
"Quels sont les trois mécanismes d’élimination rénale ?","Filtration glomérulaire (fraction libre uniquement), sécrétion tubulaire active (TCP) et réabsorption tubulaire passive.","La filtration dépend de la taille (< 70 000 daltons) et de la liaison protéique."
"Quels sont les deux systèmes de sécrétion tubulaire active ?","OAT (Organic Anion Transporter) pour les anions et OCT (Organic Cation Transporter) pour les cations.","Il existe une compétition entre substances utilisant le même transporteur (ex. : pénicilline + probénécide)."
"Comment le pH urinaire influence-t-il l’élimination des acides et bases faibles ?","Alcalinisation des urines favorise l’élimination des acides faibles ; acidification favorise celle des bases faibles.","Cela repose sur le degré d’ionisation et la réabsorption passive."
"Qu’est-ce que le cycle entéro-hépatique ?","Élimination biliaire de métabolites conjugués suivie d’une hydrolyse intestinale et d’une réabsorption.","Il prolonge la présence du médicament dans l’organisme."
"Quelles sont les autres voies d’élimination possibles ?","Pulmonaire (composés volatils), larmes, sueur, lait, salive et séquestration tissulaire (pharmacothésaurismose).","La salive permet parfois le dosage de certains médicaments."
"Qu’est-ce que la pharmacothésaurismose ?","Fixation prolongée de certains médicaments dans les tissus (SNC, SRE, foie, os, peau, thyroïde…) pendant des mois ou des années.","Exemples : phénytoïne, sels d’or, tétracyclines, iodures."
"Pourquoi les formes conjuguées sont-elles mieux éliminées par voie rénale ?","Parce qu’elles sont polaires et peu liposolubles, donc peu réabsorbées au niveau tubulaire.","C’est l’objectif principal des réactions de phase II."
"Quel est le résumé de la pharmacocinétique (ADME) ?","Absorption, Distribution, Métabolisme et Élimination déterminent la quantité de médicament au site d’action et la durée d’action.","Toute modification d’une de ces étapes change l’effet thérapeutique."
