"question","answer","explanation"
"When do we use “since”?","“Since” is used to show the starting point of an action. It is often used with the present perfect tense.","Example: I have studied English since 1981."
"When do we use “for”?","“For” is used to indicate the duration of an action (how long the action lasts).","Example: I have studied English for 8 years."
"Complete: “John has worked here …… 1984.”","since.","1984 is a starting point."
"Complete: “I have known him …… two years.”","for.","“Two years” is a duration."
"Complete: “I’ve been working here …… 2 o’clock.”","since.","2 o’clock is a specific starting time."
"Complete: “He’s been sleeping …… ages.”","for.","“Ages” expresses duration."
"Complete: “I have been on holiday …… last week.”","since.","“Last week” is a starting point."
"Complete: “I have been on holiday …… the last week.”","for.","“The last week” indicates duration."
"What is the main use of “during”?","“During” is used to indicate the period in which an action occurs.","Example: Herbert played tennis during the summer."
"Complete: “It rained …… the night.”","during.","The night is the period in which the action happened."
"Complete: “He spoke …… three quarters of an hour.”","for.","Duration of the speech."
"Complete: “I fell asleep …… the movie.”","during.","The movie is the period."
"Complete: “I slept …… two hours.”","for.","Duration of sleep."
"Complete: “I had a great time …… my two-week holiday.”","during.","The holiday is the period in which the action occurred."
