"question","answer","explanation"
"Quelle est la définition des malformations ano-rectales (MAR) ?","Interruption totale ou partielle de la continuité de la portion terminale du tube digestif, ou modification de sa topographie, avec ou sans fistule dans les structures de voisinage.","Il s’agit d’anomalies complexes du périnée touchant le rectum et parfois les structures adjacentes (sphincter, sacrum, vessie, moelle)."
"Quels sont les deux grands types de malformations ano-rectales selon le niveau ?","MAR hautes et MAR basses (avec des formes intermédiaires).","La classification repose sur la position du cul-de-sac rectal par rapport aux lignes de Stephens et de Cremin."
"Quelles sont les principales formes de MAR hautes chez le garçon ?","Fistule recto-urétrale (bulbaire ou prostatique), fistule recto-vésicale (col vésical) et anus imperforé sans fistule (atrésie rectale).","Les formes hautes s’accompagnent plus souvent de fistules urinaires et d’un pronostic fonctionnel plus réservé."
"Quelles sont les principales formes de MAR basses chez la fille ?","Fistule recto-vestibulaire, fistule périnéale, sillon muqueux périnéal et anus antéposé.","Les formes basses ont généralement un meilleur pronostic de continence."
"Comment classer cliniquement une MAR haute ou basse à l’examen du périnée ?","MAR haute : périnée plat, sphincters striés hypoplasiques, colonne sacrée souvent hypoplasique, fistule recto-urinaire ou recto-génitale. MAR basse : bon sillon interfessier, sphincters normaux, colonne sacrée normale, fistule recto-périnéale.","L’examen clinique du périnée oriente d’emblée vers le type de malformation."
"Quel est l’examen radiologique de référence pour classer le niveau d’une MAR en période néonatale ?","Radiographie de profil strict selon la technique de Wangensteen-Rice (hanches fléchies, tête basse pendant 3 à 5 minutes, avec repère métallique au niveau de la fossette anale).","Elle permet de situer le cul-de-sac rectal par rapport aux lignes de Stephens et de Cremin."
"Comment interpréter la radiographie de Wangensteen-Rice ?","Cul-de-sac au-dessus de la ligne de Stephens = MAR haute ; au-dessous de la ligne de Cremin = MAR basse ; entre les deux lignes = forme intermédiaire. Une aération vésicale signe une fistule urinaire.","Ces lignes anatomiques permettent une classification radiologique précise."
"Quels bilans malformatifs doivent être réalisés systématiquement devant une MAR ?","Bilan VACTERL : échographie cardiaque et rénale, radiographie de la colonne lombaire, échographie médullaire et pelvienne, radiographie du sacrum, et éventuellement urétrocystographie ou fistulographie.","Les malformations associées sont présentes dans environ 60 % des cas et conditionnent le pronostic vital."
"Quels sont les principes du traitement des malformations ano-rectales ?","Urgence thérapeutique : mettre en condition, assurer le transit (colostomie si nécessaire), puis chirurgie réparatrice (anorectoplastie sagittale postérieure de Peña, anoplastie ou abaissement abdomino-pelvien) afin d’obtenir une fonction ano-rectale optimale.","Le traitement se fait en plusieurs temps et doit être adapté au type de MAR."
"Quel est le pronostic fonctionnel selon le type de MAR ?","Formes basses : continence anale en règle normale. Formes intermédiaires : continence souvent proche de la normale. Formes hautes : continence souvent insuffisante, socialement acceptable au prix de contraintes (exonérations régulières, régime).","Le pronostic fonctionnel dépend essentiellement du niveau de la malformation et de la qualité du sphincter."
