"question","answer","explanation"
"Pourquoi est-il nécessaire de classer les médicaments ?","Il existe plusieurs dizaines de milliers de médicaments préparés à partir de plus de 5 000 principes actifs ; aucune classification unique ne couvre parfaitement tous les besoins du médecin, d’où la nécessité de plusieurs systèmes de classement.","La classification facilite une utilisation appropriée."
"Quelles sont les trois origines possibles des médicaments rappelées dans ce chapitre ?","Naturelle, chimique et biotechnologique.","C’est le premier niveau de classification."
"Qu’est-ce qu’une classification par séries chimiques et quel est son intérêt principal ?","Classement selon la structure chimique. Elle est pertinente pour le chimiste et le pharmacien et utile pour les études structure-activité et la découverte de nouveaux principes actifs.","En pratique clinique elle est moins opérationnelle car une même série peut avoir des effets très différents (ex. sulfamides)."
"Donnez un exemple illustrant qu’une même série chimique peut avoir des applications thérapeutiques très différentes.","Les sulfamides : effets anti-infectieux, diurétiques, antiparasitaires, urico-éliminateurs…","Cela montre les limites d’une classification purement chimique pour le clinicien."
"Qu’est-ce qu’un produit officinal ?","Médicament dont la composition est fixée une fois pour toutes par la Pharmacopée ou le formulaire national, fabriqué par le pharmacien ou l’industrie, et utilisable pour des patients.","Exemples : teinture de belladone, élixir parégorique."
"Qu’est-ce qu’une préparation magistrale ?","Médicament destiné à un seul malade, de composition indiquée par le médecin et préparé extemporanément en officine.","Elles sont en forte régression."
"Qu’est-ce qu’une spécialité pharmaceutique (princeps) ?","Médicament de fabrication industrielle, préparé à l’avance, présenté sous un conditionnement particulier et caractérisé par une dénomination commerciale. Il nécessite une AMM avant commercialisation.","C’est la forme dominante actuelle."
"Qu’est-ce qu’un médicament générique ?","Copie d’un médicament original (princeps) ayant la même composition qualitative et quantitative en principe(s) actif(s) et la même forme galénique.","Il doit démontrer la bioéquivalence."
"Qu’est-ce qu’un médicament homéopathique et qui en est à l’origine ?","Médicament relevant d’une médecine alternative inventée par Samuel Hahnemann en 1796, basée sur le principe de traiter le mal par le mal à dose infinitésimale.","Le terme vient du grec « homoios » (similaire) et « pathos » (souffrance)."
"Quelles sont les trois façons de catégoriser les médicaments en classes pharmacologiques ?","Selon les récepteurs cibles (β-bloquants, α-stimulants…), selon la substance active ou classe chimique (opiacés, corticoïdes…), selon l’action visée (diurétiques, antalgiques…).","Il n’existe pas de critère unique."
"Qu’est-ce qu’une classification par classes thérapeutiques et quel est son principal avantage pour le praticien ?","Classement des médicaments selon les pathologies traitées (anti-HTA, antirhumatismaux, antiulcéreux…). Elle est immédiatement opérationnelle pour le clinicien.","Son inconvénient est de ressembler à une « recette de cuisine » et de négliger les mécanismes d’action."
"Qu’est-ce qu’une classification pharmacothérapeutique ?","Classification hybride qui tient compte à la fois des effets pharmacologiques et des indications thérapeutiques.","Il existe de nombreux recoupements (un même médicament peut appartenir à plusieurs classes)."
"Qu’est-ce que la classification ATC ?","Classification Anatomique, Thérapeutique et Chimique. Exemples de groupes : système digestif et métabolisme, sang et organes hématopoïétiques, système cardio-vasculaire, dermatologie, système génito-urinaire…","C’est un système international de référence."
"Qu’est-ce qu’un médicament orphelin ?","Médicament développé pour le traitement de maladies rares (maladies orphelines).","Il bénéficie souvent d’incitations réglementaires spécifiques."
"Qu’est-ce qu’un médicament essentiel ?","Médicament utilisé pour répondre aux besoins de santé de la majorité de la population.","Notion importante en santé publique."
"Qu’est-ce qu’un médicament biologique ?","Médicament dont la substance active est une substance biologique produite à partir d’une source biologique (médicaments immunologiques, dérivés du sang et du plasma humains…).","Ils se distinguent des médicaments de synthèse chimique."
