"question","answer","explanation"
"Quelle est la particularité épidémiologique de la glomérulonéphrite à dépôts mésangiaux d’IgA ?","C’est la glomérulonéphrite la plus fréquente (25 % des néphropathies de l’adulte en France), touchant préférentiellement l’adulte jeune de sexe masculin.","Incidence estimée à 25 cas par million d’habitants et par an."
"Quelle est la définition histologique de la maladie de Berger ?","Glomérulonéphrite non proliférative (ou peu proliférative) caractérisée par des dépôts mésangiaux d’immunoglobuline A.","L’hypercellularité mésangiale est fréquente mais la prolifération extracapillaire reste possible."
"Quel est le contexte clinique typique de déclenchement de la maladie de Berger ?","Survenue d’une hématurie (souvent macroscopique) quelques heures ou jours après une infection ORL (rhino-pharyngite, angine) ou digestive.","Ce synchronisme infectieux est très caractéristique."
"Quels sont les signes cliniques principaux de la glomérulonéphrite à IgA ?","Hématurie récidivante, œdèmes possibles et hypertension artérielle.","L’hématurie est l’élément le plus constant."
"Quels sont les éléments biologiques du diagnostic de maladie de Berger ?","Hématurie, cylindrurie hématique, protéinurie (variable), insuffisance rénale possible ; élévation des IgA sériques (inconstante).","Le diagnostic de certitude repose sur la biopsie rénale."
"Quels sont les aspects histologiques typiques de la maladie de Berger ?","Hypercellularité mésangiale, dépôts fibrinoïdes intercapillaires segmentaires et focaux, et dépôts mésangiaux d’IgA en immunofluorescence.","La prolifération extracapillaire peut s’associer dans les formes sévères."
"Quel est le pronostic à long terme de la maladie de Berger ?","50 % des patients évoluent vers l’insuffisance rénale chronique terminale en 25 ans.","Le pronostic est donc réservé."
"Quels sont les facteurs de mauvais pronostic de la glomérulonéphrite à IgA ?","Protéinurie néphrotique, hypertension artérielle, insuffisance rénale déjà présente, sexe masculin, fibrose interstitielle et lésions vasculaires.","Ces facteurs guident l’intensité du traitement."
"Quelles sont les principales formes secondaires de dépôts mésangiaux d’IgA ?","Purpura rhumatoïde, cirrhose alcoolique, maladies chroniques du foie, VIH, VHB, maladie cœliaque, colites inflammatoires, spondylarthrite ankylosante et dermatite herpétiforme.","La forme primitive est appelée maladie de Berger."
"Quel est l’objectif tensionnel dans la maladie de Berger ?","Pression artérielle ≤ 130/80 mmHg.","Le contrôle tensionnel est un élément majeur de néphroprotection."
"Quel est le traitement antiprotéinurique de première intention dans la maladie de Berger ?","Inhibiteur de l’enzyme de conversion (IEC).","Les IEC réduisent la protéinurie et ralentissent la progression de l’insuffisance rénale."
"Quelle est la place de l’amygdalectomie dans le traitement de la maladie de Berger ?","Elle n’a pas démontré de bénéfice clair.","Elle n’est plus recommandée de façon systématique."
"Comment distinguer schématiquement les grands syndromes glomérulaires ?","Syndrome néphrotique → néphrose lipoïdique ou HSF ; syndrome néphritique → GNA ; hématurie récidivante post-infectieuse → IgA (Berger) ; GNRP → Goodpasture ou vascularites.","Ce schéma aide au raisonnement diagnostique rapide."
